head,group_type,group,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy
linear,length,short,929,2775,0.6774774789810181,0.6528437733650208,0.7292697429656982,0.7647289037704468,0.8988603988603988
linear,length,medium,653,3840,0.6963541507720947,0.6963029503822327,0.7612823247909546,0.7458508014678955,0.8690292758089369
linear,length,long,641,7192,0.7238598465919495,0.7149377465248108,0.7931455969810486,0.7050493359565735,0.9380987472365512
linear,error_count,one_error,231,930,0.7440860271453857,0.6862865686416626,0.7876124978065491,0.9247077703475952,0.9356223175965666
linear,error_count,multiple_errors,1314,9640,0.7199169993400574,0.7475402355194092,0.8208411335945129,0.6014732122421265,0.9240981745130579
linear,first_error_position,early,941,7271,0.7282354831695557,0.7742733955383301,0.847364604473114,0.5298664569854736,0.9328940290478752
linear,first_error_position,middle,276,1669,0.6908328533172607,0.7019516229629517,0.784050703048706,0.7476423382759094,0.9049469964664311
linear,first_error_position,late,328,1630,0.7263803482055664,0.7006756067276001,0.796068549156189,0.9101216197013855,0.922422954303932
mlp,length,short,929,2775,0.7163963913917542,0.7074966430664062,0.7900129556655884,0.8252982497215271,0.9415954415954416
mlp,length,medium,653,3840,0.7330729365348816,0.7331482172012329,0.8132742047309875,0.8088791370391846,0.9388803287108372
mlp,length,long,641,7192,0.7486095428466797,0.7327827215194702,0.8324732184410095,0.7512868046760559,0.9791557006000632
mlp,error_count,one_error,231,930,0.7215054035186768,0.7219868898391724,0.7968526482582092,0.9122681617736816,0.9556509298998569
mlp,error_count,multiple_errors,1314,9640,0.7764523029327393,0.7798182964324951,0.8635296821594238,0.6727824807167053,0.9714385535854659
mlp,first_error_position,early,941,7271,0.7917755246162415,0.8163608312606812,0.8897466659545898,0.5770425200462341,0.9833243679397525
mlp,first_error_position,middle,276,1669,0.7375674247741699,0.7401903867721558,0.8271942734718323,0.8157213926315308,0.9540636042402827
mlp,first_error_position,late,328,1630,0.716564416885376,0.7342064380645752,0.8118293285369873,0.9064703583717346,0.944739638682253
cnn,length,short,929,2775,0.7290090322494507,0.7145915627479553,0.8057459592819214,0.8303171992301941,0.9387464387464387
cnn,length,medium,653,3840,0.7372395992279053,0.7372205257415771,0.8188568949699402,0.8142766952514648,0.9126861838726246
cnn,length,long,641,7192,0.7575083374977112,0.7498583793640137,0.8336987495422363,0.7388237714767456,0.9686282766607012
cnn,error_count,one_error,231,930,0.7408602237701416,0.6986325979232788,0.7777343988418579,0.8788887858390808,0.9470672389127325
cnn,error_count,multiple_errors,1314,9640,0.7567427158355713,0.7670978307723999,0.847804844379425,0.6134565472602844,0.9585990042798498
cnn,first_error_position,early,941,7271,0.779122531414032,0.8104158639907837,0.881005048751831,0.5312869548797607,0.972027972027972
cnn,first_error_position,middle,276,1669,0.691431999206543,0.6988369226455688,0.7848832011222839,0.7333704233169556,0.934982332155477
cnn,first_error_position,late,328,1630,0.7147239446640015,0.7055264711380005,0.790232241153717,0.8760595321655273,0.936769394261424
gru,length,short,929,2775,0.6749549508094788,0.649939239025116,0.744010865688324,0.7761372923851013,0.9772079772079773
gru,length,medium,653,3840,0.7020833492279053,0.702024519443512,0.7838020920753479,0.7786073684692383,0.9650744735490498
gru,length,long,641,7192,0.7474972009658813,0.7355387806892395,0.8240559101104736,0.7387416362762451,0.9808400884303611
gru,error_count,one_error,231,930,0.6913978457450867,0.6439905166625977,0.7404733896255493,0.9090132117271423,0.9699570815450643
gru,error_count,multiple_errors,1314,9640,0.7210580706596375,0.728356122970581,0.8184319138526917,0.6064760684967041,0.9786007511573063
gru,first_error_position,early,941,7271,0.7507908344268799,0.7782489061355591,0.861873209476471,0.5447630882263184,0.9825174825174825
gru,first_error_position,middle,276,1669,0.6411024332046509,0.6497915983200073,0.7412193417549133,0.7429543733596802,0.9763250883392226
gru,first_error_position,late,328,1630,0.6533742547035217,0.6404924392700195,0.7351362705230713,0.8862752914428711,0.963336875664187
attention,length,short,929,2775,0.7106306552886963,0.6910181045532227,0.7840288877487183,0.8156898021697998,0.9458689458689459
attention,length,medium,653,3840,0.7216145992279053,0.721514105796814,0.8043811917304993,0.8051402568817139,0.9239856189008732
attention,length,long,641,7192,0.7419354915618896,0.7199006080627441,0.8066624402999878,0.7283628582954407,0.9207284977366038
attention,error_count,one_error,231,930,0.6860215067863464,0.608531653881073,0.6566709280014038,0.8297015428543091,0.9055793991416309
attention,error_count,multiple_errors,1314,9640,0.7187759280204773,0.687361478805542,0.7731854915618896,0.5022886395454407,0.9237487990217487
attention,first_error_position,early,941,7271,0.7609682083129883,0.7062257528305054,0.8056961894035339,0.4040796160697937,0.9408284023668639
attention,first_error_position,middle,276,1669,0.6039544343948364,0.6121401190757751,0.6766335368156433,0.629181981086731,0.9180212014134276
attention,first_error_position,late,328,1630,0.629447877407074,0.5993531942367554,0.6363387703895569,0.792550802230835,0.8581296493092455
