head,variant,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy,roc_auc_delta,ranking_accuracy_delta
linear,original,2223,13807,0.7068877816200256,0.7085009813308716,0.7781713604927063,0.7326571941375732,0.9247612775765558,0.0,0.0
linear,reverse,2223,13807,0.7068877816200256,0.7085009813308716,0.7781713604927063,0.7326571941375732,0.9247612775765558,0.0,0.0
linear,swap_adjacent,2223,13807,0.7068877816200256,0.7085009813308716,0.7781713604927063,0.7326571941375732,0.9247612775765558,0.0,0.0
linear,mask_previous,2223,13807,0.6570580005645752,0.6542764902114868,0.7458183169364929,0.6937646865844727,0.8224399078037538,-0.03235304355621338,-0.10232136977280204
linear,mask_first_error,2223,13807,0.7634533047676086,0.7608257532119751,0.8140031099319458,0.7942739129066467,0.921468554494567,0.0358317494392395,-0.003292723081988802
mlp,original,2223,13807,0.7378141283988953,0.7348397970199585,0.822910487651825,0.7886662483215332,0.9705301284162002,0.0,0.0
mlp,reverse,2223,13807,0.7378141283988953,0.7348397970199585,0.822910487651825,0.7886662483215332,0.9705301284162002,0.0,0.0
mlp,swap_adjacent,2223,13807,0.7378141283988953,0.7348397970199585,0.822910487651825,0.7886662483215332,0.9705301284162002,0.0,0.0
mlp,mask_previous,2223,13807,0.6913160085678101,0.6842408180236816,0.7382838129997253,0.7269189357757568,0.7755186038854133,-0.08462667465209961,-0.19501152453078696
mlp,mask_first_error,2223,13807,0.7843123078346252,0.777851939201355,0.8817166686058044,0.8580531477928162,0.9834540665130063,0.05880618095397949,0.012923938096806031
cnn,original,2223,13807,0.7461432814598083,0.7464796304702759,0.8279131054878235,0.7874364852905273,0.957935462627593,0.0,0.0
cnn,reverse,2223,13807,0.6811761856079102,0.6800490617752075,0.7291284203529358,0.6629981398582458,0.7748600592690155,-0.0987846851348877,-0.18307540335857753
cnn,swap_adjacent,2223,13807,0.7074671983718872,0.7065906524658203,0.7763266563415527,0.7283352017402649,0.9016298979255845,-0.05158644914627075,-0.05630556470200854
cnn,mask_previous,2223,13807,0.7376692891120911,0.7385464906692505,0.8146755695343018,0.7582899928092957,0.9072275271649655,-0.013237535953521729,-0.05070793546262753
cnn,mask_first_error,2223,13807,0.6946476697921753,0.6974856853485107,0.775556743144989,0.7268745303153992,0.8663154428712545,-0.05235636234283447,-0.09162001975633849
gru,original,2223,13807,0.7202867865562439,0.7213090658187866,0.8030291199684143,0.7592318654060364,0.9781033915047744,0.0,0.0
gru,reverse,2223,13807,0.5732599496841431,0.597996711730957,0.6778546571731567,0.6001418232917786,0.6822522225880804,-0.12517446279525757,-0.29585116891669405
gru,swap_adjacent,2223,13807,0.7046425938606262,0.7068967223167419,0.7845994830131531,0.7331365942955017,0.9492920645373724,-0.01842963695526123,-0.028811326967402073
gru,mask_previous,2223,13807,0.7115231156349182,0.7155303955078125,0.7802239656448364,0.6969233155250549,0.9493743826144221,-0.02280515432357788,-0.028729008890352348
gru,mask_first_error,2223,13807,0.6288114786148071,0.6388423442840576,0.6798115968704224,0.5872882008552551,0.9066513006256174,-0.12321752309799194,-0.07145209087915705
attention,original,2223,13807,0.7299920320510864,0.7290221452713013,0.805936336517334,0.7745605707168579,0.9227033256503128,0.0,0.0
attention,reverse,2223,13807,0.7299920320510864,0.7290221452713013,0.805936336517334,0.7745605707168579,0.9227033256503128,0.0,0.0
attention,swap_adjacent,2223,13807,0.7299920320510864,0.7290221452713013,0.805936336517334,0.7745605707168579,0.9227033256503128,0.0,0.0
attention,mask_previous,2223,13807,0.6984138488769531,0.693914532661438,0.7689640522003174,0.7418872117996216,0.7267863022719789,-0.0369722843170166,-0.19591702337833383
attention,mask_first_error,2223,13807,0.7615702152252197,0.7574175596237183,0.8366981148719788,0.8231214284896851,0.9335693118208759,0.030761778354644775,0.010865986170563113
