head,policy,budget,group_type,group,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate
linear,single_low,0.05,length,short,915,915,375,540,0,0.018666666666666668,0.003703703703703704,0.07592592592592592,0.016666666666666666,0.040740740740740744,0.06111111111111111,1.4390244483947754,1.0,0.012445095168374817,0.00841874084919473,0.014101778050275904,0.2349926793557833,0.03582554517133956,
linear,single_low,0.05,length,medium,454,454,159,295,0,0.050314465408805034,0.01694915254237288,0.22033898305084745,0.04406779661016949,0.07796610169491526,0.10847457627118644,2.2461538314819336,3.0,0.05464041783848935,0.041783848935315386,0.06451612903225806,0.3459220570510245,0.1207897793263647,
linear,single_low,0.05,length,long,642,642,141,501,0,0.19148936170212766,0.015968063872255488,0.45109780439121755,0.08183632734530938,0.1377245508982036,0.18962075848303392,4.026548862457275,4.0,0.1835772357723577,0.16,0.20118585156409732,0.5899186991869919,0.27122381477398017,
linear,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.002506265664160401,0.34962406015037595,0.06641604010025062,0.10902255639097744,0.14035087719298245,3.7240142822265625,3.0,0.19735876742479824,0.19552457813646368,0.19552457813646368,0.8094277329420396,0.24155903013822796,
linear,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.020833333333333332,0.14583333333333334,0.016666666666666666,0.05416666666666667,0.125,1.7142857313156128,2.0,0.05551443375277572,0.028127313101406367,0.028127313101406367,0.4448556624722428,0.0632279534109817,
linear,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.026845637583892617,0.06040268456375839,0.020134228187919462,0.04697986577181208,0.06040268456375839,0.8888888955116272,1.0,0.029301277235161533,0.005259203606311044,0.005259203606311044,0.0879038317054846,0.05982905982905983,
mlp,single_low,0.05,length,short,915,915,375,540,0,0.021333333333333333,0.007407407407407408,0.1537037037037037,0.044444444444444446,0.07962962962962963,0.12407407407407407,1.3855421543121338,1.0,0.009150805270863836,0.006954612005856516,0.011649294911097487,0.2349926793557833,0.029595015576323987,
mlp,single_low,0.05,length,medium,454,454,159,295,0,0.05660377358490566,0.006779661016949152,0.3389830508474576,0.05084745762711865,0.1152542372881356,0.17966101694915254,2.2899999618530273,2.0,0.05423865006026517,0.04821213338690237,0.07444168734491315,0.3459220570510245,0.13937282229965156,
mlp,single_low,0.05,length,long,642,642,141,501,0,0.19858156028368795,0.021956087824351298,0.6227544910179641,0.09181636726546906,0.19560878243512975,0.3033932135728543,3.5224359035491943,3.0,0.27528455284552844,0.24780487804878049,0.3115927213248824,0.5899186991869919,0.42006615214994486,
mlp,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.0,0.49122807017543857,0.05388471177944862,0.13283208020050125,0.22305764411027568,3.4056122303009033,3.0,0.29035216434336025,0.29035216434336025,0.29035216434336025,0.8094277329420396,0.35871289372309084,
mlp,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.025,0.22083333333333333,0.03333333333333333,0.08333333333333333,0.18333333333333332,1.7169811725616455,2.0,0.07772020725388601,0.04885270170244264,0.04885270170244264,0.4448556624722428,0.10981697171381032,
mlp,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.03691275167785235,0.16778523489932887,0.11409395973154363,0.1644295302013423,0.16778523489932887,0.3400000035762787,0.0,0.03606311044327573,0.010518407212622089,0.010518407212622089,0.0879038317054846,0.11965811965811966,
cnn,single_low,0.05,length,short,915,915,375,540,0,0.029333333333333333,0.005555555555555556,0.21296296296296297,0.05740740740740741,0.12037037037037036,0.19814814814814816,1.2347825765609741,1.0,0.01903367496339678,0.016471449487554905,0.027590435315757205,0.2349926793557833,0.07009345794392523,
cnn,single_low,0.05,length,medium,454,454,159,295,0,0.07547169811320754,0.020338983050847456,0.3389830508474576,0.020338983050847456,0.08135593220338982,0.21694915254237288,2.2799999713897705,2.0,0.06990759341100844,0.05584572117316191,0.08622828784119106,0.3459220570510245,0.16144018583042974,
cnn,single_low,0.05,length,long,642,642,141,501,0,0.16312056737588654,0.021956087824351298,0.5089820359281437,0.005988023952095809,0.033932135728542916,0.18762475049900199,4.176470756530762,3.0,0.2240650406504065,0.19284552845528455,0.2424861991412799,0.5899186991869919,0.3269018743109151,
cnn,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.0012531328320802004,0.47619047619047616,0.0,0.04887218045112782,0.22431077694235588,3.5710525512695312,3.0,0.24192956713132796,0.23954512105649303,0.23954512105649303,0.8094277329420396,0.2959438024019941,
cnn,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.016666666666666666,0.20416666666666666,0.03333333333333333,0.10833333333333334,0.1875,1.40816330909729,1.0,0.06291635825314582,0.03923019985196151,0.03923019985196151,0.4448556624722428,0.08818635607321132,
cnn,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.050335570469798654,0.13758389261744966,0.10738255033557047,0.13758389261744966,0.13758389261744966,0.2195121943950653,0.0,0.04658151765589782,0.008264462809917356,0.008264462809917356,0.0879038317054846,0.09401709401709402,
gru,single_low,0.05,length,short,915,915,375,540,0,0.005333333333333333,0.0,0.05555555555555555,0.007407407407407408,0.024074074074074074,0.04259259259259259,1.6666666269302368,2.0,0.0010980966325036604,0.0010980966325036604,0.0018393623543838135,0.2349926793557833,0.004672897196261682,
gru,single_low,0.05,length,medium,454,454,159,295,0,0.031446540880503145,0.0,0.19661016949152543,0.013559322033898305,0.030508474576271188,0.03728813559322034,3.224138021469116,4.0,0.017677782241864202,0.015267175572519083,0.02357320099255583,0.3459220570510245,0.04413472706155633,
gru,single_low,0.05,length,long,642,642,141,501,0,0.23404255319148937,0.00998003992015968,0.5109780439121756,0.031936127744510975,0.05389221556886228,0.08982035928143713,4.59765625,5.0,0.1824390243902439,0.16341463414634147,0.2054794520547945,0.5899186991869919,0.2770121278941566,
gru,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.0,0.36215538847117795,0.015037593984962405,0.02506265664160401,0.045112781954887216,4.591695308685303,4.0,0.18048422597212033,0.18048422597212033,0.18048422597212033,0.8094277329420396,0.2229775662814412,
gru,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.008333333333333333,0.1625,0.020833333333333332,0.0625,0.1125,1.9487179517745972,2.0,0.052553663952627686,0.043671354552183565,0.043671354552183565,0.4448556624722428,0.09816971713810316,
gru,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.010067114093959731,0.053691275167785234,0.02348993288590604,0.04697986577181208,0.053691275167785234,0.6875,1.0,0.015777610818933134,0.002253944402704733,0.002253944402704733,0.0879038317054846,0.02564102564102564,
attention,single_low,0.05,length,short,915,915,375,540,0,0.013333333333333334,0.003703703703703704,0.02962962962962963,0.012962962962962963,0.027777777777777776,0.02962962962962963,0.625,1.0,0.016105417276720352,0.01171303074670571,0.019619865113427344,0.2349926793557833,0.04984423676012461,
attention,single_low,0.05,length,medium,454,454,159,295,0,0.06918238993710692,0.023728813559322035,0.13898305084745763,0.05084745762711865,0.1016949152542373,0.12542372881355932,1.0487804412841797,1.0,0.07874648453194054,0.05584572117316191,0.08622828784119106,0.3459220570510245,0.16144018583042974,
attention,single_low,0.05,length,long,642,642,141,501,0,0.2198581560283688,0.05389221556886228,0.37924151696606784,0.11177644710578842,0.25948103792415167,0.3193612774451098,1.3684210777282715,1.0,0.28276422764227643,0.2175609756097561,0.2735636884072787,0.5899186991869919,0.36879823594266814,
attention,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.006265664160401002,0.30200501253132833,0.09273182957393483,0.21303258145363407,0.2606516290726817,1.2780083417892456,1.0,0.2797138664710198,0.2738444607483492,0.2738444607483492,0.8094277329420396,0.3383186041241786,
attention,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.075,0.020833333333333332,0.0125,0.016666666666666666,0.016666666666666666,1.0,0.0,0.11176905995558846,0.010362694300518135,0.010362694300518135,0.4448556624722428,0.02329450915141431,
attention,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.0436241610738255,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.0,0.0,0.05033809166040571,0.0015026296018031556,0.0015026296018031556,0.0879038317054846,0.017094017094017096,
