head,policy,budget,threshold,calibration_clean_false_prune_rate,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate,clean_false_prune_rate_ci_low,clean_false_prune_rate_ci_high,pre_error_false_prune_rate_ci_low,pre_error_false_prune_rate_ci_high,error_coverage_ci_low,error_coverage_ci_high,detection_at_0_ci_low,detection_at_0_ci_high,detection_at_1_ci_low,detection_at_1_ci_high,detection_at_2_ci_low,detection_at_2_ci_high,safe_step_saving_rate_ci_low,safe_step_saving_rate_ci_high,oracle_efficiency_ratio_ci_low,oracle_efficiency_ratio_ci_high
linear,single_low,0.01,-8.253113746643066,0.00995732574679943,2220,2011,675,1336,209,0.002962962962962963,0.0,0.04565868263473054,0.0029940119760479044,0.008233532934131737,0.008233532934131737,5.557376861572266,5.0,0.013191451939143435,0.01301556591328819,0.018195229899188592,0.4512355993316331,0.028844279867472226,0.13875598086124402,,,,,,,,,,,,,,,,
linear,single_low,0.05,-6.4651780128479,0.049786628733997154,2220,2011,675,1336,209,0.06222222222222222,0.01122754491017964,0.24850299401197604,0.04715568862275449,0.08532934131736528,0.11976047904191617,3.358433723449707,3.0,0.11423797379298214,0.09770468736258904,0.13658716498647652,0.4512355993316331,0.21652699278893003,0.6076555023923444,0.04592592641711235,0.08296296000480652,0.005988024175167084,0.01721556857228279,0.22380240261554718,0.26947981119155884,0.0359281450510025,0.05913173779845238,0.06961078196763992,0.09955089539289474,0.10177768766880035,0.13697604835033417,0.08424821496009827,0.1101517528295517,0.18893985450267792,0.24278563261032104
linear,single_low,0.1,-5.80776309967041,0.09957325746799431,2220,2011,675,1336,209,0.10962962962962963,0.020209580838323353,0.37200598802395207,0.09580838323353294,0.14146706586826346,0.19835329341317365,3.0241448879241943,2.0,0.17491865271304194,0.14756837569255124,0.20629456601917875,0.4512355993316331,0.3270317676866108,0.7655502392344498,,,,,,,,,,,,,,,,
linear,two_consecutive,0.01,-7.264786243438721,0.00995732574679943,2220,2011,675,1336,209,0.002962962962962963,0.002245508982035928,0.05389221556886228,0.002245508982035928,0.0074850299401197605,0.01347305389221557,5.083333492279053,5.0,0.017764488611379827,0.014950312197695893,0.020899926235554464,0.4512355993316331,0.033131943091015394,0.05263157894736842,,,,,,,,,,,,,,,,
linear,two_consecutive,0.05,-5.6329803466796875,0.049786628733997154,2220,2011,675,1336,209,0.04888888888888889,0.010479041916167664,0.22080838323353294,0.006736526946107785,0.0688622754491018,0.08907185628742514,3.8644068241119385,3.0,0.09269193562571454,0.07923665464778823,0.11076960904843865,0.4512355993316331,0.1755992983823816,0.22488038277511962,,,,,,,,,,,,,,,,
linear,two_consecutive,0.1,-4.825473785400391,0.09957325746799431,2220,2011,675,1336,209,0.11407407407407408,0.01721556886227545,0.35254491017964074,0.02470059880239521,0.14221556886227546,0.18712574850299402,2.8917198181152344,2.0,0.16770732565297686,0.13974144754199277,0.19535283993115318,0.4512355993316331,0.3096862210095498,0.3492822966507177,,,,,,,,,,,,,,,,
mlp,single_low,0.01,-8.548730850219727,0.00995732574679943,2220,2011,675,1336,209,0.007407407407407408,0.0,0.1279940119760479,0.01721556886227545,0.029191616766467067,0.03817365269461078,4.274853706359863,4.0,0.05769061648052062,0.05689912936417202,0.07954266043766904,0.4512355993316331,0.12609627752874683,0.861244019138756,,,,,,,,,,,,,,,,
mlp,single_low,0.05,-6.739400386810303,0.049786628733997154,2220,2011,675,1336,209,0.06666666666666667,0.012724550898203593,0.37050898203592814,0.06362275449101797,0.1309880239520958,0.20359281437125748,2.915151596069336,2.0,0.16295840295488523,0.1462492304986369,0.20445045488074748,0.4512355993316331,0.32410836094328593,0.9569377990430622,0.04740740731358528,0.08596300333738327,0.006736526731401682,0.018712574616074562,0.34653815627098083,0.397455096244812,0.05164670571684837,0.07709580659866333,0.11302395164966583,0.14895209670066833,0.18263472616672516,0.22455090284347534,0.13195626437664032,0.16151349246501923,0.2946872115135193,0.3516576886177063
mlp,single_low,0.1,-6.270199298858643,0.09957325746799431,2220,2011,675,1336,209,0.09481481481481481,0.019461077844311378,0.4565868263473054,0.08982035928143713,0.18787425149700598,0.2836826347305389,2.559016466140747,2.0,0.20103772755254595,0.17755694310087064,0.24821735923284977,0.4512355993316331,0.3934905476515299,0.9617224880382775,,,,,,,,,,,,,,,,
mlp,two_consecutive,0.01,-7.588490009307861,0.00995732574679943,2220,2011,675,1336,209,0.011851851851851851,0.0014970059880239522,0.09805389221556886,0.0014970059880239522,0.0074850299401197605,0.0187125748502994,4.931297779083252,5.0,0.03667223639081875,0.03429777504177293,0.04794688959921318,0.4512355993316331,0.07600857532644709,0.15789473684210525,,,,,,,,,,,,,,,,
