head,agg,n_solutions,positive_rate,roc_auc,average_precision,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high
linear,min,2223,0.30049481987953186,0.7568833231925964,0.5356251001358032,0.7354769244790077,0.7770886555314064,0.49967785477638244,0.5789026215672493
linear,mean,2223,0.30049481987953186,0.700142502784729,0.4813700020313263,0.6765291690826416,0.722590708732605,0.44327864721417426,0.5240578442811966
linear,last,2223,0.30049481987953186,0.6944866180419922,0.46235495805740356,0.6723077371716499,0.7171433418989182,0.4263812184333801,0.5026387751102448
mlp,min,2223,0.30049481987953186,0.8115495443344116,0.6306748986244202,0.7926852464675903,0.8289614632725716,0.592683556675911,0.6695486024022103
mlp,mean,2223,0.30049481987953186,0.7807151079177856,0.604587972164154,0.7600781232118606,0.8003139674663543,0.5663531571626663,0.6443359047174454
mlp,last,2223,0.30049481987953186,0.7401264905929565,0.5590622425079346,0.7176703989505768,0.7614948406815529,0.5197942897677421,0.6014124393463135
cnn,min,2223,0.30049481987953186,0.8327117562294006,0.6698009967803955,0.8145353004336358,0.8493033811450005,0.6305557653307915,0.7089838758111
cnn,mean,2223,0.30049481987953186,0.8013843894004822,0.6554142832756042,0.7810663402080535,0.8206130146980286,0.616911019384861,0.6949536457657813
cnn,last,2223,0.30049481987953186,0.7706692814826965,0.618514895439148,0.7485127672553062,0.7906045362353324,0.5814771994948387,0.6576220110058785
gru,min,2223,0.30049481987953186,0.7843223810195923,0.5577824115753174,0.7653465986251831,0.8028278857469558,0.521720539033413,0.6008251130580902
gru,mean,2223,0.30049481987953186,0.7543827295303345,0.5408489108085632,0.7337384104728699,0.7748447075486183,0.5035506516695023,0.5834488183259964
gru,last,2223,0.30049481987953186,0.7260628342628479,0.510482907295227,0.7047112047672272,0.747441278398037,0.47428553774952886,0.5533686459064484
attention,min,2223,0.30049481987953186,0.813628077507019,0.6545670032501221,0.7952047407627105,0.8316276520490646,0.6154495060443879,0.6933020770549774
attention,mean,2223,0.30049481987953186,0.7954396605491638,0.6416281461715698,0.7756816774606705,0.8137599185109138,0.6020120218396187,0.6795873284339904
attention,last,2223,0.30049481987953186,0.7867454886436462,0.6344885230064392,0.7668628722429276,0.805593965947628,0.5949077516794204,0.6730275869369506
