head_a,head_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_significant
linear,mlp,-0.04473912715911865,-0.0513122707605362,-0.03801526427268983,0.0,True,-0.05600905418395996,-0.06654801070690156,-0.045602402091026305,0.0,True
linear,cnn,-0.04974174499511719,-0.05782857537269592,-0.04190810322761536,0.0,True,-0.0547792911529541,-0.06726492345333099,-0.042720505595207216,0.0,True
linear,gru,-0.024857759475708008,-0.03451882004737854,-0.015629217028617862,0.0,True,-0.026574671268463135,-0.040024755895137785,-0.014400549232959753,0.0,True
linear,attention,-0.027764976024627686,-0.04003029465675354,-0.015977860987186444,0.0,True,-0.04190337657928467,-0.060020215809345245,-0.024659217894077313,0.0,True
mlp,cnn,-0.005002617835998535,-0.010029035806655883,0.00020963996648788188,0.0285,False,0.0012297630310058594,-0.007390263676643372,0.010109208524227127,0.599,False
mlp,gru,0.019881367683410645,0.011745406687259674,0.02806374728679657,1.0,True,0.029434382915496826,0.01790807396173477,0.04023611992597579,1.0,True
mlp,attention,0.016974151134490967,0.006529475748538971,0.02713319659233093,1.0,True,0.014105677604675293,-0.00035295933485031113,0.02756782174110412,0.972,False
cnn,gru,0.02488398551940918,0.01600014865398407,0.0338971197605133,1.0,True,0.028204619884490967,0.015951068699359895,0.04010020792484282,1.0,True
cnn,attention,0.021976768970489502,0.012128742039203643,0.03152389079332352,1.0,True,0.012875914573669434,-0.0004590168595314025,0.026478734612464902,0.9705,False
gru,attention,-0.0029072165489196777,-0.0138636514544487,0.007757321000099179,0.312,False,-0.015328705310821533,-0.03158002942800522,0.0011493265628814656,0.0355,False
