head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
linear,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,min,argmax,2,0.33635327219963074,0.31804021522402764,0.35561125800013543,0.027445035055279732,0.021946548437699675,0.03309420263394713,0.0009995002498750624,0.017991004497751123,1319
linear,min,argmax,4,0.355117529630661,0.3352909445762634,0.3755553595721721,-0.01918119750916958,-0.027332258922979236,-0.011636656173504895,0.0009995002498750624,0.017991004497751123,1319
linear,min,argmax,8,0.36478391289711,0.34316626787185667,0.3870773375034332,-0.06648976355791092,-0.07975929509848356,-0.05363912498578429,0.0009995002498750624,0.017991004497751123,1319
linear,min,argmax,16,0.3692190945148468,0.3426838517189026,0.39727064967155457,-0.09628506749868393,-0.11978771537542343,-0.07429870963096619,0.0009995002498750624,0.017991004497751123,1319
linear,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,min,weighted_vote,2,0.33635327219963074,0.31804021522402764,0.35561125800013543,0.027445035055279732,0.021946548437699675,0.03309420263394713,0.0009995002498750624,0.017991004497751123,1319
linear,min,weighted_vote,4,0.39135709404945374,0.37016396448016164,0.4136485934257507,0.01705837808549404,0.012319939211010933,0.021607277914881706,0.0009995002498750624,0.017991004497751123,1319
linear,min,weighted_vote,8,0.4401061534881592,0.41580458283424376,0.4642977885901928,0.008832448162138462,0.0037898017966654153,0.01357088703662157,0.001999000499750125,0.017991004497751123,1319
linear,min,weighted_vote,16,0.4723275303840637,0.44427597522735596,0.49886277318000793,0.006823351141065359,-0.005307050887495279,0.01821455680765201,0.2938530734632684,0.9835082458770614,1319
linear,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,mean,argmax,2,0.3312737047672272,0.3130401961505413,0.3498900882899761,0.022365426644682884,0.016829984681680798,0.028128318069502705,0.0009995002498750624,0.017991004497751123,1319
linear,mean,argmax,4,0.3440106213092804,0.3245621740818024,0.3640286147594452,-0.030288098379969597,-0.039083586540073156,-0.022100074216723442,0.0009995002498750624,0.017991004497751123,1319
linear,mean,argmax,8,0.34855952858924866,0.32657221630215644,0.3694465756416321,-0.08271417766809464,-0.09625094253569841,-0.06917836070060732,0.0009995002498750624,0.017991004497751123,1319
linear,mean,argmax,16,0.3517816662788391,0.3260045349597931,0.3783169090747833,-0.11372251808643341,-0.1372251659631729,-0.09021986275911331,0.0009995002498750624,0.017991004497751123,1319
linear,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,mean,weighted_vote,2,0.3312737047672272,0.3130401961505413,0.3498900882899761,0.022365426644682884,0.016829984681680798,0.028128318069502705,0.0009995002498750624,0.017991004497751123,1319
linear,mean,weighted_vote,4,0.38919633626937866,0.36758813783526423,0.4109173722565174,0.014897649176418781,0.010650113131850958,0.018991660326719284,0.0009995002498750624,0.017991004497751123,1319
linear,mean,weighted_vote,8,0.4382486641407013,0.4142143502831459,0.46228671222925183,0.00697498070076108,0.0037139874824788422,0.010121302725747228,0.0009995002498750624,0.017991004497751123,1319
linear,mean,weighted_vote,16,0.476118266582489,0.44804775789380075,0.5019143223762511,0.010614101774990559,0.0007581501267850399,0.019711902365088463,0.038980509745127435,0.3118440779610195,1319
linear,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,last,argmax,2,0.33438214659690857,0.315954327583313,0.353527295589447,0.02547384239733219,0.02016679374501109,0.030972327198833218,0.0009995002498750624,0.017991004497751123,1319
linear,last,argmax,4,0.3509097993373871,0.33108416199684143,0.3707733154296875,-0.023388929665088654,-0.031652767304331066,-0.015351591142825787,0.0009995002498750624,0.017991004497751123,1319
linear,last,argmax,8,0.35507962107658386,0.33343440294265747,0.3769531786441803,-0.07619409263134003,-0.08991660177707672,-0.06258433908224106,0.0009995002498750624,0.017991004497751123,1319
linear,last,argmax,16,0.3586049973964691,0.3320697546005249,0.38438209891319275,-0.10689916461706161,-0.13267627358436584,-0.08112206310033798,0.0009995002498750624,0.017991004497751123,1319
linear,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,last,weighted_vote,2,0.33438214659690857,0.315954327583313,0.353527295589447,0.02547384239733219,0.02016679374501109,0.030972327198833218,0.0009995002498750624,0.017991004497751123,1319
linear,last,weighted_vote,4,0.3899165987968445,0.3683462798595428,0.41160067170858383,0.01561789307743311,0.011143858963623642,0.019901441410183907,0.0009995002498750624,0.017991004497751123,1319
linear,last,weighted_vote,8,0.4382486641407013,0.4140181727707386,0.4621351659297943,0.00697498070076108,0.0022735022357665002,0.011599697172641754,0.00399800099950025,0.0239880059970015,1319
linear,last,weighted_vote,16,0.4723275303840637,0.4434988506138325,0.4996209144592285,0.006823351141065359,-0.005307050887495279,0.018953753635287285,0.27786106946526734,0.9835082458770614,1319
