head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
linear,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,min,argmax,2,0.3598938584327698,0.34126992225646974,0.379685378074646,0.05098558962345123,0.04533642400056124,0.05686315437778829,0.0009995002498750624,0.005997001499250375,1319
linear,min,argmax,4,0.3873010277748108,0.36652385666966436,0.4080780804157257,0.013002274557948112,0.004244693019427359,0.021797762811183924,0.005997001499250375,0.005997001499250375,1319
linear,min,argmax,8,0.40113720297813416,0.378202236443758,0.42521703764796254,-0.0301364678889513,-0.044239004608243704,-0.01614764938130975,0.0009995002498750624,0.005997001499250375,1319
linear,min,argmax,16,0.4162244200706482,0.39044731855392456,0.44427597522735596,-0.04927975684404373,-0.07429870963096619,-0.025758149661123855,0.0009995002498750624,0.005997001499250375,1319
linear,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,min,weighted_vote,2,0.3598938584327698,0.34126992225646974,0.379685378074646,0.05098558962345123,0.04533642400056124,0.05686315437778829,0.0009995002498750624,0.005997001499250375,1319
linear,min,weighted_vote,4,0.41440483927726746,0.39238059520721436,0.43598374575376503,0.040106143802404404,0.033696926478296516,0.04605857050046324,0.0009995002498750624,0.005997001499250375,1319
linear,min,weighted_vote,8,0.45761939883232117,0.4332069456577301,0.48208110406994814,0.026345716789364815,0.018195603042840958,0.03465125169605015,0.0009995002498750624,0.005997001499250375,1319
linear,min,weighted_vote,16,0.4897649586200714,0.46095526218414307,0.5163002014160156,0.024260804057121277,0.007581501267850399,0.0401819571852684,0.0069965017491254375,0.020989505247376312,1319
linear,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,mean,argmax,2,0.3635329604148865,0.3439338572323322,0.3834353916347027,0.05462471768260002,0.048445794731378555,0.06061409804970026,0.0009995002498750624,0.005997001499250375,1319
linear,mean,argmax,4,0.4031842350959778,0.3821417920291424,0.4245650112628937,0.02888551726937294,0.020278620393946768,0.037414707336574794,0.0009995002498750624,0.005997001499250375,1319
linear,mean,argmax,8,0.4271417558193207,0.40337185487151145,0.450455866754055,-0.004131917841732502,-0.01767058246769011,0.009060841542668636,0.5357321339330335,0.8335832083958021,1319
linear,mean,argmax,16,0.44124338030815125,0.41394996643066406,0.46777862310409546,-0.024260804057121277,-0.0470053069293499,-0.0015163002535700798,0.03698150924537731,0.07396301849075462,1319
linear,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,mean,weighted_vote,2,0.3635329604148865,0.3439338572323322,0.3834353916347027,0.05462471768260002,0.048445794731378555,0.06061409804970026,0.0009995002498750624,0.005997001499250375,1319
linear,mean,weighted_vote,4,0.4160727858543396,0.3945773355662823,0.4374914713203907,0.041774071753025055,0.035784684121608734,0.047422293573617935,0.0009995002498750624,0.005997001499250375,1319
linear,mean,weighted_vote,8,0.4564063251018524,0.43089271783828736,0.4808974392712116,0.02513267658650875,0.018385140178725123,0.03191906725987791,0.0009995002498750624,0.005997001499250375,1319
linear,mean,weighted_vote,16,0.4867323637008667,0.45868080854415894,0.51404470205307,0.021228203549981117,0.007581501267850399,0.03413570988923301,0.0029985007496251873,0.014992503748125937,1319
linear,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,last,argmax,2,0.3688400387763977,0.3491650879383087,0.3888940453529358,0.059931762516498566,0.05398028716444969,0.0660727770999074,0.0009995002498750624,0.005997001499250375,1319
linear,last,argmax,4,0.4108794629573822,0.38965035006403925,0.43237485364079475,0.03658074513077736,0.0282771036028862,0.04499620944261551,0.0009995002498750624,0.005997001499250375,1319
linear,last,argmax,8,0.43677031993865967,0.41356614232063293,0.4604671895503998,0.005496588069945574,-0.007391962280962616,0.018046817462891326,0.41679160419790107,0.8335832083958021,1319
linear,last,argmax,16,0.4594389796257019,0.4329037070274353,0.4859742224216461,-0.006065201014280319,-0.02880970388650894,0.016679301857948303,0.6026986506746627,0.6026986506746627,1319
linear,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,last,weighted_vote,2,0.3688400387763977,0.3491650879383087,0.3888940453529358,0.059931762516498566,0.05398028716444969,0.0660727770999074,0.0009995002498750624,0.005997001499250375,1319
linear,last,weighted_vote,4,0.4228961169719696,0.4011372610926628,0.44503980204463,0.04859742149710655,0.04184988876804709,0.05519522624090313,0.0009995002498750624,0.005997001499250375,1319
linear,last,weighted_vote,8,0.46201664209365845,0.4370687909424305,0.4860557541251182,0.030742986127734184,0.02183377416804433,0.039500565920025106,0.0009995002498750624,0.005997001499250375,1319
