arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant,roc_auc_p_value,roc_auc_p_holm,roc_auc_significant_holm,average_precision_p_value,average_precision_p_holm,average_precision_significant_holm
pqm_linear,bce_linear,-0.011681616306304932,-0.016110217571258544,-0.007174482941627505,0.0,1.0,True,-0.012576162815093994,-0.017697626352310182,-0.007402551174163819,0.0,1.0,True,0.0009995002498750624,0.0029985007496251873,True,0.0009995002498750624,0.0029985007496251873,True
pqm_linear,pqm_mlp,-0.07017022371292114,-0.07903893291950226,-0.062022538483142854,0.0,1.0,True,-0.07598096132278442,-0.08879363089799881,-0.06307666748762131,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
pqm_linear,bce_mlp,-0.08528423309326172,-0.09718468189239501,-0.07401877790689469,0.0,1.0,True,-0.09641987085342407,-0.11022145450115203,-0.08276228308677673,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
pqm_linear,pqm_attention,-0.1019906997680664,-0.1152303621172905,-0.08895436823368072,0.0,1.0,True,-0.11395269632339478,-0.13082871288061143,-0.09692693203687668,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
pqm_linear,bce_attention,-0.10114777088165283,-0.1157849222421646,-0.08757388442754746,0.0,1.0,True,-0.11419945955276489,-0.13145541548728942,-0.09766905158758164,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
bce_linear,pqm_mlp,-0.05848860740661621,-0.06673196107149124,-0.050879868865013125,0.0,1.0,True,-0.06340479850769043,-0.07519064396619797,-0.051371361315250406,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
bce_linear,bce_mlp,-0.07360261678695679,-0.08363319784402848,-0.06418662220239639,0.0,1.0,True,-0.08384370803833008,-0.09560380429029465,-0.0719650611281395,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
bce_linear,pqm_attention,-0.09030908346176147,-0.10263940095901489,-0.07818664014339448,0.0,1.0,True,-0.10137653350830078,-0.11743229627609253,-0.08611062616109849,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
bce_linear,bce_attention,-0.0894661545753479,-0.10274324864149094,-0.076828970015049,0.0,1.0,True,-0.1016232967376709,-0.11673900038003922,-0.08687909245491028,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
pqm_mlp,bce_mlp,-0.015114009380340576,-0.02201692759990692,-0.008363616466522228,0.0,1.0,True,-0.02043890953063965,-0.029031263291835786,-0.011723805963993085,0.0,1.0,True,0.0009995002498750624,0.0029985007496251873,True,0.0009995002498750624,0.0029985007496251873,True
pqm_mlp,pqm_attention,-0.031820476055145264,-0.0414446160197258,-0.022333307564258578,0.0,1.0,True,-0.03797173500061035,-0.049998138844966886,-0.026097366213798524,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
pqm_mlp,bce_attention,-0.03097754716873169,-0.042065149545669554,-0.02006317973136902,0.0,1.0,True,-0.03821849822998047,-0.05071607530117035,-0.025864912569522856,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
bce_mlp,pqm_attention,-0.016706466674804688,-0.02552740424871445,-0.007976906001567845,0.0,1.0,True,-0.017532825469970703,-0.029159338772296907,-0.006560711562633539,0.0005,0.9995,True,0.0009995002498750624,,,0.001999000499750125,,
bce_mlp,bce_attention,-0.015863537788391113,-0.024577121436595916,-0.007466161251068117,0.0,1.0,True,-0.01777958869934082,-0.02691895663738251,-0.00903085619211197,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
pqm_attention,bce_attention,0.0008429288864135742,-0.008582301437854767,0.01000162214040756,0.574,0.426,False,-0.0002467632293701172,-0.011026126146316529,0.010670639574527721,0.4795,0.5205,False,0.8525737131434283,0.8525737131434283,False,0.95952023988006,0.95952023988006,False
