arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant
linear_lr1e-4,linear_lr3e-5,0.000939488410949707,-0.00015157610177993775,0.001979163289070127,0.959,0.041,False,0.0009365677833557129,-0.0005972579121589661,0.0024983003735542277,0.869,0.131,False
linear_lr1e-4,linear_lr3e-4,0.0004159212112426758,-0.0009174659848213196,0.001769958436489105,0.7315,0.2685,False,0.0007420778274536133,-0.001091708242893219,0.002580747008323669,0.754,0.246,False
linear_lr1e-4,mlp_lr1e-4,-0.07017022371292114,-0.07903893291950226,-0.062022538483142854,0.0,1.0,True,-0.07598096132278442,-0.08879363089799881,-0.06307666748762131,0.0,1.0,True
linear_lr1e-4,mlp_lr3e-5,-0.07471507787704468,-0.08420943021774292,-0.06546601951122284,0.0,1.0,True,-0.08007031679153442,-0.09245368540287018,-0.06684516221284867,0.0,1.0,True
linear_lr1e-4,mlp_lr3e-4,-0.049702227115631104,-0.05857524871826172,-0.04150290340185167,0.0,1.0,True,-0.053994596004486084,-0.0657209262251854,-0.04193293452262879,0.0,1.0,True
linear_lr1e-4,cnn_lr1e-4,-0.08136886358261108,-0.09195363372564316,-0.07108415067195893,0.0,1.0,True,-0.08983486890792847,-0.1039379045367241,-0.07647615373134614,0.0,1.0,True
linear_lr1e-4,cnn_lr3e-5,-0.09123027324676514,-0.10213248133659363,-0.081375290453434,0.0,1.0,True,-0.1033279299736023,-0.11793865263462067,-0.08909836411476137,0.0,1.0,True
linear_lr1e-4,cnn_lr3e-4,-0.06456208229064941,-0.0737363800406456,-0.05570772141218186,0.0,1.0,True,-0.07325232028961182,-0.08573156893253327,-0.06091946959495545,0.0,1.0,True
linear_lr1e-4,gru_lr1e-4,-0.08552151918411255,-0.09694475382566452,-0.07385437786579133,0.0,1.0,True,-0.09492617845535278,-0.11086925566196441,-0.07925535142421723,0.0,1.0,True
linear_lr1e-4,gru_lr3e-5,-0.09778022766113281,-0.11155726313591004,-0.08368463218212127,0.0,1.0,True,-0.1031309962272644,-0.12072820812463761,-0.08451176285743714,0.0,1.0,True
linear_lr1e-4,gru_lr3e-4,-0.05135393142700195,-0.06154879331588745,-0.041260100901126875,0.0,1.0,True,-0.05619454383850098,-0.06806276440620422,-0.043709039688110365,0.0,1.0,True
linear_lr1e-4,attention_lr1e-4,-0.1019906997680664,-0.1152303621172905,-0.08895436823368072,0.0,1.0,True,-0.11395269632339478,-0.13082871288061143,-0.09692693203687668,0.0,1.0,True
linear_lr1e-4,attention_lr3e-5,-0.10837739706039429,-0.12225940674543381,-0.0945313036441803,0.0,1.0,True,-0.11706554889678955,-0.1345333620905876,-0.0997480034828186,0.0,1.0,True
linear_lr1e-4,attention_lr3e-4,-0.08388280868530273,-0.09602959901094436,-0.072655588388443,0.0,1.0,True,-0.09452003240585327,-0.11028481721878051,-0.07848356813192368,0.0,1.0,True
linear_lr1e-4,attention_pe_lr1e-4,-0.09790140390396118,-0.11130420714616776,-0.08473142087459565,0.0,1.0,True,-0.10207581520080566,-0.12041573524475098,-0.08431021869182587,0.0,1.0,True
linear_lr1e-4,attention_pe_lr3e-5,-0.11297476291656494,-0.127268049120903,-0.0988009497523308,0.0,1.0,True,-0.11831414699554443,-0.13623272329568864,-0.1004308134317398,0.0,1.0,True
linear_lr1e-4,attention_pe_lr3e-4,-0.050048768520355225,-0.06693141013383866,-0.03305983394384385,0.0,1.0,True,-0.044371724128723145,-0.06966549009084702,-0.018440808355808268,0.0005,0.9995,True
linear_lr3e-5,linear_lr3e-4,-0.0005235671997070312,-0.002545569837093353,0.0015496388077735899,0.315,0.685,False,-0.0001944899559020996,-0.003088405728340149,0.0026996880769729593,0.447,0.553,False
linear_lr3e-5,mlp_lr1e-4,-0.07110971212387085,-0.08026614189147949,-0.06291648298501969,0.0,1.0,True,-0.07691752910614014,-0.08956227600574493,-0.0640234261751175,0.0,1.0,True
linear_lr3e-5,mlp_lr3e-5,-0.07565456628799438,-0.08507629930973053,-0.06664671301841736,0.0,1.0,True,-0.08100688457489014,-0.09342705756425858,-0.06764416098594665,0.0,1.0,True
linear_lr3e-5,mlp_lr3e-4,-0.05064171552658081,-0.059440767765045165,-0.04240124821662903,0.0,1.0,True,-0.0549311637878418,-0.06725194007158279,-0.04280219674110413,0.0,1.0,True
linear_lr3e-5,cnn_lr1e-4,-0.08230835199356079,-0.09301571398973466,-0.07194772958755495,0.0,1.0,True,-0.09077143669128418,-0.105327907204628,-0.07717357724905015,0.0,1.0,True
linear_lr3e-5,cnn_lr3e-5,-0.09216976165771484,-0.10321455895900726,-0.08213559091091156,0.0,1.0,True,-0.10426449775695801,-0.1190552681684494,-0.08963484764099121,0.0,1.0,True
linear_lr3e-5,cnn_lr3e-4,-0.06550157070159912,-0.07448153346776962,-0.05688036531209946,0.0,1.0,True,-0.07418888807296753,-0.08672132492065429,-0.06200621277093888,0.0,1.0,True
linear_lr3e-5,gru_lr1e-4,-0.08646100759506226,-0.09819832742214203,-0.0748617395758629,0.0,1.0,True,-0.0958627462387085,-0.1120356872677803,-0.07996193617582321,0.0,1.0,True
linear_lr3e-5,gru_lr3e-5,-0.09871971607208252,-0.11246821731328964,-0.08457015901803973,0.0,1.0,True,-0.10406756401062012,-0.12197925597429275,-0.08553062081336978,0.0,1.0,True
linear_lr3e-5,gru_lr3e-4,-0.05229341983795166,-0.06283574551343918,-0.04202553778886795,0.0,1.0,True,-0.05713111162185669,-0.06905417293310165,-0.04452176988124847,0.0,1.0,True
linear_lr3e-5,attention_lr1e-4,-0.10293018817901611,-0.11653626412153244,-0.08991817086935044,0.0,1.0,True,-0.11488926410675049,-0.1318780153989792,-0.09785524308681488,0.0,1.0,True
linear_lr3e-5,attention_lr3e-5,-0.109316885471344,-0.12321515083312988,-0.09555930942296983,0.0,1.0,True,-0.11800211668014526,-0.13529673963785172,-0.10042644441127778,0.0,1.0,True
linear_lr3e-5,attention_lr3e-4,-0.08482229709625244,-0.09708324670791627,-0.07348866164684296,0.0,1.0,True,-0.09545660018920898,-0.11142180860042572,-0.07948112934827804,0.0,1.0,True
linear_lr3e-5,attention_pe_lr1e-4,-0.09884089231491089,-0.11228508949279785,-0.08546259701251983,0.0,1.0,True,-0.10301238298416138,-0.1213677018880844,-0.08516106307506562,0.0,1.0,True
linear_lr3e-5,attention_pe_lr3e-5,-0.11391425132751465,-0.12829785346984862,-0.09969163537025454,0.0,1.0,True,-0.11925071477890015,-0.13755877763032914,-0.10099274665117264,0.0,1.0,True
linear_lr3e-5,attention_pe_lr3e-4,-0.05098825693130493,-0.06817754954099656,-0.034088343381881714,0.0,1.0,True,-0.04530829191207886,-0.07046090364456177,-0.01939726769924166,0.0005,0.9995,True
linear_lr3e-4,mlp_lr1e-4,-0.07058614492416382,-0.07986396700143814,-0.06209645867347717,0.0,1.0,True,-0.07672303915023804,-0.08998941332101822,-0.06353101879358293,0.0,1.0,True
linear_lr3e-4,mlp_lr3e-5,-0.07513099908828735,-0.08477818369865417,-0.06592555046081544,0.0,1.0,True,-0.08081239461898804,-0.09342964589595795,-0.06724090427160263,0.0,1.0,True
linear_lr3e-4,mlp_lr3e-4,-0.05011814832687378,-0.05891907662153244,-0.04160337746143342,0.0,1.0,True,-0.0547366738319397,-0.06697832942008972,-0.04234185218811036,0.0,1.0,True
linear_lr3e-4,cnn_lr1e-4,-0.08178478479385376,-0.0925393596291542,-0.0714312568306923,0.0,1.0,True,-0.09057694673538208,-0.10489116609096527,-0.07663123011589053,0.0,1.0,True
linear_lr3e-4,cnn_lr3e-5,-0.09164619445800781,-0.1025532379746437,-0.08167952895164492,0.0,1.0,True,-0.10407000780105591,-0.11869309097528458,-0.08960441499948502,0.0,1.0,True
linear_lr3e-4,cnn_lr3e-4,-0.06497800350189209,-0.07425197660923004,-0.055750943720340736,0.0,1.0,True,-0.07399439811706543,-0.0865077555179596,-0.06144048720598221,0.0,1.0,True
linear_lr3e-4,gru_lr1e-4,-0.08593744039535522,-0.09745009690523147,-0.073995940387249,0.0,1.0,True,-0.0956682562828064,-0.11171695441007615,-0.07962293028831482,0.0,1.0,True
linear_lr3e-4,gru_lr3e-5,-0.09819614887237549,-0.11212060749530792,-0.08386605083942417,0.0,1.0,True,-0.10387307405471802,-0.12190997898578644,-0.08529030382633211,0.0,1.0,True
linear_lr3e-4,gru_lr3e-4,-0.05176985263824463,-0.062073341012001036,-0.04138703644275665,0.0,1.0,True,-0.05693662166595459,-0.06898220032453536,-0.04421680271625519,0.0,1.0,True
linear_lr3e-4,attention_lr1e-4,-0.10240662097930908,-0.11579893827438355,-0.08908032327890396,0.0,1.0,True,-0.11469477415084839,-0.1316322475671768,-0.09757259637117387,0.0,1.0,True
linear_lr3e-4,attention_lr3e-5,-0.10879331827163696,-0.12247597724199295,-0.09487127214670182,0.0,1.0,True,-0.11780762672424316,-0.13608237504959106,-0.0997735157608986,0.0,1.0,True
linear_lr3e-4,attention_lr3e-4,-0.08429872989654541,-0.09645494073629379,-0.0728289857506752,0.0,1.0,True,-0.09526211023330688,-0.11109731495380401,-0.07869839817285537,0.0,1.0,True
linear_lr3e-4,attention_pe_lr1e-4,-0.09831732511520386,-0.11209963113069535,-0.08485467433929443,0.0,1.0,True,-0.10281789302825928,-0.12122152298688889,-0.08463017344474794,0.0,1.0,True
linear_lr3e-4,attention_pe_lr3e-5,-0.11339068412780762,-0.1276399776339531,-0.09892110079526902,0.0,1.0,True,-0.11905622482299805,-0.13721366375684738,-0.10070479661226273,0.0,1.0,True
linear_lr3e-4,attention_pe_lr3e-4,-0.0504646897315979,-0.06754624992609023,-0.03333192318677903,0.0,1.0,True,-0.04511380195617676,-0.07034805119037628,-0.018977788090705872,0.0005,0.9995,True
mlp_lr1e-4,mlp_lr3e-5,-0.004544854164123535,-0.008293673396110535,-0.0007564440369606076,0.0105,0.9895,True,-0.00408935546875,-0.010112525522708892,0.0021655753254890427,0.0915,0.9085,False
mlp_lr1e-4,mlp_lr3e-4,0.02046799659729004,0.01574646532535553,0.025215005874633788,1.0,0.0,True,0.02198636531829834,0.01411062479019165,0.029593051970005033,1.0,0.0,True
