arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant,roc_auc_p_value,roc_auc_p_holm,roc_auc_significant_holm,average_precision_p_value,average_precision_p_holm,average_precision_significant_holm
linear_z4,linear_z2,0.0041007399559021,0.0024296939373016357,0.005825194716453552,1.0,0.0,True,0.006904006004333496,0.004980042576789856,0.008793273568153381,1.0,0.0,True,0.0009995002498750624,0.005997001499250375,True,0.0009995002498750624,0.005997001499250375,True
linear_z4,linear_z8,0.0014798641204833984,-0.000874367356300354,0.0036015942692756626,0.9055,0.0945,False,0.0005436539649963379,-0.002234828472137451,0.003000879287719726,0.655,0.345,False,0.18990504747626186,0.416791604197901,False,0.6906546726636682,0.6906546726636682,False
linear_z4,attention_z4,-0.1019906997680664,-0.1152303621172905,-0.08895436823368072,0.0,1.0,True,-0.11395269632339478,-0.13082871288061143,-0.09692693203687668,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_z4,attention_z2,-0.09883534908294678,-0.11314780712127685,-0.08507940322160722,0.0,1.0,True,-0.10242187976837158,-0.12189185172319413,-0.08357777446508408,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_z4,attention_z8,-0.08926349878311157,-0.10321307480335236,-0.07667505741119386,0.0,1.0,True,-0.09385967254638672,-0.11082554906606674,-0.0772948756814003,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_z2,linear_z8,-0.002620875835418701,-0.006416328251361847,0.0008330747485160825,0.069,0.931,False,-0.006360352039337158,-0.010582028329372406,-0.0025440186262130765,0.0015,0.9985,True,0.13893053473263367,0.416791604197901,False,0.00399800099950025,0.015992003998001,True
linear_z2,attention_z4,-0.1060914397239685,-0.11966082304716111,-0.09264208078384399,0.0,1.0,True,-0.12085670232772827,-0.1382385328412056,-0.10373736917972569,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_z2,attention_z2,-0.10293608903884888,-0.11760005503892898,-0.08896884173154831,0.0,1.0,True,-0.10932588577270508,-0.12886248677968978,-0.09000309556722641,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_z2,attention_z8,-0.09336423873901367,-0.10773353427648544,-0.0806737989187241,0.0,1.0,True,-0.10076367855072021,-0.1181978777050972,-0.08379773795604706,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_z8,attention_z4,-0.1034705638885498,-0.11694272756576538,-0.09052271991968155,0.0,1.0,True,-0.11449635028839111,-0.13179825693368913,-0.09701825380325317,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_z8,attention_z2,-0.10031521320343018,-0.11482553631067276,-0.08644277900457382,0.0,1.0,True,-0.10296553373336792,-0.12274656891822815,-0.08417104184627534,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_z8,attention_z8,-0.09074336290359497,-0.10454197824001313,-0.07776673138141633,0.0,1.0,True,-0.09440332651138306,-0.11155924946069717,-0.07714136689901353,0.0,1.0,True,0.0009995002498750624,,,0.0009995002498750624,,
attention_z4,attention_z2,0.003155350685119629,-0.005368146300315857,0.011499032378196715,0.773,0.227,False,0.011530816555023193,0.0009679138660430909,0.022249512374401093,0.983,0.017,True,0.4547726136931534,0.4547726136931534,False,0.03498250874562719,0.10494752623688156,False
attention_z4,attention_z8,0.012727200984954834,0.00431240051984787,0.020848089456558205,0.9985,0.0015,True,0.020093023777008057,0.010212907195091247,0.029890665411949156,1.0,0.0,True,0.00399800099950025,0.019990004997501247,True,0.0009995002498750624,0.005997001499250375,True
attention_z2,attention_z8,0.009571850299835205,0.0016655921936035156,0.017449994385242456,0.993,0.007,True,0.008562207221984863,-0.0018818080425262451,0.019341357052326202,0.9445,0.0555,False,0.014992503748125937,0.05997001499250375,False,0.111944027986007,0.223888055972014,False
