head,group_type,group,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy
attention,length,short,929,2775,0.7106306552886963,0.6910181045532227,0.7840288877487183,0.8156898021697998,0.9458689458689459
attention,length,medium,653,3840,0.7216145992279053,0.721514105796814,0.8043811917304993,0.8051402568817139,0.9239856189008732
attention,length,long,641,7192,0.7419354915618896,0.7199006080627441,0.8066624402999878,0.7283628582954407,0.9207284977366038
attention,error_count,one_error,231,930,0.6860215067863464,0.608531653881073,0.6566709280014038,0.8297015428543091,0.9055793991416309
attention,error_count,multiple_errors,1314,9640,0.7187759280204773,0.687361478805542,0.7731854915618896,0.5022886395454407,0.9237487990217487
attention,first_error_position,early,941,7271,0.7609682083129883,0.7062257528305054,0.8056961894035339,0.4040796160697937,0.9408284023668639
attention,first_error_position,middle,276,1669,0.6039544343948364,0.6121401190757751,0.6766335368156433,0.629181981086731,0.9180212014134276
attention,first_error_position,late,328,1630,0.629447877407074,0.5993531942367554,0.6363387703895569,0.792550802230835,0.8581296493092455
attention_pe,length,short,929,2775,0.7048648595809937,0.685440182685852,0.7756952047348022,0.8143733143806458,0.9387464387464387
attention_pe,length,medium,653,3840,0.7236979007720947,0.7236310839653015,0.7996456623077393,0.7945936322212219,0.9173086800205444
attention_pe,length,long,641,7192,0.728865385055542,0.7094378471374512,0.7906737327575684,0.6968040466308594,0.9293609853668807
attention_pe,error_count,one_error,231,930,0.675268828868866,0.6086245775222778,0.651549220085144,0.8276808261871338,0.876967095851216
attention_pe,error_count,multiple_errors,1314,9640,0.7250000238418579,0.7102077603340149,0.7815483212471008,0.5185766220092773,0.9310856843392435
attention_pe,first_error_position,early,941,7271,0.7595928907394409,0.7436416149139404,0.8269000053405762,0.4318762719631195,0.9458041958041958
attention_pe,first_error_position,middle,276,1669,0.6363091468811035,0.6422647833824158,0.6856819987297058,0.6494066715240479,0.9296819787985866
attention_pe,first_error_position,late,328,1630,0.633128821849823,0.6081716418266296,0.6357985734939575,0.7968708276748657,0.8549415515409139
