head,offset,mean_standardized_q,std_standardized_q,n
attention,-2,0.4952147305011749,0.7990869879722595,524
attention,-1,0.410602867603302,0.77762371301651,879
attention,0,-0.08110377192497253,0.8301786184310913,879
attention,1,-0.16673369705677032,0.7511905431747437,675
attention,2,-0.2735280990600586,0.7585623860359192,542
attention_pe,-2,0.4947507977485657,0.7847710847854614,524
attention_pe,-1,0.43958282470703125,0.7690294981002808,879
attention_pe,0,-0.02851027436554432,0.7844523787498474,879
attention_pe,1,-0.10678102821111679,0.7422319650650024,675
attention_pe,2,-0.1940993219614029,0.7783987522125244,542
