head,variant,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy,roc_auc_delta,ranking_accuracy_delta
attention,original,2223,13807,0.7299920320510864,0.7290221452713013,0.805936336517334,0.7745605707168579,0.9227033256503128,0.0,0.0
attention,reverse,2223,13807,0.7299920320510864,0.7290221452713013,0.805936336517334,0.7745605707168579,0.9227033256503128,0.0,0.0
attention,swap_adjacent,2223,13807,0.7299920320510864,0.7290221452713013,0.805936336517334,0.7745605707168579,0.9227033256503128,0.0,0.0
attention,mask_previous,2223,13807,0.6984138488769531,0.693914532661438,0.7689640522003174,0.7418872117996216,0.7267863022719789,-0.0369722843170166,-0.19591702337833383
attention,mask_first_error,2223,13807,0.7615702152252197,0.7574175596237183,0.8366981148719788,0.8231214284896851,0.9335693118208759,0.030761778354644775,0.010865986170563113
attention_pe,original,2223,13807,0.7226044535636902,0.7218103408813477,0.7951765060424805,0.7607229351997375,0.9279716825814949,0.0,0.0
attention_pe,reverse,2223,13807,0.724415123462677,0.7237688302993774,0.7981323003768921,0.7617806792259216,0.9272308198880475,0.002955794334411621,-0.0007408626934474194
attention_pe,swap_adjacent,2223,13807,0.7216629385948181,0.7211520671844482,0.795430064201355,0.7605360150337219,0.9283832729667435,0.0002535581588745117,0.000411590385248628
attention_pe,mask_previous,2223,13807,0.69515460729599,0.6903324127197266,0.7667033076286316,0.736185610294342,0.7420151465261772,-0.028473198413848877,-0.1859565360553177
attention_pe,mask_first_error,2223,13807,0.7709857225418091,0.766139030456543,0.8439271450042725,0.823462188243866,0.9397431675996049,0.04875063896179199,0.011771485018109984
