head,group_type,group,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy
linear,length,short,929,2775,0.6890090107917786,0.6673758625984192,0.7470798492431641,0.779215931892395,0.9202279202279202
linear,length,medium,653,3840,0.707812488079071,0.7077548503875732,0.7703584432601929,0.7549916505813599,0.8998459167950693
linear,length,long,641,7192,0.7262235879898071,0.711228609085083,0.7995330691337585,0.7136980295181274,0.9565217391304348
linear,error_count,one_error,231,930,0.7311828136444092,0.6863980293273926,0.7759817838668823,0.9212327599525452,0.9298998569384835
linear,error_count,multiple_errors,1314,9640,0.7328838109970093,0.7505037188529968,0.8211141228675842,0.5942171812057495,0.9462835182111975
linear,first_error_position,early,941,7271,0.7364873886108398,0.7670278549194336,0.8361604809761047,0.4868408441543579,0.9532006455083378
linear,first_error_position,middle,276,1669,0.7195925712585449,0.7266067266464233,0.8002970814704895,0.7642938494682312,0.9342756183745583
linear,first_error_position,late,328,1630,0.7294478416442871,0.7146624326705933,0.7951596975326538,0.9099689722061157,0.9309245483528161
mlp,length,short,929,2775,0.7491891980171204,0.7435195446014404,0.8244691491127014,0.8496149182319641,0.9088319088319088
mlp,length,medium,653,3840,0.7518228888511658,0.7518788576126099,0.8307119011878967,0.8228958249092102,0.9096045197740112
mlp,length,long,641,7192,0.7654337882995605,0.7547944784164429,0.8467186093330383,0.7682523131370544,0.9668386145910096
mlp,error_count,one_error,231,930,0.7430107593536377,0.7435389757156372,0.7968464493751526,0.8915014863014221,0.927038626609442
mlp,error_count,multiple_errors,1314,9640,0.7848547697067261,0.7865264415740967,0.8655850291252136,0.6609047651290894,0.9559786880950302
mlp,first_error_position,early,941,7271,0.8040159344673157,0.8197504281997681,0.8949397206306458,0.5621567368507385,0.9700107584722969
mlp,first_error_position,middle,276,1669,0.7333732843399048,0.7376949787139893,0.8153950572013855,0.7699340581893921,0.9314487632508834
mlp,first_error_position,late,328,1630,0.7282208800315857,0.7380681037902832,0.7997623682022095,0.8863831162452698,0.926673751328374
cnn,length,short,929,2775,0.7679279446601868,0.7613341808319092,0.8453669548034668,0.8727871179580688,0.9358974358974359
cnn,length,medium,653,3840,0.7604166865348816,0.7604981064796448,0.8447815179824829,0.8409369587898254,0.9270672829994864
cnn,length,long,641,7192,0.7736373543739319,0.7605034112930298,0.8565442562103271,0.7755992412567139,0.9616801768607222
cnn,error_count,one_error,231,930,0.7430107593536377,0.7377422451972961,0.799534261226654,0.8832839131355286,0.9513590844062947
cnn,error_count,multiple_errors,1314,9640,0.7951244711875916,0.7885234355926514,0.870819628238678,0.6664242148399353,0.954843217748275
cnn,first_error_position,early,941,7271,0.8199697136878967,0.8286652565002441,0.9031056761741638,0.586746096611023,0.9685314685314685
cnn,first_error_position,middle,276,1669,0.7237867116928101,0.7250290513038635,0.8065823912620544,0.749723494052887,0.9247349823321555
cnn,first_error_position,late,328,1630,0.7276073694229126,0.7370132207870483,0.8053176999092102,0.8849934935569763,0.944739638682253
gru,length,short,929,2775,0.7430630922317505,0.7273977994918823,0.8253894448280334,0.8533503413200378,0.8846153846153846
gru,length,medium,653,3840,0.7614583373069763,0.7613943815231323,0.8372746706008911,0.8308013081550598,0.9131997945557268
gru,length,long,641,7192,0.7903226017951965,0.7737793922424316,0.8696504235267639,0.8055496215820312,0.960627434466786
gru,error_count,one_error,231,930,0.6967741847038269,0.6722033023834229,0.7227703332901001,0.8454128503799438,0.932761087267525
gru,error_count,multiple_errors,1314,9640,0.7809128761291504,0.7743425369262695,0.8558756709098816,0.639175295829773,0.9496025853786357
gru,first_error_position,early,941,7271,0.8139182925224304,0.8092097043991089,0.894262969493866,0.5944510698318481,0.9733727810650887
gru,first_error_position,middle,276,1669,0.673457145690918,0.6768263578414917,0.7323418855667114,0.6395960450172424,0.9091872791519434
gru,first_error_position,late,328,1630,0.6957055330276489,0.6715813875198364,0.7228366136550903,0.8356519937515259,0.910201912858661
attention,length,short,929,2775,0.7823423147201538,0.7736871242523193,0.8627703189849854,0.8808780312538147,0.9202279202279202
attention,length,medium,653,3840,0.7864583134651184,0.7863695025444031,0.8693410754203796,0.8648931980133057,0.9388803287108372
attention,length,long,641,7192,0.8008898496627808,0.7903077602386475,0.8765460848808289,0.8074876070022583,0.9785240551637014
attention,error_count,one_error,231,930,0.7623655796051025,0.7419226169586182,0.7944249510765076,0.8771085739135742,0.9484978540772532
attention,error_count,multiple_errors,1314,9640,0.7962655425071716,0.7948241233825684,0.872406542301178,0.6530600786209106,0.9700410516202288
attention,first_error_position,early,941,7271,0.8232704997062683,0.8187781572341919,0.8967692852020264,0.570655107498169,0.9821140398063475
