head,agg,k,accuracy,ci_low,ci_high,n_questions
linear,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
linear,min,2,0.32520851492881775,0.3072772979736328,0.3435566656291485,1319
linear,min,4,0.33441999554634094,0.31565485075116156,0.3541698157787323,1319
linear,min,8,0.33366188406944275,0.3134941220283508,0.35500475093722345,1319
linear,min,16,0.3381349444389343,0.3115997016429901,0.3646702170372009,1319
linear,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
linear,mean,2,0.32706594467163086,0.3090181894600391,0.34567853808403015,1319
linear,mean,4,0.33426839113235474,0.315502268075943,0.35413572713732716,1319
linear,mean,8,0.3338513970375061,0.31341640949249266,0.3550056703388691,1319
linear,mean,16,0.3313116133213043,0.3055344820022583,0.35784685611724854,1319
linear,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
linear,last,2,0.3343820869922638,0.31625472456216813,0.353527295589447,1319
linear,last,4,0.3468157649040222,0.32744505926966666,0.36607659384608265,1319
linear,last,8,0.35451096296310425,0.33316430523991586,0.37638363242149353,1319
linear,last,16,0.35784685611724854,0.3320508010685444,0.3851402699947357,1319
mlp,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
mlp,min,2,0.31425321102142334,0.2969654925167561,0.33195700496435165,1319
mlp,min,4,0.3229340612888336,0.3048852987587452,0.34257296919822694,1319
mlp,min,8,0.3263078033924103,0.30663193464279176,0.3483709327876568,1319
mlp,min,16,0.32373011112213135,0.2987111508846283,0.35026535391807556,1319
mlp,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
mlp,mean,2,0.3228202760219574,0.30522931888699534,0.340902179479599,1319
mlp,mean,4,0.3345337510108948,0.3159201808273792,0.35364099144935607,1319
mlp,mean,8,0.3354055881500244,0.31440392732620237,0.3565248541533947,1319
mlp,mean,16,0.3358604907989502,0.31008338928222656,0.3623957633972168,1319
mlp,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
mlp,last,2,0.32119032740592957,0.30352349281311036,0.33977066874504086,1319
mlp,last,4,0.33351022005081177,0.31447968557476996,0.35280703380703926,1319
mlp,last,8,0.3394996225833893,0.3188713014125824,0.3601980745792389,1319
mlp,last,16,0.341925710439682,0.31690675020217896,0.3684609532356262,1319
cnn,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
cnn,min,2,0.3104245364665985,0.2930591344833374,0.3284382335841655,1319
cnn,min,4,0.3158453404903412,0.297231800109148,0.33491564989089967,1319
cnn,min,8,0.326497346162796,0.305570524930954,0.3470432162284851,1319
cnn,min,16,0.3320697546005249,0.3055344820022583,0.35708871483802795,1319
cnn,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
cnn,mean,2,0.3194844424724579,0.3015542313456535,0.3377596795558929,1319
cnn,mean,4,0.32812735438346863,0.30913573428988456,0.34723275899887085,1319
cnn,mean,8,0.3314632475376129,0.3100398242473602,0.3517067976295948,1319
cnn,mean,16,0.33434420824050903,0.3085671067237854,0.3586239516735076,1319
cnn,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
cnn,last,2,0.33180439472198486,0.31353108286857606,0.35117891952395436,1319
cnn,last,4,0.34984833002090454,0.3303610563278198,0.3695678249001503,1319
cnn,last,8,0.361068993806839,0.33931007981300354,0.38286771178245543,1319
cnn,last,16,0.3631539046764374,0.33737680315971375,0.39044731855392456,1319
gru,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
gru,min,2,0.3219863474369049,0.3042437255382538,0.3398417465388775,1319
gru,min,4,0.3311220705509186,0.31284970641136167,0.3498143002390861,1319
gru,min,8,0.34529948234558105,0.3239196240901947,0.36683281064033507,1319
gru,min,16,0.3548142611980438,0.3282789885997772,0.3821076452732086,1319
gru,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
gru,mean,2,0.33032602071762085,0.3126222550868988,0.34882675409317015,1319
gru,mean,4,0.3432145416736603,0.32456024959683416,0.3624384097754955,1319
gru,mean,8,0.352009117603302,0.3299838662147522,0.3734306156635284,1319
gru,mean,16,0.3555724024772644,0.3282789885997772,0.38136845752596843,1319
gru,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
gru,last,2,0.3343062996864319,0.3162167854607105,0.35367703437805176,1319
gru,last,4,0.35034114122390747,0.33058948442339897,0.37001798823475834,1319
gru,last,8,0.3584154546260834,0.33616281151771543,0.38025116324424746,1319
gru,last,16,0.3593631684780121,0.3320697546005249,0.3866565525531769,1319
attention,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
attention,min,2,0.3236163854598999,0.30610121563076975,0.3416641406714916,1319
attention,min,4,0.33419257402420044,0.3152757935225964,0.3538693904876709,1319
attention,min,8,0.34010612964630127,0.3198635272681713,0.361528605222702,1319
attention,min,16,0.34420016407966614,0.3191812038421631,0.37149354815483093,1319
attention,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
