head_a,head_b,causal_roc_auc_diff,causal_roc_auc_diff_ci_low,causal_roc_auc_diff_ci_high,causal_roc_auc_prob_a_better,causal_roc_auc_significant
linear,mlp,-0.05422252416610718,-0.06220466047525406,-0.046807594597339644,0.0,True
linear,cnn,-0.005394577980041504,-0.015980443358421324,0.005048908293247221,0.1445,False
linear,gru,-0.048069000244140625,-0.058544459939002993,-0.03799323290586472,0.0,True
linear,attention,-0.059116363525390625,-0.07054898589849472,-0.04834539145231249,0.0,True
linear,attention_pe,-0.031457602977752686,-0.041800501942634585,-0.021803142130374917,0.0,True
mlp,cnn,0.048827946186065674,0.04124384224414825,0.05640548467636108,1.0,True
mlp,gru,0.006153523921966553,-0.0021892979741096495,0.014448767900466916,0.9315,False
mlp,attention,-0.004893839359283447,-0.013010804355144501,0.0032928496599197365,0.12,False
mlp,attention_pe,0.022764921188354492,0.0144571915268898,0.031248039007186878,1.0,True
cnn,gru,-0.04267442226409912,-0.051274143159389496,-0.03377268463373185,0.0,True
cnn,attention,-0.05372178554534912,-0.06323625445365906,-0.043599058687686924,0.0,True
cnn,attention_pe,-0.02606302499771118,-0.03621608167886734,-0.01599139273166657,0.0,True
gru,attention,-0.01104736328125,-0.01930391788482666,-0.003200721740722657,0.006,True
gru,attention_pe,0.01661139726638794,0.0061698868870735165,0.02655730992555617,0.9995,True
attention,attention_pe,0.02765876054763794,0.019223691523075105,0.03587562292814254,1.0,True
