head,offset,mean_standardized_q,std_standardized_q,n
linear,-2,0.7477477788925171,0.8162410855293274,524
linear,-1,0.6376169919967651,0.8268440961837769,879
linear,0,-0.15273554623126984,0.8532153367996216,879
linear,1,-0.09994238615036011,0.9050333499908447,675
linear,2,-0.2512635290622711,0.8990979194641113,542
mlp,-2,0.6705754399299622,0.5854945778846741,524
mlp,-1,0.5508129000663757,0.6319958567619324,879
mlp,0,-0.28985661268234253,0.9219340085983276,879
mlp,1,-0.1519060730934143,1.0304670333862305,675
mlp,2,-0.27294981479644775,0.9863178133964539,542
cnn,-2,0.5481116771697998,0.4761734902858734,524
cnn,-1,0.46529728174209595,0.5163823962211609,879
cnn,0,-0.4750179052352905,1.2938573360443115,879
cnn,1,-0.13337035477161407,0.8960953950881958,675
cnn,2,-0.26762497425079346,0.9970961213111877,542
gru,-2,0.5142772197723389,0.6409416794776917,524
gru,-1,0.42957842350006104,0.64178866147995,879
gru,0,-0.20909321308135986,0.8604034781455994,879
gru,1,-0.09746487438678741,0.8481027483940125,675
gru,2,-0.24053223431110382,0.9068536758422852,542
attention,-2,0.6074647307395935,0.6114378571510315,524
attention,-1,0.4987523853778839,0.6384943723678589,879
attention,0,-0.24812176823616028,0.8539898991584778,879
attention,1,-0.13458268344402313,0.8207709789276123,675
attention,2,-0.20474933087825775,0.9176127314567566,542
attention_pe,-2,0.5708309412002563,0.6577181220054626,524
attention_pe,-1,0.4746857285499573,0.6677576899528503,879
attention_pe,0,-0.28329387307167053,0.8453580737113953,879
attention_pe,1,-0.1527254283428192,0.8102796673774719,675
attention_pe,2,-0.2481100708246231,0.8701304197311401,542
