head,variant,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy,roc_auc_delta,ranking_accuracy_delta
linear,original,2223,13807,0.7136235237121582,0.7137981057167053,0.7871658802032471,0.7434331178665161,0.9453407968389859,0.0,0.0
linear,reverse,2223,13807,0.7136235237121582,0.7137981057167053,0.7871658802032471,0.7434331178665161,0.9453407968389859,0.0,0.0
linear,swap_adjacent,2223,13807,0.7136235237121582,0.7137981057167053,0.7871658802032471,0.7434331178665161,0.9453407968389859,0.0,0.0
linear,mask_previous,2223,13807,0.6632143259048462,0.6589431166648865,0.7251784801483154,0.6899308562278748,0.7835857754362858,-0.06198740005493164,-0.16175502140270004
linear,mask_first_error,2223,13807,0.7718548774719238,0.767663836479187,0.84844571352005,0.8236410021781921,0.9581000987816924,0.06127983331680298,0.01275930194270658
mlp,original,2223,13807,0.7583834528923035,0.7563014030456543,0.8413884043693542,0.8074451088905334,0.9543134672374053,0.0,0.0
mlp,reverse,2223,13807,0.7583834528923035,0.7563014030456543,0.8413884043693542,0.8074451088905334,0.9543134672374053,0.0,0.0
mlp,swap_adjacent,2223,13807,0.7583834528923035,0.7563014030456543,0.8413884043693542,0.8074451088905334,0.9543134672374053,0.0,0.0
mlp,mask_previous,2223,13807,0.7121750116348267,0.7060176730155945,0.7667533755302429,0.7521643042564392,0.7784820546592032,-0.07463502883911133,-0.17583141257820212
mlp,mask_first_error,2223,13807,0.7972767353057861,0.7922788858413696,0.8864807486534119,0.8623952865600586,0.971764899571946,0.04509234428405762,0.017451432334540717
cnn,original,2223,13807,0.768812894821167,0.7661144137382507,0.8539860844612122,0.8239462375640869,0.9546427395456042,0.0,0.0
cnn,reverse,2223,13807,0.6540160775184631,0.6475628614425659,0.7131447196006775,0.6579106450080872,0.6978103391504774,-0.14084136486053467,-0.2568324003951268
cnn,swap_adjacent,2223,13807,0.7155066132545471,0.7119002342224121,0.7940453886985779,0.7509388327598572,0.8575074086269344,-0.05994069576263428,-0.09713533091866977
cnn,mask_previous,2223,13807,0.7579488754272461,0.7537722587585449,0.8427549600601196,0.8101145625114441,0.8986664471517946,-0.01123112440109253,-0.055976292393809635
cnn,mask_first_error,2223,13807,0.7714203000068665,0.7677109241485596,0.8523634672164917,0.8366338014602661,0.9166117879486335,-0.001622617244720459,-0.038030951596970675
gru,original,2223,13807,0.7727963924407959,0.7719500064849854,0.8546541929244995,0.8248916268348694,0.9486335199209747,0.0,0.0
gru,reverse,2223,13807,0.6044759750366211,0.6194983720779419,0.6826012134552002,0.6330015659332275,0.515311162331248,-0.17205297946929932,-0.4333223575897267
gru,swap_adjacent,2223,13807,0.7507786154747009,0.7529537677764893,0.8307852149009705,0.7935125827789307,0.9001481725386895,-0.023868978023529053,-0.04848534738228516
gru,mask_previous,2223,13807,0.7239806056022644,0.7305046319961548,0.7819641828536987,0.6861352920532227,0.751152453078696,-0.07269001007080078,-0.19748106684227862
gru,mask_first_error,2223,13807,0.5592815279960632,0.5774203538894653,0.660978376865387,0.6098934412002563,0.8061409285479091,-0.19367581605911255,-0.14249259137306558
attention,original,2223,13807,0.793148398399353,0.7930097579956055,0.8734456896781921,0.8455730080604553,0.9688014487981561,0.0,0.0
attention,reverse,2223,13807,0.793148398399353,0.7930097579956055,0.8734456896781921,0.8455730080604553,0.9688014487981561,0.0,0.0
attention,swap_adjacent,2223,13807,0.793148398399353,0.7930097579956055,0.8734456896781921,0.8455730080604553,0.9688014487981561,0.0,0.0
attention,mask_previous,2223,13807,0.7591801285743713,0.7558329105377197,0.8416287899017334,0.8156297206878662,0.8094336516298979,-0.03181689977645874,-0.15936779716825822
attention,mask_first_error,2223,13807,0.8068370819091797,0.8052467703819275,0.881722092628479,0.8631463050842285,0.9750576226539348,0.008276402950286865,0.006256173855778702
attention_pe,original,2223,13807,0.7964800596237183,0.7957016229629517,0.8695724606513977,0.841658353805542,0.9722588080342444,0.0,0.0
attention_pe,reverse,2223,13807,0.7921344041824341,0.7899328470230103,0.8672071695327759,0.8388255834579468,0.969130721106355,-0.002365291118621826,-0.003128086927889351
attention_pe,swap_adjacent,2223,13807,0.7945969700813293,0.7935224771499634,0.8688384294509888,0.840801477432251,0.9716825814948963,-0.0007340312004089355,-0.0005762265393480792
attention_pe,mask_previous,2223,13807,0.7737379670143127,0.7710129022598267,0.8500704169273376,0.8229209184646606,0.8715014817253869,-0.01950204372406006,-0.10075732630885748
attention_pe,mask_first_error,2223,13807,0.7884406447410583,0.7871777415275574,0.8657650947570801,0.846803605556488,0.9672374053342114,-0.003807365894317627,-0.005021402700032929
