head,policy,budget,group_type,group,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate
linear,single_low,0.05,length,short,915,915,375,540,0,0.013333333333333334,0.003703703703703704,0.04814814814814815,0.009259259259259259,0.020370370370370372,0.03333333333333333,1.692307710647583,2.0,0.007320644216691069,0.004026354319180088,0.00674432863274065,0.2349926793557833,0.017133956386292833,
linear,single_low,0.05,length,medium,454,454,159,295,0,0.031446540880503145,0.010169491525423728,0.2135593220338983,0.013559322033898305,0.05423728813559322,0.09152542372881356,2.7142856121063232,3.0,0.03816793893129771,0.030936118923262354,0.047766749379652605,0.3459220570510245,0.08943089430894309,
linear,single_low,0.05,length,long,642,642,141,501,0,0.1702127659574468,0.01996007984031936,0.5169660678642715,0.0499001996007984,0.12974051896207583,0.18562874251497005,4.3166022300720215,4.0,0.20357723577235773,0.1796747967479675,0.22592516867716214,0.5899186991869919,0.3045755237045204,
linear,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.0,0.37844611528822053,0.03007518796992481,0.08771929824561403,0.12280701754385964,4.185430526733398,4.0,0.2087307410124725,0.2087307410124725,0.2087307410124725,0.8094277329420396,0.2578744618173578,
linear,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.016666666666666666,0.125,0.0125,0.03333333333333333,0.1,1.9333332777023315,2.0,0.05773501110288675,0.03478904515173945,0.03478904515173945,0.4448556624722428,0.07820299500831947,
linear,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.03691275167785235,0.053691275167785234,0.02348993288590604,0.04697986577181208,0.053691275167785234,0.6875,1.0,0.0405709992486852,0.006010518407212622,0.006010518407212622,0.0879038317054846,0.06837606837606838,
mlp,single_low,0.05,length,short,915,915,375,540,0,0.005333333333333333,0.003703703703703704,0.13703703703703704,0.03518518518518519,0.08888888888888889,0.12037037037037036,1.2162162065505981,1.0,0.008784773060029283,0.0076866764275256225,0.012875536480686695,0.2349926793557833,0.03271028037383177,
mlp,single_low,0.05,length,medium,454,454,159,295,0,0.0440251572327044,0.010169491525423728,0.25084745762711863,0.030508474576271188,0.07796610169491526,0.15593220338983052,2.1351351737976074,2.0,0.057051024507834475,0.04981920449979912,0.07692307692307693,0.3459220570510245,0.1440185830429733,
mlp,single_low,0.05,length,long,642,642,141,501,0,0.16312056737588654,0.011976047904191617,0.6407185628742516,0.09181636726546906,0.20758483033932135,0.2894211576846307,3.461059093475342,3.0,0.28032520325203253,0.25869918699186994,0.3252913514618687,0.5899186991869919,0.43853362734288864,
mlp,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.0,0.48872180451127817,0.06265664160401002,0.15538847117794485,0.23684210526315788,3.2333333492279053,3.0,0.3037417461482025,0.3037417461482025,0.3037417461482025,0.8094277329420396,0.3752549286199864,
mlp,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.016666666666666666,0.2,0.016666666666666666,0.09166666666666666,0.15,1.7708333730697632,2.0,0.07549962990377498,0.05551443375277572,0.05551443375277572,0.4448556624722428,0.12479201331114809,
mlp,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.02348993288590604,0.1040268456375839,0.06711409395973154,0.09731543624161074,0.1040268456375839,0.4193548262119293,0.0,0.022539444027047332,0.003756574004507889,0.003756574004507889,0.0879038317054846,0.042735042735042736,
cnn,single_low,0.05,length,short,915,915,375,540,0,0.050666666666666665,0.037037037037037035,0.24074074074074073,0.08333333333333333,0.1814814814814815,0.23148148148148148,0.9384615421295166,1.0,0.04758418740849195,0.027086383601756955,0.045370938074800735,0.2349926793557833,0.11526479750778816,
cnn,single_low,0.05,length,medium,454,454,159,295,0,0.0440251572327044,0.04745762711864407,0.28135593220338984,0.04406779661016949,0.09491525423728814,0.18305084745762712,2.0481927394866943,2.0,0.08196062675773402,0.057051024507834475,0.0880893300248139,0.3459220570510245,0.16492450638792103,
cnn,single_low,0.05,length,long,642,642,141,501,0,0.07092198581560284,0.013972055888223553,0.41916167664670656,0.015968063872255488,0.03592814371257485,0.10978043912175649,5.295238018035889,5.0,0.1302439024390244,0.12,0.150889388673073,0.5899186991869919,0.20341786108048512,
cnn,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.0012531328320802004,0.4323308270676692,0.03634085213032581,0.11403508771929824,0.20802005012531327,3.8202898502349854,3.0,0.16746148202494499,0.16672780630961115,0.16672780630961115,0.8094277329420396,0.20598232494901428,
cnn,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.05,0.1875,0.04583333333333333,0.09583333333333334,0.14583333333333334,1.6888889074325562,1.0,0.05921539600296077,0.028867505551443375,0.028867505551443375,0.4448556624722428,0.064891846921797,
cnn,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.09395973154362416,0.11073825503355705,0.087248322147651,0.10067114093959731,0.11073825503355705,0.3030303120613098,0.0,0.06010518407212622,0.004507888805409466,0.004507888805409466,0.0879038317054846,0.05128205128205128,
gru,single_low,0.05,length,short,915,915,375,540,0,0.016,0.014814814814814815,0.2037037037037037,0.06666666666666667,0.14629629629629629,0.18888888888888888,1.0272727012634277,1.0,0.030014641288433383,0.025256222547584188,0.04230533415082771,0.2349926793557833,0.10747663551401869,
gru,single_low,0.05,length,medium,454,454,159,295,0,0.06918238993710692,0.023728813559322035,0.3525423728813559,0.03728813559322034,0.12203389830508475,0.2305084745762712,2.115384578704834,2.0,0.0827641623141824,0.06910405785456006,0.10669975186104218,0.3459220570510245,0.1997677119628339,
gru,single_low,0.05,length,long,642,642,141,501,0,0.1702127659574468,0.011976047904191617,0.6966067864271457,0.05389221556886228,0.11177644710578842,0.2155688622754491,3.9914040565490723,4.0,0.2580487804878049,0.24048780487804877,0.302392148844817,0.5899186991869919,0.40766262403528114,
