head,policy,budget,threshold,calibration_clean_false_prune_rate,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate,clean_false_prune_rate_ci_low,clean_false_prune_rate_ci_high,pre_error_false_prune_rate_ci_low,pre_error_false_prune_rate_ci_high,error_coverage_ci_low,error_coverage_ci_high,detection_at_0_ci_low,detection_at_0_ci_high,detection_at_1_ci_low,detection_at_1_ci_high,detection_at_2_ci_low,detection_at_2_ci_high,safe_step_saving_rate_ci_low,safe_step_saving_rate_ci_high,oracle_efficiency_ratio_ci_low,oracle_efficiency_ratio_ci_high
linear,single_low,0.01,-8.21099853515625,0.00995732574679943,2220,2011,675,1336,209,0.002962962962962963,0.0029940119760479044,0.04790419161676647,0.0014970059880239522,0.006736526946107785,0.008233532934131737,5.921875,5.0,0.01908363380529417,0.01758860258552458,0.024588148512417016,0.4512355993316331,0.038978756577665176,0.24880382775119617,,,,,,,,,,,,,,,,
linear,single_low,0.05,-6.390745639801025,0.049786628733997154,2220,2011,675,1336,209,0.05037037037037037,0.01122754491017964,0.26047904191616766,0.025449101796407185,0.0688622754491018,0.10329341317365269,3.8304598331451416,3.0,0.1202180986720605,0.10491601442265412,0.14666830587656748,0.4512355993316331,0.23250828298577275,0.7272727272727273,0.035555556416511536,0.06814815104007721,0.005988024175167084,0.01721556857228279,0.23802395164966583,0.283682644367218,0.01721556857228279,0.03443113714456558,0.055389221757650375,0.08310256153345108,0.08682634681463242,0.11901197582483292,0.09133267402648926,0.11746040731668472,0.20576111972332,0.25848835706710815
linear,single_low,0.1,-5.688864707946777,0.09957325746799431,2220,2011,675,1336,209,0.10814814814814815,0.020209580838323353,0.38173652694610777,0.06437125748502993,0.12649700598802396,0.19236526946107785,3.0999999046325684,2.0,0.178172544191364,0.15249318441649812,0.21317924760265552,0.4512355993316331,0.33794581952835706,0.84688995215311,,,,,,,,,,,,,,,,
linear,two_consecutive,0.01,-7.543754577636719,0.00995732574679943,2220,2011,675,1336,209,0.0014814814814814814,0.0007485029940119761,0.027694610778443114,0.002245508982035928,0.0029940119760479044,0.005239520958083832,5.567567348480225,5.0,0.0074751560988479465,0.0072992700729927005,0.01020408163265306,0.4512355993316331,0.016176183979731047,0.05741626794258373,,,,,,,,,,,,,,,,
linear,two_consecutive,0.05,-5.569743633270264,0.049786628733997154,2220,2011,675,1336,209,0.05037037037037037,0.008982035928143712,0.23203592814371257,0.008233532934131737,0.04640718562874251,0.07859281437125748,4.109677314758301,4.0,0.09401108081962888,0.08055579984170258,0.11261372018686992,0.4512355993316331,0.17852270512570648,0.24880382775119617,,,,,,,,,,,,,,,,
linear,two_consecutive,0.1,-4.770683765411377,0.09957325746799431,2220,2011,675,1336,209,0.11259259259259259,0.017964071856287425,0.36077844311377244,0.017964071856287425,0.10778443113772455,0.1781437125748503,3.1182572841644287,3.0,0.16480520622636533,0.13657549907659836,0.19092697319891813,0.4512355993316331,0.3026700448255701,0.37799043062200954,,,,,,,,,,,,,,,,
mlp,single_low,0.01,-8.205183029174805,0.00995732574679943,2220,2011,675,1336,209,0.011851851851851851,0.0007485029940119761,0.19086826347305388,0.02245508982035928,0.04640718562874251,0.07410179640718563,3.8705883026123047,3.0,0.08838272799226102,0.08574443760443233,0.11986722399803294,0.4512355993316331,0.1900214383161177,0.8373205741626795,,,,,,,,,,,,,,,,
mlp,single_low,0.05,-7.056396961212158,0.049786628733997154,2220,2011,675,1336,209,0.047407407407407405,0.008233532934131737,0.35104790419161674,0.05538922155688623,0.1309880239520958,0.19161676646706588,2.8976545333862305,2.0,0.16621229443320729,0.15266907044235337,0.2134251290877797,0.4512355993316331,0.3383356070941337,0.9138755980861244,0.031111111864447594,0.06518518179655075,0.0037425148766487837,0.013473053462803364,0.326347291469574,0.37726423144340515,0.04416167736053467,0.068113774061203,0.113772451877594,0.14895209670066833,0.17138847708702087,0.211826354265213,0.13793829083442688,0.16780748963356018,0.3106484115123749,0.3649160861968994
mlp,single_low,0.1,-6.024479389190674,0.09957325746799431,2220,2011,675,1336,209,0.09925925925925926,0.033682634730538924,0.4752994011976048,0.15793413173652696,0.27020958083832336,0.34281437125748504,1.8535432815551758,1.0,0.256529768709876,0.21915398821563628,0.306368330464716,0.4512355993316331,0.48567530695770805,0.9521531100478469,,,,,,,,,,,,,,,,
mlp,two_consecutive,0.01,-7.771047592163086,0.00995732574679943,2220,2011,675,1336,209,0.008888888888888889,0.0014970059880239522,0.12275449101796407,0.0,0.008233532934131737,0.020958083832335328,5.042683124542236,5.0,0.043531791399173334,0.04124527306305514,0.0576592082616179,0.4512355993316331,0.09140518417462483,0.19617224880382775,,,,,,,,,,,,,,,,
