head,agg,n_solutions,positive_rate,roc_auc,average_precision,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high
linear,min,2223,0.30049481987953186,0.7687765955924988,0.5450867414474487,0.7478204756975174,0.7883959516882897,0.5074441224336624,0.5890138208866119
linear,mean,2223,0.30049481987953186,0.7266245484352112,0.503861665725708,0.7038060277700424,0.7479548543691635,0.46599584966897967,0.5460087105631828
linear,last,2223,0.30049481987953186,0.7163587808609009,0.49454465508461,0.6942262917757034,0.7384751006960869,0.45683680549263955,0.5369449615478515
mlp,min,2223,0.30049481987953186,0.8365567922592163,0.6899200677871704,0.8192486956715583,0.852895450592041,0.6543708384037018,0.7264509111642837
mlp,mean,2223,0.30049481987953186,0.8098552227020264,0.6731083393096924,0.7904279574751853,0.8284558191895485,0.6372626602649689,0.7111232489347458
mlp,last,2223,0.30049481987953186,0.7799160480499268,0.6339203119277954,0.7596670150756836,0.7999453604221344,0.5956587806344033,0.6726096168160438
cnn,min,2223,0.30049481987953186,0.8592939376831055,0.7310115098953247,0.8426886975765229,0.8743915960192681,0.6964325428009033,0.7666308954358101
cnn,mean,2223,0.30049481987953186,0.8309721350669861,0.7120527029037476,0.8128490746021271,0.8489461213350296,0.676255002617836,0.747930234670639
cnn,last,2223,0.30049481987953186,0.8057878017425537,0.6785640716552734,0.7863253012299538,0.8247186630964279,0.6427764192223548,0.7147908270359039
gru,min,2223,0.30049481987953186,0.8541213274002075,0.7130845785140991,0.8381057277321815,0.8697341799736023,0.6746284738183022,0.7487396687269211
gru,mean,2223,0.30049481987953186,0.8261971473693848,0.6976501941680908,0.8072027862071991,0.8446128889918327,0.6634611919522285,0.732127594947815
gru,last,2223,0.30049481987953186,0.8134744763374329,0.6722964644432068,0.7945249944925308,0.8325507581233978,0.6359574601054192,0.7088711753487587
attention,min,2223,0.30049481987953186,0.8743574023246765,0.7596136927604675,0.8594227433204651,0.8890579685568809,0.7264546036720276,0.7930189236998558
attention,mean,2223,0.30049481987953186,0.845298171043396,0.744105339050293,0.8284583568572998,0.8624632984399796,0.7136583536863327,0.7755357414484024
attention,last,2223,0.30049481987953186,0.8259920477867126,0.6998027563095093,0.8081102818250656,0.844027690589428,0.6638156101107597,0.735565361380577
attention_pe,min,2223,0.30049481987953186,0.8778635859489441,0.7670193314552307,0.8629614889621735,0.8923883736133575,0.7350359171628952,0.7994285672903061
attention_pe,mean,2223,0.30049481987953186,0.839659571647644,0.738787055015564,0.821298924088478,0.8571914210915565,0.708338887989521,0.7704732269048691
attention_pe,last,2223,0.30049481987953186,0.8241205811500549,0.7011677026748657,0.8057846158742905,0.842517739534378,0.6687019854784012,0.7355243250727653
