head_a,head_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_significant
linear,mlp,-0.05422252416610718,-0.062204663455486295,-0.046807594597339644,0.0,True,-0.06401199102401733,-0.07660595029592514,-0.051706051826477056,0.0,True
linear,cnn,-0.06682020425796509,-0.07614432126283646,-0.05779399871826172,0.0,True,-0.0805131196975708,-0.0944158524274826,-0.06684757471084596,0.0,True
linear,gru,-0.06748831272125244,-0.07744785696268082,-0.05734228640794755,0.0,True,-0.08145850896835327,-0.09768106788396835,-0.06578561961650853,0.0,True
linear,attention,-0.08627980947494507,-0.09819398373365402,-0.07461529672145845,0.0,True,-0.10213989019393921,-0.1194698989391327,-0.08495781123638155,0.0,True
linear,attention_pe,-0.08240658044815063,-0.09387422651052475,-0.07159297168254854,0.0,True,-0.09822523593902588,-0.11565946489572525,-0.08142826110124589,0.0,True
mlp,cnn,-0.01259768009185791,-0.01772560626268387,-0.007405871152877808,0.0,True,-0.016501128673553467,-0.02441261112689972,-0.008127403259277358,0.0,True
mlp,gru,-0.013265788555145264,-0.0208382710814476,-0.00500464290380478,0.0,True,-0.017446517944335938,-0.028801360726356508,-0.00485198348760605,0.0035,True
mlp,attention,-0.03205728530883789,-0.04073778241872787,-0.022788353264331818,0.0,True,-0.038127899169921875,-0.05167959034442902,-0.0241972103714943,0.0,True
mlp,attention_pe,-0.028184056282043457,-0.03649276942014694,-0.019609141349792487,0.0,True,-0.034213244915008545,-0.0472846731543541,-0.02124245166778565,0.0,True
cnn,gru,-0.0006681084632873535,-0.00728030800819397,0.006580825150012969,0.4435,False,-0.0009453892707824707,-0.010763597488403321,0.009907321631908411,0.449,False
cnn,attention,-0.01945960521697998,-0.02785925269126892,-0.010650865733623505,0.0,True,-0.021626770496368408,-0.03378361463546753,-0.009034724533557909,0.0005,True
cnn,attention_pe,-0.015586376190185547,-0.023421819508075713,-0.007435925304889688,0.0,True,-0.017712116241455078,-0.029009522497653963,-0.006795684993267066,0.0,True
gru,attention,-0.018791496753692627,-0.02605559378862381,-0.011709350347518934,0.0,True,-0.020681381225585938,-0.031206128001213074,-0.009916272759437562,0.0,True
gru,attention_pe,-0.014918267726898193,-0.022733621299266815,-0.007888951897621158,0.0,True,-0.016766726970672607,-0.02748258411884308,-0.007127249240875251,0.0,True
attention,attention_pe,0.0038732290267944336,-0.0019159868359565734,0.009825181961059568,0.8975,False,0.00391465425491333,-0.005088114738464355,0.012046879529953002,0.8035,False
