head,group_type,group,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy
linear,length,short,929,2775,0.6915315389633179,0.6705698370933533,0.7454010844230652,0.7813724279403687,0.9188034188034188
linear,length,medium,653,3840,0.6994791626930237,0.6994528770446777,0.7730743885040283,0.7602883577346802,0.9034411915767848
linear,length,long,641,7192,0.7287263870239258,0.7130602598190308,0.8016275763511658,0.7161136865615845,0.9587324981577008
linear,error_count,one_error,231,930,0.7043010592460632,0.6612693071365356,0.7584428191184998,0.9136996865272522,0.9256080114449213
linear,error_count,multiple_errors,1314,9640,0.7348547577857971,0.7475236654281616,0.8242303729057312,0.6044249534606934,0.9489038343960171
linear,first_error_position,early,941,7271,0.7403383255004883,0.7643939256668091,0.8413165807723999,0.509750485420227,0.956831629908553
linear,first_error_position,middle,276,1669,0.7225883603096008,0.7288706302642822,0.8047091960906982,0.7675668001174927,0.934982332155477
linear,first_error_position,late,328,1630,0.7055214643478394,0.6940599679946899,0.787199079990387,0.9060025811195374,0.9298618490967057
mlp,length,short,929,2775,0.7621621489524841,0.7609654664993286,0.8425958752632141,0.8636878728866577,0.9173789173789174
mlp,length,medium,653,3840,0.7619791626930237,0.762107253074646,0.8444153070449829,0.8440037965774536,0.9265536723163842
mlp,length,long,641,7192,0.7680756449699402,0.7452269792556763,0.8512414693832397,0.7740790843963623,0.9771554900515844
mlp,error_count,one_error,231,930,0.7430107593536377,0.752234160900116,0.8181632161140442,0.8996646404266357,0.9470672389127325
mlp,error_count,multiple_errors,1314,9640,0.8114107847213745,0.7903752326965332,0.8757612109184265,0.6874537467956543,0.9667219844527907
mlp,first_error_position,early,941,7271,0.8359235525131226,0.8257120847702026,0.9053946137428284,0.5882083177566528,0.9800968262506724
mlp,first_error_position,middle,276,1669,0.7567405700683594,0.7540053129196167,0.8240782022476196,0.7941074967384338,0.9441696113074205
mlp,first_error_position,late,328,1630,0.7190183997154236,0.7427821159362793,0.815866231918335,0.8968515396118164,0.9404888416578109
cnn,length,short,929,2775,0.7913513779640198,0.789462685585022,0.8641007542610168,0.8868602514266968,0.9074074074074074
cnn,length,medium,653,3840,0.7658854126930237,0.7659186124801636,0.8521469831466675,0.8481687903404236,0.9096045197740112
cnn,length,long,641,7192,0.7793381810188293,0.7663098573684692,0.8621082305908203,0.7802200317382812,0.9637856616485946
cnn,error_count,one_error,231,930,0.7591397762298584,0.7673113346099854,0.8207767605781555,0.8982701897621155,0.9284692417739628
cnn,error_count,multiple_errors,1314,9640,0.801141083240509,0.793225884437561,0.8770975470542908,0.6663588881492615,0.9532710280373832
cnn,first_error_position,early,941,7271,0.8258836269378662,0.8322142362594604,0.9057673215866089,0.5883104205131531,0.9634211941904249
cnn,first_error_position,middle,276,1669,0.733972430229187,0.7354230880737305,0.8089140057563782,0.7382245063781738,0.9328621908127208
cnn,first_error_position,late,328,1630,0.7355828285217285,0.7519710063934326,0.8138295412063599,0.888068437576294,0.934643995749203
gru,length,short,929,2775,0.7827026844024658,0.7768995761871338,0.8586632013320923,0.8818609714508057,0.9031339031339032
gru,length,medium,653,3840,0.772656261920929,0.7727056741714478,0.8525864481925964,0.8427222967147827,0.9106317411402157
gru,length,long,641,7192,0.7939376831054688,0.7726137638092041,0.8754776120185852,0.8116191625595093,0.9736814401515949
gru,error_count,one_error,231,930,0.6795699000358582,0.6810471415519714,0.744886040687561,0.8594093918800354,0.9170243204577968
gru,error_count,multiple_errors,1314,9640,0.8091286420822144,0.7813749313354492,0.8675095438957214,0.6636163592338562,0.9620927591929426
gru,first_error_position,early,941,7271,0.8448631763458252,0.8195385932922363,0.9060060381889343,0.6196128129959106,0.9772727272727273
gru,first_error_position,middle,276,1669,0.7100059986114502,0.7073396444320679,0.7707829475402832,0.690598726272583,0.9434628975265018
gru,first_error_position,late,328,1630,0.6773006319999695,0.6859879493713379,0.748483419418335,0.8468865752220154,0.9133900106269925
attention,length,short,929,2775,0.8122522234916687,0.807741105556488,0.8929629921913147,0.9157406091690063,0.9529914529914529
attention,length,medium,653,3840,0.8151041865348816,0.8150697350502014,0.8869192600250244,0.8815902471542358,0.9476117103235747
attention,length,long,641,7192,0.7974137663841248,0.7851381301879883,0.8740423321723938,0.8131541013717651,0.9847352352879251
attention,error_count,one_error,231,930,0.7795698642730713,0.7707578539848328,0.8309892416000366,0.908113420009613,0.9556509298998569
attention,error_count,multiple_errors,1314,9640,0.8142116069793701,0.8051227331161499,0.882749080657959,0.6951006650924683,0.9782513756659971
attention,first_error_position,early,941,7271,0.8459634184837341,0.8432754278182983,0.9125949740409851,0.6343294382095337,0.9814416352877892
attention,first_error_position,middle,276,1669,0.7261833548545837,0.7308290004730225,0.8003531098365784,0.7481980323791504,0.9724381625441696
attention,first_error_position,late,328,1630,0.7429447770118713,0.7428478002548218,0.8076463937759399,0.8891711831092834,0.9659936238044633
attention_pe,length,short,929,2775,0.7967567443847656,0.7871012687683105,0.8752776384353638,0.8910154700279236,0.915954415954416
attention_pe,length,medium,653,3840,0.7908853888511658,0.7908058166503906,0.8688324093818665,0.8569930791854858,0.9126861838726246
attention_pe,length,long,641,7192,0.8022803068161011,0.7907359600067139,0.8799036145210266,0.8176530599594116,0.9807348141909674
attention_pe,error_count,one_error,231,930,0.7354838848114014,0.7211415767669678,0.7861818671226501,0.8673462271690369,0.9384835479256081
attention_pe,error_count,multiple_errors,1314,9640,0.7997925281524658,0.7952356934547424,0.869810938835144,0.6400156617164612,0.9677701109267185
attention_pe,first_error_position,early,941,7271,0.8272589445114136,0.8247979879379272,0.8993534445762634,0.5566807985305786,0.9753899946207638
attention_pe,first_error_position,middle,276,1669,0.7243858575820923,0.7307627201080322,0.8004214763641357,0.7267052531242371,0.9618374558303887
attention_pe,first_error_position,late,328,1630,0.7177914381027222,0.7108007669448853,0.7735900282859802,0.8520280718803406,0.9357066950053134
