head,agg,k,accuracy,ci_low,ci_high,n_questions
linear,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
linear,min,2,0.3261561691761017,0.30833775997161866,0.34423899129033086,1319
linear,min,4,0.33612582087516785,0.3177008755505085,0.35519805550575256,1319
linear,min,8,0.3379075229167938,0.317924565076828,0.3586059160530567,1319
linear,min,16,0.3457164466381073,0.3191812038421631,0.3730098605155945,1319
linear,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
linear,mean,2,0.3284306526184082,0.31065106987953184,0.3470868110656738,1319
linear,mean,4,0.33915844559669495,0.32012412026524545,0.35921245291829107,1319
linear,mean,8,0.340030312538147,0.31884002685546875,0.3615655668079853,1319
linear,mean,16,0.34420016407966614,0.3184230625629425,0.37073540687561035,1319
linear,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
linear,last,2,0.33449581265449524,0.3161486089229584,0.35333967655897136,1319
linear,last,4,0.349507212638855,0.3296048104763031,0.36888173818588255,1319
linear,last,8,0.3532600402832031,0.3324781894683838,0.374831335991621,1319
linear,last,16,0.3532979488372803,0.32752084732055664,0.3798332214355469,1319
mlp,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
mlp,min,2,0.31440484523773193,0.29741849899291994,0.3322649829089641,1319
mlp,min,4,0.3271796703338623,0.30924753546714784,0.34651915952563284,1319
mlp,min,8,0.3319181203842163,0.3116375803947449,0.3530335366725922,1319
mlp,min,16,0.34723275899887085,0.3214556574821472,0.3730098605155945,1319
mlp,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
mlp,mean,2,0.32388174533843994,0.30625379607081415,0.3419266290962696,1319
mlp,mean,4,0.334078848361969,0.31591926142573357,0.35375569462776185,1319
mlp,mean,8,0.34219107031822205,0.3219484679400921,0.36292743012309076,1319
mlp,mean,16,0.35102349519729614,0.3252463936805725,0.37755876779556274,1319
mlp,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
mlp,last,2,0.323388934135437,0.30557147189974787,0.342040354013443,1319
mlp,last,4,0.33404096961021423,0.31459249258041383,0.3531880147755146,1319
mlp,last,8,0.3322971761226654,0.31220431327819825,0.35382863953709603,1319
mlp,last,16,0.3282789885997772,0.30326005816459656,0.3548142611980438,1319
cnn,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
cnn,min,2,0.3103487491607666,0.29271227270364764,0.3283993765711784,1319
cnn,min,4,0.3159969449043274,0.2979027807712555,0.3346095681190491,1319
cnn,min,8,0.3200151324272156,0.29969674348831177,0.3403345294296741,1319
cnn,min,16,0.3214556574821472,0.29416224360466003,0.3457164466381073,1319
cnn,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
cnn,mean,2,0.31815770268440247,0.299999064207077,0.33643104434013366,1319
cnn,mean,4,0.323388934135437,0.30492702648043635,0.3416281275451183,1319
cnn,mean,8,0.32699018716812134,0.3054956257343292,0.34708396717906,1319
cnn,mean,16,0.3290371596813202,0.30399924591183664,0.35405609011650085,1319
cnn,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
cnn,last,2,0.32683849334716797,0.30849034190177915,0.34575435519218445,1319
cnn,last,4,0.3455648124217987,0.3257771126925945,0.36546626687049866,1319
cnn,last,8,0.3503032624721527,0.3288097374141216,0.3712338753044605,1319
cnn,last,16,0.35102349519729614,0.325227440148592,0.37755876779556274,1319
gru,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
gru,min,2,0.3229719400405884,0.3050407238304615,0.34121018648147583,1319
gru,min,4,0.3348748981952667,0.3161476612091064,0.35443709939718243,1319
gru,min,8,0.33999237418174744,0.3194835245609283,0.3608415424823761,1319
gru,min,16,0.33661866188049316,0.31084156036376953,0.3623957633972168,1319
gru,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
gru,mean,2,0.32551172375679016,0.30792171433568,0.344050395488739,1319
gru,mean,4,0.33847612142562866,0.32001231908798217,0.3581188485026359,1319
gru,mean,8,0.3429492115974426,0.3222867727279663,0.3647109977900982,1319
gru,mean,16,0.35784685611724854,0.33055344223976135,0.3851592235267161,1319
gru,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
gru,last,2,0.3275587558746338,0.30966642424464225,0.3469692938029766,1319
gru,last,4,0.33862775564193726,0.3194076783955097,0.35834058523178103,1319
gru,last,8,0.34249427914619446,0.32190863490104676,0.3640646278858185,1319
gru,last,16,0.356330543756485,0.32979530096054077,0.3828658163547516,1319
attention,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
attention,min,2,0.322782427072525,0.3053800344467163,0.3412083201110363,1319
attention,min,4,0.3351023495197296,0.3175881266593933,0.3547431819140911,1319
attention,min,8,0.35018956661224365,0.32937546372413634,0.37104151770472527,1319
attention,min,16,0.35784685611724854,0.3313116133213043,0.38438209891319275,1319
attention,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
attention,mean,2,0.3345337212085724,0.31626135781407355,0.3536040596663952,1319
attention,mean,4,0.35034114122390747,0.33115900233387946,0.37073825001716615,1319
attention,mean,8,0.3632297217845917,0.34162051752209666,0.38559703826904296,1319
attention,mean,16,0.3661864995956421,0.34040939807891846,0.3934799134731293,1319
attention,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
attention,last,2,0.33684608340263367,0.31868839263916016,0.3558387100696564,1319
attention,last,4,0.35064443945884705,0.3307799458503723,0.37077521085739135,1319
attention,last,8,0.36197876930236816,0.34044638872146604,0.38316902592778207,1319
attention,last,16,0.36391204595565796,0.33737680315971375,0.38970810174942005,1319
attention_pe,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
attention_pe,min,2,0.32054588198661804,0.303182315826416,0.33893478512763975,1319
attention_pe,min,4,0.3319939374923706,0.3134571611881256,0.35129074975848196,1319
attention_pe,min,8,0.3366944491863251,0.31550416350364685,0.35640730932354925,1319
attention_pe,min,16,0.34723275899887085,0.3214556574821472,0.3730288140475749,1319
attention_pe,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
attention_pe,mean,2,0.3326762616634369,0.31451572850346565,0.3514793455600739,1319
attention_pe,mean,4,0.3492797315120697,0.3294531762599945,0.3696758635342121,1319
attention_pe,mean,8,0.3529947102069855,0.33176459074020387,0.37464179322123525,1319
attention_pe,mean,16,0.36694464087486267,0.34116753935813904,0.3934799134731293,1319
attention_pe,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
attention_pe,last,2,0.3357088565826416,0.3174355745315552,0.3547412872314453,1319
attention_pe,last,4,0.3512130081653595,0.33138550594449045,0.37130498290061953,1319
attention_pe,last,8,0.3592873513698578,0.33748958110809324,0.3811978705227375,1319
attention_pe,last,16,0.3722517192363739,0.3464745879173279,0.3987869620323181,1319
random,-,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
random,-,2,0.30890825390815735,0.2913182146847248,0.3261978685855865,1319
random,-,4,0.30394241213798523,0.2872601941227913,0.32126895785331727,1319
random,-,8,0.3085671067237854,0.2905600734055042,0.32653904557228086,1319
random,-,16,0.3282789885997772,0.30022743344306946,0.3555724024772644,1319
oracle,-,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
oracle,-,2,0.4321455657482147,0.4115560732781887,0.4526175133883953,1319
oracle,-,4,0.5547763705253601,0.5322583943605423,0.5772933974862099,1319
oracle,-,8,0.6646701097488403,0.641546605527401,0.6873786926269532,1319
oracle,-,16,0.7604245543479919,0.7369219064712524,0.7839272022247314,1319
majority_vote,-,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
majority_vote,-,2,0.30890825390815735,0.2913182146847248,0.3261978685855865,1319
majority_vote,-,4,0.37429869174957275,0.3531055636703968,0.3957572102546692,1319
majority_vote,-,8,0.4312736690044403,0.4067067988216877,0.455234033614397,1319
majority_vote,-,16,0.46550416946411133,0.43745261430740356,0.4927975833415985,1319
