head_a,head_b,causal_roc_auc_diff,causal_roc_auc_diff_ci_low,causal_roc_auc_diff_ci_high,causal_roc_auc_prob_a_better,causal_roc_auc_significant,causal_roc_auc_p_value,causal_roc_auc_p_holm,causal_roc_auc_significant_holm
linear,mlp,-0.06214118003845215,-0.0702149048447609,-0.05492559224367142,0.0,True,0.0009995002498750624,0.014992503748125937,True
linear,cnn,0.014871954917907715,0.0038707107305526733,0.02633948922157287,0.9945,True,0.01199400299850075,0.047976011994003,True
linear,gru,-0.05659162998199463,-0.06760591864585877,-0.04572035670280457,0.0,True,0.0009995002498750624,0.014992503748125937,True
linear,attention,-0.061496615409851074,-0.07334776371717452,-0.051286058127880105,0.0,True,0.0009995002498750624,0.014992503748125937,True
linear,attention_pe,-0.04224604368209839,-0.05315605998039245,-0.03197929859161377,0.0,True,0.0009995002498750624,0.014992503748125937,True
mlp,cnn,0.07701313495635986,0.06827544569969177,0.08572757542133332,1.0,True,0.0009995002498750624,0.014992503748125937,True
mlp,gru,0.0055495500564575195,-0.0029135555028915404,0.013673850893974295,0.903,False,0.19490254872563717,0.5847076461769115,False
mlp,attention,0.0006445646286010742,-0.0077278390526771545,0.00862043797969818,0.5495,False,0.9015492253873063,0.9015492253873063,False
mlp,attention_pe,0.01989513635635376,0.011860057711601257,0.027940252423286436,1.0,True,0.0009995002498750624,0.014992503748125937,True
cnn,gru,-0.07146358489990234,-0.08089320957660676,-0.06198363900184632,0.0,True,0.0009995002498750624,0.014992503748125937,True
cnn,attention,-0.07636857032775879,-0.08696095496416092,-0.06615647822618485,0.0,True,0.0009995002498750624,0.014992503748125937,True
cnn,attention_pe,-0.057117998600006104,-0.06686538159847259,-0.04710910916328431,0.0,True,0.0009995002498750624,0.014992503748125937,True
gru,attention,-0.004904985427856445,-0.013804663717746735,0.003740389645099639,0.136,False,0.272863568215892,0.5847076461769115,False
gru,attention_pe,0.01434558629989624,0.005379807949066162,0.023231403529644014,0.9985,True,0.00399800099950025,0.019990004997501247,True
attention,attention_pe,0.019250571727752686,0.011626392602920532,0.02687809765338897,1.0,True,0.0009995002498750624,0.014992503748125937,True
