head,offset,mean_standardized_q,std_standardized_q,n
linear,-2,0.7330403327941895,0.8303755521774292,524
linear,-1,0.6164854168891907,0.8471900820732117,879
linear,0,-0.1741631031036377,0.8615890741348267,879
linear,1,-0.10987740755081177,0.9456339478492737,675
linear,2,-0.25688883662223816,0.9158850908279419,542
mlp,-2,0.7037062048912048,0.5657716393470764,524
mlp,-1,0.5997763276100159,0.6131960153579712,879
mlp,0,-0.2370215505361557,0.8568829894065857,879
mlp,1,-0.17881296575069427,1.0785675048828125,675
mlp,2,-0.2511610686779022,0.9979175329208374,542
cnn,-2,0.5105053782463074,0.409792423248291,524
cnn,-1,0.4351154863834381,0.44913822412490845,879
cnn,0,-0.5041429996490479,1.3319813013076782,879
cnn,1,-0.183324933052063,1.0462753772735596,675
cnn,2,-0.25728175044059753,1.0738238096237183,542
gru,-2,0.5257390141487122,0.6485396027565002,524
gru,-1,0.43962162733078003,0.6449448466300964,879
gru,0,-0.24479347467422485,0.8382622003555298,879
gru,1,-0.1558946669101715,0.8750335574150085,675
gru,2,-0.2499045580625534,0.9145246148109436,542
attention,-2,0.5408012270927429,0.6487708687782288,524
attention,-1,0.4288075566291809,0.6740690469741821,879
attention,0,-0.35404881834983826,0.7645676732063293,879
attention,1,-0.21236154437065125,0.770313024520874,675
attention,2,-0.26472559571266174,0.9064579606056213,542
attention_pe,-2,0.5102484226226807,0.6273435354232788,524
attention_pe,-1,0.4247764050960541,0.652336835861206,879
attention_pe,0,-0.3436109721660614,0.8298853635787964,879
attention_pe,1,-0.2141127735376358,0.7972385883331299,675
attention_pe,2,-0.2646263539791107,0.8771264553070068,542
