head,variant,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy,roc_auc_delta,ranking_accuracy_delta
linear,original,2223,13807,0.7131165266036987,0.7127146124839783,0.788546085357666,0.746597170829773,0.9475633849193282,0.0,0.0
linear,reverse,2223,13807,0.7131165266036987,0.7127146124839783,0.788546085357666,0.746597170829773,0.9475633849193282,0.0,0.0
linear,swap_adjacent,2223,13807,0.7131165266036987,0.7127146124839783,0.788546085357666,0.746597170829773,0.9475633849193282,0.0,0.0
linear,mask_previous,2223,13807,0.6644455790519714,0.6597511768341064,0.7413018941879272,0.6998809576034546,0.8153605531774778,-0.04724419116973877,-0.13220283174185044
linear,mask_first_error,2223,13807,0.7704787254333496,0.7657763957977295,0.8405498266220093,0.8201844692230225,0.9522555153111624,0.05200374126434326,0.004692130391834137
mlp,original,2223,13807,0.7651915550231934,0.7594320774078369,0.8506872653961182,0.8204752206802368,0.965591043793217,0.0,0.0
mlp,reverse,2223,13807,0.7651915550231934,0.7594320774078369,0.8506872653961182,0.8204752206802368,0.965591043793217,0.0,0.0
mlp,swap_adjacent,2223,13807,0.7651915550231934,0.7594320774078369,0.8506872653961182,0.8204752206802368,0.965591043793217,0.0,0.0
mlp,mask_previous,2223,13807,0.720504105091095,0.7108033895492554,0.7817237377166748,0.7657426595687866,0.7929700362199539,-0.06896352767944336,-0.17262100757326315
mlp,mask_first_error,2223,13807,0.7973491549491882,0.7891787886619568,0.8931918740272522,0.8763512969017029,0.9775271649654264,0.04250460863113403,0.011936121172209324
cnn,original,2223,13807,0.77801114320755,0.7753438949584961,0.8627153038978577,0.8333202004432678,0.9518439249259137,0.0,0.0
cnn,reverse,2223,13807,0.6433693170547485,0.6340862512588501,0.7118479013442993,0.6495953798294067,0.6965755679947316,-0.15086740255355835,-0.2552683569311821
cnn,swap_adjacent,2223,13807,0.7086260318756104,0.7009267210960388,0.7895255088806152,0.7447258830070496,0.8450773789924267,-0.07318979501724243,-0.106766545933487
cnn,mask_previous,2223,13807,0.7503440380096436,0.7458512783050537,0.8311740159988403,0.7930148839950562,0.8389858412907475,-0.031541287899017334,-0.11285808363516625
cnn,mask_first_error,2223,13807,0.7599768042564392,0.7562626600265503,0.8376463651657104,0.8130756616592407,0.866480079025354,-0.025068938732147217,-0.08536384590055979
gru,original,2223,13807,0.7857608199119568,0.7816735506057739,0.8681696653366089,0.83939129114151,0.9594995060915377,0.0,0.0
gru,reverse,2223,13807,0.6002027988433838,0.6127684712409973,0.6685743927955627,0.6258460283279419,0.5023872242344419,-0.19959527254104614,-0.45711228185709574
gru,swap_adjacent,2223,13807,0.7555587887763977,0.7564892172813416,0.8362584710121155,0.800528347492218,0.9119196575567995,-0.03191119432449341,-0.04757984853473818
gru,mask_previous,2223,13807,0.7010211944580078,0.7066785097122192,0.7434142827987671,0.6224780678749084,0.6366480079025354,-0.1247553825378418,-0.3228514981890023
gru,mask_first_error,2223,13807,0.5305280089378357,0.5495225191116333,0.5993074178695679,0.5374398231506348,0.7137800460981232,-0.268862247467041,-0.2457194599934145
attention,original,2223,13807,0.805316150188446,0.8039225339889526,0.8834397792816162,0.8643885850906372,0.9769509384260784,0.0,0.0
attention,reverse,2223,13807,0.805316150188446,0.8039225339889526,0.8834397792816162,0.8643885850906372,0.9769509384260784,0.0,0.0
attention,swap_adjacent,2223,13807,0.805316150188446,0.8039225339889526,0.8834397792816162,0.8643885850906372,0.9769509384260784,0.0,0.0
attention,mask_previous,2223,13807,0.768957793712616,0.764333963394165,0.8463137149810791,0.8291452527046204,0.8079519262430029,-0.03712606430053711,-0.16899901218307545
attention,mask_first_error,2223,13807,0.8113999962806702,0.8094321489334106,0.8857622742652893,0.8706068992614746,0.9819723411261113,0.0023224949836730957,0.005021402700032929
attention_pe,original,2223,13807,0.7980009913444519,0.7977467179298401,0.8781552910804749,0.849543035030365,0.9660849522555153,0.0,0.0
attention_pe,reverse,2223,13807,0.7958282232284546,0.7950986623764038,0.8771030902862549,0.8498459458351135,0.9617220941718801,-0.0010522007942199707,-0.004362858083635124
attention_pe,swap_adjacent,2223,13807,0.7975664734840393,0.7971674203872681,0.8778212666511536,0.849727213382721,0.9662495884096147,-0.00033402442932128906,0.0001646361540994512
attention_pe,mask_previous,2223,13807,0.7790975570678711,0.7763016223907471,0.8613119125366211,0.8370271325111389,0.8645044451761607,-0.01684337854385376,-0.10158050707935462
attention_pe,mask_first_error,2223,13807,0.7973491549491882,0.7961865663528442,0.8820974826812744,0.862553060054779,0.950609153770168,0.0039421916007995605,-0.015475798485347303
