head,policy,budget,group_type,group,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate
linear,single_low,0.05,length,short,915,915,375,540,0,0.018666666666666668,0.005555555555555556,0.07777777777777778,0.018518518518518517,0.03148148148148148,0.06481481481481481,1.523809552192688,2.0,0.01171303074670571,0.0076866764275256225,0.012875536480686695,0.2349926793557833,0.03271028037383177,
linear,single_low,0.05,length,medium,454,454,159,295,0,0.03773584905660377,0.010169491525423728,0.21694915254237288,0.023728813559322035,0.06779661016949153,0.11186440677966102,2.453125,2.0,0.04098031337886701,0.03334672559260747,0.05148883374689826,0.3459220570510245,0.09639953542392567,
linear,single_low,0.05,length,long,642,642,141,501,0,0.20567375886524822,0.01996007984031936,0.5389221556886228,0.05788423153692615,0.12974051896207583,0.18562874251497005,4.314815044403076,4.0,0.21447154471544716,0.1889430894308943,0.23757922715191168,0.5899186991869919,0.3202866593164278,
linear,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.0,0.39598997493734334,0.03634085213032581,0.08395989974937343,0.13408521303258145,4.132911205291748,4.0,0.21991929567131327,0.21991929567131327,0.21991929567131327,0.8094277329420396,0.27169725810106504,
linear,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.020833333333333332,0.1625,0.025,0.0625,0.1375,1.7692307233810425,2.0,0.06661732050333087,0.04219096965210955,0.04219096965210955,0.4448556624722428,0.09484193011647254,
linear,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.03691275167785235,0.07046979865771812,0.03691275167785235,0.06711409395973154,0.07046979865771812,0.523809552192688,0.0,0.03831705484598046,0.007513148009015778,0.007513148009015778,0.0879038317054846,0.08547008547008547,
mlp,single_low,0.05,length,short,915,915,375,540,0,0.013333333333333334,0.003703703703703704,0.20185185185185187,0.07407407407407407,0.14629629629629629,0.18518518518518517,0.9908257126808167,1.0,0.01793557833089312,0.0157393850658858,0.026364193746167996,0.2349926793557833,0.06697819314641744,
mlp,single_low,0.05,length,medium,454,454,159,295,0,0.03773584905660377,0.003389830508474576,0.26101694915254237,0.05084745762711865,0.11186440677966102,0.16271186440677965,1.9350649118423462,2.0,0.061068702290076333,0.0562474889513861,0.08684863523573201,0.3459220570510245,0.16260162601626016,
mlp,single_low,0.05,length,long,642,642,141,501,0,0.14184397163120568,0.013972055888223553,0.6367265469061876,0.11776447105788423,0.24750499001996007,0.3273453093812375,3.2570533752441406,2.0,0.29317073170731706,0.26910569105691057,0.338376610100184,0.5899186991869919,0.4561742006615215,
mlp,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.0,0.5175438596491229,0.09523809523809523,0.21679197994987467,0.2869674185463659,2.9079902172088623,2.0,0.3235509904622157,0.3235509904622157,0.3235509904622157,0.8094277329420396,0.39972807613868117,
mlp,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.016666666666666666,0.1875,0.020833333333333332,0.07916666666666666,0.15,1.7333333492279053,2.0,0.0695780903034789,0.049592894152479645,0.049592894152479645,0.4448556624722428,0.11148086522462562,
mlp,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.020134228187919462,0.15771812080536912,0.11073825503355705,0.1476510067114094,0.15771812080536912,0.3617021143436432,0.0,0.025544703230653644,0.005259203606311044,0.005259203606311044,0.0879038317054846,0.05982905982905983,
cnn,single_low,0.05,length,short,915,915,375,540,0,0.06933333333333333,0.06111111111111111,0.1111111111111111,0.07962962962962963,0.10555555555555556,0.10925925925925926,0.3499999940395355,0.0,0.06442166910688141,0.025256222547584188,0.04230533415082771,0.2349926793557833,0.10747663551401869,
cnn,single_low,0.05,length,medium,454,454,159,295,0,0.006289308176100629,0.04067796610169491,0.04745762711864407,0.03728813559322034,0.04067796610169491,0.04406779661016949,0.4285714328289032,0.0,0.04258738449176376,0.021695460024106068,0.033498759305210915,0.3459220570510245,0.0627177700348432,
cnn,single_low,0.05,length,long,642,642,141,501,0,0.0070921985815602835,0.003992015968063872,0.10578842315369262,0.013972055888223553,0.015968063872255488,0.023952095808383235,5.584905624389648,6.0,0.045853658536585365,0.043089430894308944,0.05418114904927418,0.5899186991869919,0.07304299889746417,
cnn,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.005012531328320802,0.14160401002506265,0.06766917293233082,0.08145363408521303,0.08897243107769423,2.769911527633667,1.0,0.07171680117388114,0.0685986793837124,0.0685986793837124,0.8094277329420396,0.08474960344436891,
cnn,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.075,0.041666666666666664,0.0125,0.03333333333333333,0.0375,1.0,1.0,0.05181347150259067,0.010362694300518135,0.010362694300518135,0.4448556624722428,0.02329450915141431,
cnn,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.08389261744966443,0.013422818791946308,0.013422818791946308,0.013422818791946308,0.013422818791946308,0.0,0.0,0.03906836964688205,0.0,0.0,0.0879038317054846,0.0,
gru,single_low,0.05,length,short,915,915,375,540,0,0.02666666666666667,0.011111111111111112,0.2537037037037037,0.08888888888888889,0.18518518518518517,0.24074074074074073,0.970802903175354,1.0,0.03916544655929722,0.032210834553440704,0.0539546290619252,0.2349926793557833,0.13707165109034267,
gru,single_low,0.05,length,medium,454,454,159,295,0,0.06289308176100629,0.03389830508474576,0.3728813559322034,0.061016949152542375,0.14576271186440679,0.2440677966101695,2.0090909004211426,2.0,0.1008437123342708,0.0831659300924066,0.12841191066997518,0.3459220570510245,0.24041811846689895,
gru,single_low,0.05,length,long,642,642,141,501,0,0.12056737588652482,0.023952095808383235,0.6646706586826348,0.04590818363273453,0.10778443113772455,0.22355289421157684,3.792792797088623,3.0,0.2632520325203252,0.24341463414634146,0.30607237783684316,0.5899186991869919,0.41262403528114666,
gru,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.002506265664160401,0.5964912280701754,0.04887218045112782,0.15538847117794485,0.2794486215538847,3.172268867492676,3.0,0.30814380044020545,0.3057593543653705,0.3057593543653705,0.8094277329420396,0.37774756401540904,
gru,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.016666666666666666,0.2916666666666667,0.0875,0.16666666666666666,0.2375,1.4428571462631226,1.0,0.10584752035529238,0.08586232420429311,0.08586232420429311,0.4448556624722428,0.1930116472545757,
gru,single_low,0.05,first_error_position,late,298,298,0,298,0,,0.0738255033557047,0.11409395973154363,0.09731543624161074,0.11073825503355705,0.11409395973154363,0.1764705926179886,0.0,0.04583020285499624,0.0067618332081141996,0.0067618332081141996,0.0879038317054846,0.07692307692307693,
attention,single_low,0.05,length,short,915,915,375,540,0,0.010666666666666666,0.003703703703703704,0.19074074074074074,0.05185185185185185,0.13518518518518519,0.17962962962962964,1.0776698589324951,1.0,0.013909224011713031,0.01281112737920937,0.02145922746781116,0.2349926793557833,0.05451713395638629,
attention,single_low,0.05,length,medium,454,454,159,295,0,0.0440251572327044,0.01694915254237288,0.288135593220339,0.02711864406779661,0.08135593220338982,0.14915254237288136,2.4588234424591064,2.0,0.06910405785456006,0.056649256729610284,0.08746898263027296,0.3459220570510245,0.16376306620209058,
attention,single_low,0.05,length,long,642,642,141,501,0,0.1702127659574468,0.015968063872255488,0.5848303393213573,0.0658682634730539,0.16167664670658682,0.2994011976047904,2.9897611141204834,2.0,0.2951219512195122,0.26634146341463416,0.3349008382743815,0.5899186991869919,0.45148842337375966,
attention,single_low,0.05,first_error_position,early,798,798,0,798,0,,0.006265664160401002,0.5150375939849624,0.05764411027568922,0.16541353383458646,0.2882205513784461,2.6934306621551514,2.0,0.32997065297138667,0.32300073367571536,0.32300073367571536,0.8094277329420396,0.3990482664853841,
attention,single_low,0.05,first_error_position,middle,240,240,0,240,0,,0.016666666666666666,0.17916666666666667,0.0125,0.08333333333333333,0.14166666666666666,1.883720874786377,2.0,0.050333086602516654,0.0384900074019245,0.0384900074019245,0.4448556624722428,0.08652246256239601,
