head,policy,budget,threshold,calibration_clean_false_prune_rate,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate,clean_false_prune_rate_ci_low,clean_false_prune_rate_ci_high,pre_error_false_prune_rate_ci_low,pre_error_false_prune_rate_ci_high,error_coverage_ci_low,error_coverage_ci_high,detection_at_0_ci_low,detection_at_0_ci_high,detection_at_1_ci_low,detection_at_1_ci_high,detection_at_2_ci_low,detection_at_2_ci_high,safe_step_saving_rate_ci_low,safe_step_saving_rate_ci_high,oracle_efficiency_ratio_ci_low,oracle_efficiency_ratio_ci_high
linear,single_low,0.01,-7.93703031539917,0.00995732574679943,2220,2011,675,1336,209,0.002962962962962963,0.0037425149700598802,0.06287425149700598,0.0037425149700598802,0.008233532934131737,0.01347305389221557,5.273809432983398,5.0,0.02365667047753056,0.021985753231905724,0.03073518564052127,0.4512355993316331,0.04872344572208147,0.3062200956937799,,,,,,,,,,,,,,,,
linear,single_low,0.05,-6.265312671661377,0.049786628733997154,2220,2011,675,1336,209,0.06222222222222222,0.011976047904191617,0.281437125748503,0.0344311377245509,0.07634730538922156,0.12050898203592815,3.6861701011657715,3.0,0.12778119778383606,0.1113358543663706,0.1556429800835997,0.4512355993316331,0.24673552913662053,0.7559808612440191,0.04444444552063942,0.08148147910833359,0.006736526731401682,0.01796407252550125,0.2581961154937744,0.3046407103538513,0.024700598791241646,0.04416167736053467,0.06212574988603592,0.09133609384298325,0.10327469557523727,0.13922156393527985,0.09788971394300461,0.12429045885801315,0.22016416490077972,0.2718815505504608
linear,single_low,0.1,-5.720269203186035,0.09957325746799431,2220,2011,675,1336,209,0.10814814814814815,0.023203592814371257,0.38173652694610777,0.06437125748502993,0.11976047904191617,0.18488023952095808,3.117647171020508,3.0,0.1773810570750154,0.15222935537771523,0.21281042537496928,0.4512355993316331,0.33736113817969204,0.8516746411483254,,,,,,,,,,,,,,,,
linear,two_consecutive,0.01,-7.351310729980469,0.00995732574679943,2220,2011,675,1336,209,0.0014814814814814814,0.0007485029940119761,0.040419161676646706,0.002245508982035928,0.0037425149700598802,0.006736526946107785,5.4259257316589355,5.0,0.010201389499604257,0.009585788409110896,0.013400540939267272,0.4512355993316331,0.021243422334827518,0.07177033492822966,,,,,,,,,,,,,,,,
linear,two_consecutive,0.05,-5.614974498748779,0.049786628733997154,2220,2011,675,1336,209,0.054814814814814816,0.009730538922155689,0.2402694610778443,0.0074850299401197605,0.04565868263473054,0.07784431137724551,4.149532794952393,4.0,0.09198839152229356,0.0795004836865711,0.11113843127612491,0.4512355993316331,0.17618397973104657,0.22488038277511962,,,,,,,,,,,,,,,,
linear,two_consecutive,0.1,-4.874321460723877,0.09957325746799431,2220,2011,675,1336,209,0.10814814814814815,0.017964071856287425,0.3615269461077844,0.023203592814371257,0.10254491017964072,0.16841317365269462,3.1469979286193848,3.0,0.157417993140445,0.13191451939143434,0.1844111138431276,0.4512355993316331,0.2923406743324888,0.37320574162679426,,,,,,,,,,,,,,,,
mlp,single_low,0.01,-8.662935256958008,0.00995732574679943,2220,2011,675,1336,209,0.013333333333333334,0.0014970059880239522,0.20508982035928144,0.02844311377245509,0.05688622754491018,0.08383233532934131,3.8540146350860596,3.0,0.0898777592120306,0.08715152581127429,0.12183427587902632,0.4512355993316331,0.19313973884233093,0.7990430622009569,,,,,,,,,,,,,,,,
mlp,single_low,0.05,-7.324422359466553,0.049786628733997154,2220,2011,675,1336,209,0.045925925925925926,0.0074850299401197605,0.37799401197604793,0.08532934131736528,0.17664670658682635,0.23353293413173654,2.5663366317749023,2.0,0.1762377979069563,0.16163925776097088,0.22596508482911237,0.4512355993316331,0.35821477294874293,0.8995215311004785,0.029629629105329514,0.06222222372889519,0.002994012087583542,0.011976048350334167,0.351796418428421,0.40643712878227234,0.07034056633710861,0.10104790329933167,0.15643712878227234,0.19760479032993317,0.21031062304973602,0.25673651695251465,0.14591021835803986,0.1773700714111328,0.32787758111953735,0.38569900393486023
mlp,single_low,0.1,-6.299703598022461,0.09957325746799431,2220,2011,675,1336,209,0.1037037037037037,0.03143712574850299,0.5254491017964071,0.18413173652694612,0.31362275449101795,0.38997005988023953,1.7777777910232544,1.0,0.2605751473045467,0.22214405065517545,0.3105483157118269,0.4512355993316331,0.49230169557591114,0.9521531100478469,,,,,,,,,,,,,,,,
mlp,two_consecutive,0.01,-8.014399528503418,0.00995732574679943,2220,2011,675,1336,209,0.011851851851851851,0.002245508982035928,0.13922155688622753,0.0007485029940119761,0.014221556886227544,0.03143712574850299,4.564516067504883,4.0,0.05883387564857972,0.05575587019611292,0.07794443078436193,0.4512355993316331,0.12356265835119859,0.16267942583732056,,,,,,,,,,,,,,,,
mlp,two_consecutive,0.05,-6.337478160858154,0.049786628733997154,2220,2011,675,1336,209,0.05185185185185185,0.009730538922155689,0.30538922155688625,0.012724550898203593,0.11077844311377245,0.1781437125748503,2.8553922176361084,2.0,0.15152581127429426,0.13384926567584204,0.1871158101794935,0.4512355993316331,0.29662833755603196,0.3014354066985646,,,,,,,,,,,,,,,,
mlp,two_consecutive,0.1,-5.322052478790283,0.09957325746799431,2220,2011,675,1336,209,0.09777777777777778,0.023203592814371257,0.4438622754491018,0.03592814371257485,0.23652694610778444,0.32110778443113774,2.0843169689178467,1.0,0.21440506551754462,0.18186615073432416,0.25424145561839195,0.4512355993316331,0.40304034301305786,0.3492822966507177,,,,,,,,,,,,,,,,
cnn,single_low,0.01,-12.081160545349121,0.00995732574679943,2220,2011,675,1336,209,0.01037037037037037,0.012724550898203593,0.03218562874251497,0.014221556886227544,0.015718562874251496,0.016467065868263474,3.9069766998291016,2.0,0.018380089701873187,0.01301556591328819,0.018195229899188592,0.4512355993316331,0.028844279867472226,0.3492822966507177,,,,,,,,,,,,,,,,
cnn,single_low,0.05,-10.193427085876465,0.049786628733997154,2220,2011,675,1336,209,0.04148148148148148,0.035179640718562874,0.09505988023952096,0.04565868263473054,0.05763473053892216,0.06287425149700598,2.543307065963745,1.0,0.04959985929117931,0.034121889015917686,0.04770100811408901,0.4512355993316331,0.07561878776067044,0.507177033492823,0.02666666731238365,0.057777777314186096,0.025449100881814957,0.04565868154168129,0.08008982241153717,0.11152694374322891,0.03517964109778404,0.05763472989201546,0.04565868154168129,0.07110778242349625,0.05089820176362991,0.07636603713035583,0.026885755360126495,0.04263244569301605,0.05990811437368393,0.09444394707679749
cnn,single_low,0.1,-8.889875411987305,0.09957325746799431,2220,2011,675,1336,209,0.09481481481481481,0.0718562874251497,0.23952095808383234,0.09206586826347306,0.12275449101796407,0.14296407185628743,2.784374952316284,1.0,0.11458974584469264,0.07923665464778823,0.11076960904843865,0.4512355993316331,0.1755992983823816,0.6411483253588517,,,,,,,,,,,,,,,,
cnn,two_consecutive,0.01,-8.700626373291016,0.00995732574679943,2220,2011,675,1336,209,0.0044444444444444444,0.0037425149700598802,0.09056886227544911,0.008233532934131737,0.023952095808383235,0.029940119760479042,4.322314262390137,4.0,0.024360214580951542,0.022953126374109577,0.0320875338087042,0.4512355993316331,0.05086727733385305,0.10526315789473684,,,,,,,,,,,,,,,,
