head_a,head_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_significant,roc_auc_p_value,roc_auc_p_holm,roc_auc_significant_holm,average_precision_p_value,average_precision_p_holm,average_precision_significant_holm
linear,mlp,-0.06214118003845215,-0.0702149048447609,-0.0549255907535553,0.0,True,-0.07387804985046387,-0.0860578864812851,-0.06240912526845933,0.0,True,0.0009995002498750624,0.014992503748125937,True,0.0009995002498750624,0.014992503748125937,True
linear,cnn,-0.07416921854019165,-0.08343040496110916,-0.06525713801383973,0.0,True,-0.08672302961349487,-0.10168528854846955,-0.07094728648662568,0.0,True,0.0009995002498750624,0.014992503748125937,True,0.0009995002498750624,0.014992503748125937,True
linear,gru,-0.07962357997894287,-0.09048844426870346,-0.06892835199832917,0.0,True,-0.09279412031173706,-0.10938003808259963,-0.07600565552711488,0.0,True,0.0009995002498750624,0.014992503748125937,True,0.0009995002498750624,0.014992503748125937,True
linear,attention,-0.0948936939239502,-0.1071137547492981,-0.08293602168560028,0.0,True,-0.11779141426086426,-0.1335908442735672,-0.10145880281925201,0.0,True,0.0009995002498750624,0.014992503748125937,True,0.0009995002498750624,0.014992503748125937,True
linear,attention_pe,-0.08960920572280884,-0.10156383961439133,-0.07798673063516617,0.0,True,-0.10294586420059204,-0.11999010145664216,-0.08457994610071182,0.0,True,0.0009995002498750624,0.014992503748125937,True,0.0009995002498750624,0.014992503748125937,True
mlp,cnn,-0.012028038501739502,-0.017467616498470305,-0.0066714614629745485,0.0,True,-0.012844979763031006,-0.02260485589504242,-0.0021112084388732986,0.006,True,0.0009995002498750624,0.014992503748125937,True,0.012993503248375811,0.039980009995002494,True
mlp,gru,-0.017482399940490723,-0.025244849920272826,-0.009452991187572483,0.0,True,-0.018916070461273193,-0.031267189979553224,-0.0060852929949760486,0.0035,True,0.0009995002498750624,0.014992503748125937,True,0.0079960019990005,0.039980009995002494,True
mlp,attention,-0.03275251388549805,-0.04173109233379364,-0.0237220048904419,0.0,True,-0.04391336441040039,-0.055408261716365814,-0.031834629178047184,0.0,True,0.0009995002498750624,0.014992503748125937,True,0.0009995002498750624,0.014992503748125937,True
mlp,attention_pe,-0.02746802568435669,-0.03641715794801712,-0.018788276612758642,0.0,True,-0.029067814350128174,-0.04236067086458206,-0.015701112151145943,0.0,True,0.0009995002498750624,0.014992503748125937,True,0.0009995002498750624,0.014992503748125937,True
cnn,gru,-0.005454361438751221,-0.012738092243671418,0.001770128309726708,0.071,False,-0.0060710906982421875,-0.017563077807426452,0.0057460084557533165,0.154,False,0.14292853573213393,0.24987506246876562,False,0.30884557721139433,0.30884557721139433,False
cnn,attention,-0.020724475383758545,-0.02963797152042389,-0.012543080747127535,0.0,True,-0.031068384647369385,-0.04333977997303009,-0.019725851714611053,0.0,True,0.0009995002498750624,0.014992503748125937,True,0.0009995002498750624,0.014992503748125937,True
cnn,attention_pe,-0.015439987182617188,-0.02354550063610077,-0.007345500588417057,0.0005,True,-0.016222834587097168,-0.02783764749765396,-0.0046019673347473386,0.0035,True,0.001999000499750125,0.014992503748125937,True,0.0079960019990005,0.039980009995002494,True
gru,attention,-0.015270113945007324,-0.023333632946014406,-0.007421801984310152,0.0,True,-0.024997293949127197,-0.03713482469320297,-0.013726772367954256,0.0,True,0.0009995002498750624,0.014992503748125937,True,0.0009995002498750624,0.014992503748125937,True
gru,attention_pe,-0.009985625743865967,-0.017433200776576997,-0.0025648593902587915,0.004,True,-0.01015174388885498,-0.021647968888282777,0.0011380299925804122,0.0415,False,0.008995502248875561,0.026986506746626684,True,0.08395802098950525,0.1679160419790105,False
attention,attention_pe,0.005284488201141357,-0.0012840911746025085,0.012358118593692779,0.938,False,0.014845550060272217,0.005098649859428405,0.02529701590538024,0.9975,True,0.12493753123438281,0.24987506246876562,False,0.005997001499250375,0.035982008995502246,True
