head,group_type,group,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy
linear,length,short,968,2928,0.6909152865409851,0.6632242202758789,0.7511619329452515,0.7882004976272583,0.9409547738693468
linear,length,medium,681,3996,0.6981981992721558,0.6915110349655151,0.7513831853866577,0.7572721242904663,0.8944575471698113
linear,length,long,574,5811,0.7117535471916199,0.7105848789215088,0.7746921181678772,0.7424746751785278,0.9159059474412171
linear,error_count,one_error,228,857,0.7491248250007629,0.6753060817718506,0.7956656217575073,0.9200831055641174,0.9268680445151033
linear,error_count,multiple_errors,1153,7320,0.6784152984619141,0.7352879047393799,0.8134526610374451,0.5027684569358826,0.9116465863453815
linear,first_error_position,early,758,5026,0.6840429902076721,0.7246776819229126,0.7893417477607727,0.19248324632644653,0.9021505376344086
linear,first_error_position,middle,287,1568,0.6313775777816772,0.6752487421035767,0.7913417220115662,0.722044825553894,0.9203362690152121
linear,first_error_position,late,336,1583,0.7454200983047485,0.6916404962539673,0.7924362421035767,0.9014019966125488,0.9148084619782733
mlp,length,short,968,2928,0.7875683307647705,0.7825983762741089,0.8619829416275024,0.8852774500846863,0.8969849246231156
mlp,length,medium,681,3996,0.7612612843513489,0.7603473663330078,0.83443284034729,0.8459217548370361,0.9044811320754716
mlp,length,long,574,5811,0.7473756670951843,0.7428554892539978,0.8215636610984802,0.7853552103042603,0.9413554633471646
mlp,error_count,one_error,228,857,0.7806301116943359,0.7778568267822266,0.8317922949790955,0.9018793702125549,0.9141494435612083
mlp,error_count,multiple_errors,1153,7320,0.7724043726921082,0.770462155342102,0.8504324555397034,0.5618312954902649,0.9266155531215772
mlp,first_error_position,early,758,5026,0.7894946336746216,0.7256842851638794,0.8182051181793213,0.19516482949256897,0.9236559139784947
mlp,first_error_position,middle,287,1568,0.7161989808082581,0.7301324009895325,0.8070482611656189,0.7111283540725708,0.9287429943955164
mlp,first_error_position,late,336,1583,0.7782691121101379,0.7690147757530212,0.8305948376655579,0.8976496458053589,0.9222412807318467
cnn,length,short,968,2928,0.7984972596168518,0.7881771326065063,0.8707330226898193,0.9019582271575928,0.9447236180904522
cnn,length,medium,681,3996,0.7682682871818542,0.7615783214569092,0.8457194566726685,0.8559317588806152,0.9009433962264151
cnn,length,long,574,5811,0.7595938444137573,0.7598890066146851,0.8349395990371704,0.7990480065345764,0.9330567081604426
cnn,error_count,one_error,228,857,0.7549591660499573,0.7268151044845581,0.8076381087303162,0.9020562171936035,0.9538950715421304
cnn,error_count,multiple_errors,1153,7320,0.7368852496147156,0.7529318332672119,0.8348323106765747,0.510944664478302,0.9224169404892296
cnn,first_error_position,early,758,5026,0.7588539719581604,0.7133139967918396,0.7998982667922974,0.1596829742193222,0.9209677419354839
cnn,first_error_position,middle,287,1568,0.6677296161651611,0.6926224231719971,0.786466658115387,0.6776312589645386,0.9267413931144916
cnn,first_error_position,late,336,1583,0.7454200983047485,0.7084054946899414,0.8014981150627136,0.8881137371063232,0.9291023441966838
gru,length,short,968,2928,0.7981557250022888,0.7924181222915649,0.8689846396446228,0.8953453898429871,0.9321608040201005
gru,length,medium,681,3996,0.7667667865753174,0.7655327916145325,0.8499630093574524,0.8637996912002563,0.90625
gru,length,long,574,5811,0.7764584422111511,0.7691771984100342,0.8437396287918091,0.8183550834655762,0.9432918395573997
gru,error_count,one_error,228,857,0.7187864780426025,0.7035708427429199,0.7749769687652588,0.8817148208618164,0.9554848966613673
gru,error_count,multiple_errors,1153,7320,0.7830601334571838,0.7355985045433044,0.8201295733451843,0.49162590503692627,0.9288061336254108
gru,first_error_position,early,758,5026,0.8290887475013733,0.6769888401031494,0.7853019833564758,0.1514427661895752,0.9360215053763441
gru,first_error_position,middle,287,1568,0.6811224222183228,0.6841946840286255,0.7427021861076355,0.6047532558441162,0.9239391513210569
gru,first_error_position,late,336,1583,0.7030953764915466,0.6919146776199341,0.7554352283477783,0.8592667579650879,0.9376786735277302
attention,length,short,968,2928,0.8043032884597778,0.7911543846130371,0.884677529335022,0.9113035798072815,0.9359296482412061
attention,length,medium,681,3996,0.7892892956733704,0.7813128232955933,0.8727297782897949,0.8860457539558411,0.9274764150943396
attention,length,long,574,5811,0.7780072093009949,0.7796609401702881,0.8543662428855896,0.8337631821632385,0.9358229598893499
attention,error_count,one_error,228,857,0.8004667162895203,0.7717972993850708,0.8237176537513733,0.8827462792396545,0.9666136724960255
attention,error_count,multiple_errors,1153,7320,0.7377049326896667,0.7587500214576721,0.839445173740387,0.4774739146232605,0.929718875502008
attention,first_error_position,early,758,5026,0.7684043049812317,0.735255777835846,0.8274308443069458,0.16156136989593506,0.9123655913978495
attention,first_error_position,middle,287,1568,0.6536989808082581,0.6887716054916382,0.7770788073539734,0.6304630041122437,0.9351481184947958
attention,first_error_position,late,336,1583,0.7574226260185242,0.7187834978103638,0.7891378998756409,0.8588777780532837,0.9536878216123499
attention_pe,length,short,968,2928,0.813524603843689,0.8101605176925659,0.8820339441299438,0.897096574306488,0.885678391959799
attention_pe,length,medium,681,3996,0.7915415167808533,0.7891030311584473,0.8669346570968628,0.8739790320396423,0.8832547169811321
attention_pe,length,long,574,5811,0.7743933796882629,0.7680811882019043,0.8505182266235352,0.8277063965797424,0.9405255878284924
attention_pe,error_count,one_error,228,857,0.7537922859191895,0.74000084400177,0.7845717072486877,0.857771635055542,0.904610492845787
attention_pe,error_count,multiple_errors,1153,7320,0.7927595376968384,0.7604242563247681,0.8366612195968628,0.45703479647636414,0.91894852135816
