head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
linear,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,min,argmax,2,0.33661866188049316,0.31815770268440247,0.35561407282948493,0.027710385620594025,0.022062165662646294,0.03347232937812805,0.0009995002498750624,0.035982008995502246,1319
linear,min,argmax,4,0.35360121726989746,0.33377371430397035,0.37418875768780707,-0.020697498694062233,-0.029037145897746086,-0.012168310536071657,0.0009995002498750624,0.035982008995502246,1319
linear,min,argmax,8,0.36019712686538696,0.3389973357319832,0.38203564807772633,-0.07107657939195633,-0.08525397647172213,-0.05712566385045648,0.0009995002498750624,0.035982008995502246,1319
linear,min,argmax,16,0.36163759231567383,0.3358604907989502,0.388931006193161,-0.1038665622472763,-0.127369225025177,-0.08112206310033798,0.0009995002498750624,0.035982008995502246,1319
linear,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,min,weighted_vote,2,0.33661866188049316,0.31815770268440247,0.35561407282948493,0.027710385620594025,0.022062165662646294,0.03347232937812805,0.0009995002498750624,0.035982008995502246,1319
linear,min,weighted_vote,4,0.37577712535858154,0.35503883957862853,0.39738624170422554,0.0014783923979848623,-0.005421720957383513,0.007885709055699403,0.6836581709145427,1.0,1319
linear,min,weighted_vote,8,0.4133055508136749,0.3891575388610363,0.4372280351817608,-0.017968159168958664,-0.0271417704410851,-0.008906369842588913,0.0009995002498750624,0.035982008995502246,1319
linear,min,weighted_vote,16,0.44730857014656067,0.4200151562690735,0.47462093755602824,-0.018195603042840958,-0.03487490490078926,-0.0022744503803551197,0.02498750624687656,0.2748625687156422,1319
linear,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,mean,argmax,2,0.3317664563655853,0.3139812178909779,0.3504549264907837,0.02285822667181492,0.017172101838514208,0.028430629521608353,0.0009995002498750624,0.035982008995502246,1319
linear,mean,argmax,4,0.34507203102111816,0.3254340410232544,0.3649005115032196,-0.02922668680548668,-0.03786959499120712,-0.0210377186536789,0.0009995002498750624,0.035982008995502246,1319
linear,mean,argmax,8,0.34522363543510437,0.32369220182299613,0.36675607562065127,-0.08605004101991653,-0.10041698068380356,-0.07228866796940565,0.0009995002498750624,0.035982008995502246,1319
linear,mean,argmax,16,0.34723275899887085,0.3214556574821472,0.3730288140475749,-0.11827141791582108,-0.14253221452236176,-0.09476876258850098,0.0009995002498750624,0.035982008995502246,1319
linear,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,mean,weighted_vote,2,0.3317664563655853,0.3139812178909779,0.3504549264907837,0.02285822667181492,0.017172101838514208,0.028430629521608353,0.0009995002498750624,0.035982008995502246,1319
linear,mean,weighted_vote,4,0.377369225025177,0.3560273043811321,0.39886559322476384,0.003070508362725377,-0.0028440102993045,0.0088722520507872,0.2868565717141429,1.0,1319
linear,mean,weighted_vote,8,0.4216451942920685,0.3982088573276997,0.4454899378120899,-0.009628506377339363,-0.01675606477074325,-0.00288002211018466,0.005997001499250375,0.047976011994003,1319
linear,mean,weighted_vote,16,0.4526156187057495,0.4260803759098053,0.4806671738624573,-0.012888551689684391,-0.027293404564261436,0.0015163002535700798,0.08695652173913043,0.7826086956521738,1319
