head,offset,mean_standardized_q,std_standardized_q,n
linear,-2,0.6056385636329651,0.8269206285476685,453
linear,-1,0.4562458097934723,0.8517083525657654,789
linear,0,-0.04925498366355896,0.7553383111953735,789
linear,1,-0.2183052897453308,0.7652119398117065,567
linear,2,-0.3221602141857147,0.7825868725776672,389
mlp,-2,0.6397153735160828,0.6732199192047119,453
mlp,-1,0.46409136056900024,0.7600046992301941,789
mlp,0,-0.15598158538341522,0.7836992740631104,789
mlp,1,-0.27348577976226807,0.761734664440155,567
mlp,2,-0.3492620289325714,0.7135304808616638,389
cnn,-2,0.47037142515182495,0.7025549411773682,453
cnn,-1,0.294628769159317,0.769463837146759,789
cnn,0,-0.2432226985692978,0.7464785575866699,789
cnn,1,-0.37692001461982727,0.7170149683952332,567
cnn,2,-0.42069822549819946,0.7277160882949829,389
gru,-2,0.4833117723464966,0.673883855342865,453
gru,-1,0.34403592348098755,0.6730312705039978,789
gru,0,-0.06405501812696457,0.7054612040519714,789
gru,1,-0.2346462458372116,0.7324603796005249,567
gru,2,-0.3338756561279297,0.7259795069694519,389
attention,-2,0.4439082145690918,0.6272770166397095,453
attention,-1,0.31550338864326477,0.6800052523612976,789
attention,0,-0.16917625069618225,0.7143940329551697,789
attention,1,-0.31133851408958435,0.6857385039329529,567
attention,2,-0.36056625843048096,0.6794008612632751,389
attention_pe,-2,0.41540291905403137,0.5772454738616943,453
attention_pe,-1,0.2779446244239807,0.6678846478462219,789
attention_pe,0,-0.11831479519605637,0.7610225081443787,789
attention_pe,1,-0.25450295209884644,0.7471159100532532,567
attention_pe,2,-0.32644468545913696,0.6954882144927979,389
