head,variant,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy,roc_auc_delta,ranking_accuracy_delta
linear,original,2223,12735,0.7027090787887573,0.7013993859291077,0.7672211527824402,0.7603392004966736,0.9132143441951859,0.0,0.0
linear,reverse,2223,12735,0.7027090787887573,0.7013993859291077,0.7672211527824402,0.7603392004966736,0.9132143441951859,0.0,0.0
linear,swap_adjacent,2223,12735,0.7027090787887573,0.7013993859291077,0.7672211527824402,0.7603392004966736,0.9132143441951859,0.0,0.0
linear,mask_previous,2223,12735,0.7159010767936707,0.7143085598945618,0.7925313711166382,0.8010572791099548,0.9567709186179794,0.025310218334197998,0.04355657442279348
linear,mask_first_error,2223,12735,0.6608558893203735,0.6586087942123413,0.6436684131622314,0.5942360162734985,0.6631734075650892,-0.12355273962020874,-0.25004093663009663
mlp,original,2223,12735,0.7609736919403076,0.7612409591674805,0.8373913764953613,0.836320161819458,0.9253315867037826,0.0,0.0
mlp,reverse,2223,12735,0.7609736919403076,0.7612409591674805,0.8373913764953613,0.836320161819458,0.9253315867037826,0.0,0.0
mlp,swap_adjacent,2223,12735,0.7609736919403076,0.7612409591674805,0.8373913764953613,0.836320161819458,0.9253315867037826,0.0,0.0
mlp,mask_previous,2223,12735,0.7793482542037964,0.7792216539382935,0.846792995929718,0.8392578959465027,0.9130505976747995,0.00940161943435669,-0.012280989028983114
mlp,mask_first_error,2223,12735,0.6925010085105896,0.6912345886230469,0.7928688526153564,0.8192368149757385,0.8336335352873752,-0.04452252388000488,-0.09169805141640741
cnn,original,2223,12735,0.7712603211402893,0.7702813148498535,0.8485900163650513,0.850174069404602,0.9256590797445554,0.0,0.0
cnn,reverse,2223,12735,0.6744405031204224,0.6713857650756836,0.7401420474052429,0.7253364324569702,0.8375634517766497,-0.10844796895980835,-0.08809562796790571
cnn,swap_adjacent,2223,12735,0.7294856905937195,0.7278566360473633,0.8007661700248718,0.788491427898407,0.8672015719665958,-0.04782384634017944,-0.05845750777795966
cnn,mask_previous,2223,12735,0.7597172856330872,0.7586174011230469,0.8374989628791809,0.8388813138008118,0.8527918781725888,-0.011091053485870361,-0.07286720157196658
cnn,mask_first_error,2223,12735,0.724303126335144,0.7224650382995605,0.8059369325637817,0.7953046560287476,0.7602750941542492,-0.04265308380126953,-0.1653839855903062
gru,original,2223,12735,0.7784059643745422,0.7789707779884338,0.8527426719665527,0.8552653789520264,0.9315539544784673,0.0,0.0
gru,reverse,2223,12735,0.6729485392570496,0.6690205335617065,0.7356905341148376,0.7155939936637878,0.4054363844768299,-0.11705213785171509,-0.5261175700016374
gru,swap_adjacent,2223,12735,0.7547703385353088,0.7551155090332031,0.8282435536384583,0.8256181478500366,0.8503356803667922,-0.024499118328094482,-0.08121827411167515
gru,mask_previous,2223,12735,0.7663918137550354,0.7658510804176331,0.8290771842002869,0.8075481653213501,0.7424267234321271,-0.02366548776626587,-0.18912723104634022
gru,mask_first_error,2223,12735,0.6715351343154907,0.6696614623069763,0.721903383731842,0.7106279134750366,0.5043392827902408,-0.1308392882347107,-0.4272146716882266
attention,original,2223,12735,0.7875932455062866,0.7862572073936462,0.8692118525505066,0.8742918968200684,0.9335189127231046,0.0,0.0
attention,reverse,2223,12735,0.7875932455062866,0.7862572073936462,0.8692118525505066,0.8742918968200684,0.9335189127231046,0.0,0.0
attention,swap_adjacent,2223,12735,0.7875932455062866,0.7862572073936462,0.8692118525505066,0.8742918968200684,0.9335189127231046,0.0,0.0
attention,mask_previous,2223,12735,0.7960737943649292,0.7946557998657227,0.8775360584259033,0.8839017748832703,0.9148518093990503,0.008324205875396729,-0.0186671033240543
attention,mask_first_error,2223,12735,0.7502159476280212,0.7481322288513184,0.833502471446991,0.840147852897644,0.8003929916489274,-0.035709381103515625,-0.1331259210741772
attention_pe,original,2223,12735,0.7887710928916931,0.7891688346862793,0.8651225566864014,0.8624150156974792,0.9174717537252334,0.0,0.0
attention_pe,reverse,2223,12735,0.7774636745452881,0.7781932950019836,0.8553169965744019,0.8522157669067383,0.9107581463893892,-0.009805560111999512,-0.006713607335844141
attention_pe,swap_adjacent,2223,12735,0.7848449349403381,0.7853130102157593,0.8645844459533691,0.8623664379119873,0.9186179793679384,-0.0005381107330322266,0.0011462256427050566
attention_pe,mask_previous,2223,12735,0.7987436056137085,0.7990823984146118,0.8722363114356995,0.871269166469574,0.9261503193057148,0.007113754749298096,0.008678565580481412
attention_pe,mask_first_error,2223,12735,0.7531213164329529,0.7527927756309509,0.8209191560745239,0.8156222701072693,0.8085803176682496,-0.04420340061187744,-0.10889143605698381
