head,policy,budget,group_type,group,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate
linear,single_low,0.05,length,short,958,958,402,556,0,0.007462686567164179,0.00539568345323741,0.10071942446043165,0.025179856115107913,0.05755395683453238,0.08633093525179857,1.3214285373687744,1.0,0.012785072563925363,0.009329647546648237,0.01579871269748391,0.22840359364201795,0.04084720121028744,
linear,single_low,0.05,length,medium,669,669,247,422,0,0.05668016194331984,0.026066350710900472,0.24407582938388625,0.02843601895734597,0.08056872037914692,0.11848341232227488,2.6504855155944824,3.0,0.05779022403258656,0.04531568228105906,0.07168747482883608,0.35005091649694503,0.12945454545454546,
linear,single_low,0.05,length,long,569,569,192,377,0,0.171875,0.023872679045092837,0.4482758620689655,0.05305039787798409,0.10875331564986737,0.1724137931034483,4.005917072296143,4.0,0.17256330211585155,0.1401318071453347,0.21052631578947367,0.47467915365938257,0.2952137376689806,
linear,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.006775067750677507,0.36720867208672087,0.04065040650406504,0.0989159891598916,0.15176151761517614,3.5092251300811768,3.0,0.20520642668293676,0.19910514541387025,0.19910514541387025,0.8043522473052674,0.2475347661188369,
linear,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.014234875444839857,0.12455516014234876,0.0071174377224199285,0.0498220640569395,0.10676156583629894,1.7714285850524902,2.0,0.036601307189542485,0.020261437908496733,0.020261437908496733,0.44313725490196076,0.045722713864306784,
linear,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.041666666666666664,0.06547619047619048,0.041666666666666664,0.05952380952380952,0.0625,0.5,0.0,0.025268477574226154,0.0018951358180669614,0.0018951358180669614,0.08843967150979154,0.02142857142857143,
mlp,single_low,0.05,length,short,958,958,402,556,0,0.014925373134328358,0.008992805755395683,0.2589928057553957,0.10251798561151079,0.19784172661870503,0.24280575539568344,0.9027777910232544,1.0,0.02868002764340014,0.025224602626123013,0.042715038033937974,0.22840359364201795,0.11043872919818457,
mlp,single_low,0.05,length,medium,669,669,247,422,0,0.04048582995951417,0.009478672985781991,0.32701421800947866,0.10426540284360189,0.16350710900473933,0.2014218009478673,1.8623188734054565,1.0,0.09164969450101833,0.08273930753564154,0.13089005235602094,0.35005091649694503,0.23636363636363636,
mlp,single_low,0.05,length,long,569,569,192,377,0,0.15104166666666666,0.021220159151193633,0.5278514588859416,0.11936339522546419,0.20954907161803712,0.2891246684350133,3.1557788848876953,2.0,0.21973638570933055,0.1879986125563649,0.2824387701928088,0.47467915365938257,0.39605407380343444,
mlp,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.0027100271002710027,0.5094850948509485,0.13685636856368563,0.24119241192411925,0.3130081300813008,2.4414894580841064,2.0,0.2942851332113077,0.29143786861907667,0.29143786861907667,0.8043522473052674,0.3623261694058154,
mlp,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.021352313167259787,0.18149466192170818,0.010676156583629894,0.099644128113879,0.15658362989323843,1.627450942993164,1.0,0.050980392156862744,0.030065359477124184,0.030065359477124184,0.44313725490196076,0.06784660766961652,
mlp,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.026785714285714284,0.16071428571428573,0.125,0.15476190476190477,0.16071428571428573,0.25925925374031067,0.0,0.020846493998736577,0.0018951358180669614,0.0018951358180669614,0.08843967150979154,0.02142857142857143,
cnn,single_low,0.05,length,short,958,958,402,556,0,0.05472636815920398,0.050359712230215826,0.2787769784172662,0.08812949640287769,0.19964028776978418,0.2589928057553957,1.0387096405029297,1.0,0.0663441603317208,0.036627505183137524,0.0620245757753072,0.22840359364201795,0.16036308623298035,
cnn,single_low,0.05,length,medium,669,669,247,422,0,0.05668016194331984,0.04976303317535545,0.26303317535545023,0.04739336492890995,0.12796208530805686,0.1966824644549763,1.9189189672470093,2.0,0.10386965376782077,0.07204684317718942,0.11397503020539669,0.35005091649694503,0.20581818181818182,
cnn,single_low,0.05,length,long,569,569,192,377,0,0.0625,0.023872679045092837,0.35278514588859416,0.029177718832891247,0.09549071618037135,0.13262599469496023,4.360902309417725,4.0,0.12001387443635102,0.09746791536593825,0.1464304325169359,0.47467915365938257,0.20533430763609792,
cnn,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.008130081300813009,0.4173441734417344,0.04200542005420054,0.17615176151761516,0.26151761517615174,2.8603897094726562,2.0,0.18954647142566605,0.17856416514134635,0.17856416514134635,0.8043522473052674,0.2219974715549937,
cnn,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.060498220640569395,0.23843416370106763,0.10320284697508897,0.17793594306049823,0.21352313167259787,0.9850746393203735,1.0,0.0934640522875817,0.047058823529411764,0.047058823529411764,0.44313725490196076,0.10619469026548672,
cnn,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.10416666666666667,0.07142857142857142,0.05952380952380952,0.0625,0.07142857142857142,0.2916666567325592,0.0,0.05811749842072015,0.0006317119393556538,0.0006317119393556538,0.08843967150979154,0.007142857142857143,
gru,single_low,0.05,length,short,958,958,402,556,0,0.022388059701492536,0.007194244604316547,0.2643884892086331,0.04316546762589928,0.15827338129496402,0.24280575539568344,1.319727897644043,1.0,0.019350380096751902,0.016931582584657913,0.028671737858396724,0.22840359364201795,0.07413010590015129,
