head,policy,budget,threshold,calibration_clean_false_prune_rate,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate,clean_false_prune_rate_ci_low,clean_false_prune_rate_ci_high,pre_error_false_prune_rate_ci_low,pre_error_false_prune_rate_ci_high,error_coverage_ci_low,error_coverage_ci_high,detection_at_0_ci_low,detection_at_0_ci_high,detection_at_1_ci_low,detection_at_1_ci_high,detection_at_2_ci_low,detection_at_2_ci_high,safe_step_saving_rate_ci_low,safe_step_saving_rate_ci_high,oracle_efficiency_ratio_ci_low,oracle_efficiency_ratio_ci_high
linear,single_low,0.01,-7.8585524559021,0.009650180940892641,2222,2196,841,1355,26,0.01070154577883472,0.0036900369003690036,0.05830258302583026,0.002952029520295203,0.008118081180811807,0.01107011070110701,5.2151899337768555,5.0,0.01874801398156975,0.01517318080711789,0.023785803237858033,0.3791706387035272,0.0400167609469935,0.11538461538461539,,,,,,,,,,,,,,,,
linear,single_low,0.05,-6.355789661407471,0.04945717732207479,2222,2196,841,1355,26,0.059453032104637336,0.016974169741697416,0.24206642066420664,0.03394833948339483,0.07896678966789668,0.12029520295202951,3.121951103210449,3.0,0.10001588814744201,0.08047346679377185,0.1261519302615193,0.3791706387035272,0.21223549130525873,0.5384615384615384,0.04280618205666542,0.07609988003969193,0.01105166133493185,0.024354243651032448,0.21918819844722748,0.2649446427822113,0.02509225159883499,0.04428044334053993,0.06494464725255966,0.09446494281291962,0.10332103073596954,0.13874538242816925,0.06958872824907303,0.09113661199808121,0.18593081831932068,0.23693108558654785
linear,single_low,0.1,-5.863941192626953,0.09891435464414958,2222,2196,841,1355,26,0.10344827586206896,0.026568265682656828,0.33948339483394835,0.07084870848708487,0.14464944649446496,0.2029520295202952,2.506521701812744,2.0,0.14450270098506515,0.11256752462662853,0.17646326276463262,0.3791706387035272,0.29687827362245967,0.7307692307692307,,,,,,,,,,,,,,,,
linear,two_consecutive,0.01,-7.574848175048828,0.009650180940892641,2222,2196,841,1355,26,0.007134363852556481,0.002214022140221402,0.045018450184501846,0.002214022140221402,0.0036900369003690036,0.00959409594095941,5.196721076965332,5.0,0.014855417858277724,0.012074992055926279,0.018929016189290163,0.3791706387035272,0.03184579928765975,0.038461538461538464,,,,,,,,,,,,,,,,
linear,two_consecutive,0.05,-5.822277545928955,0.04945717732207479,2222,2196,841,1355,26,0.057074910820451845,0.008118081180811807,0.22509225092250923,0.014022140221402213,0.05977859778597786,0.1011070110701107,3.3639345169067383,3.0,0.09572608833809977,0.07944073721004132,0.12453300124533001,0.3791706387035272,0.20951183741881416,0.34615384615384615,,,,,,,,,,,,,,,,
linear,two_consecutive,0.1,-5.2968292236328125,0.09891435464414958,2222,2196,841,1355,26,0.09512485136741974,0.014760147601476014,0.3040590405904059,0.025092250922509225,0.1121771217712177,0.16162361623616237,2.8907766342163086,2.0,0.13528757546870035,0.10915157292659676,0.17110834371108344,0.3791706387035272,0.28786926461345064,0.5769230769230769,,,,,,,,,,,,,,,,
mlp,single_low,0.01,-8.031585693359375,0.009650180940892641,2222,2196,841,1355,26,0.023781212841854936,0.0036900369003690036,0.2059040590405904,0.03985239852398524,0.09151291512915129,0.10922509225092251,3.0322580337524414,2.0,0.06879567842389578,0.06196377502383222,0.09713574097135741,0.3791706387035272,0.16341923318667503,0.34615384615384615,,,,,,,,,,,,,,,,
mlp,single_low,0.05,-7.057159900665283,0.04945717732207479,2222,2196,841,1355,26,0.0535077288941736,0.012546125461254613,0.3549815498154982,0.1077490774907749,0.1904059040590406,0.24280442804428043,2.11018705368042,1.0,0.13584366062917064,0.11773117254528122,0.18455790784557907,0.3791706387035272,0.3104965430546826,0.5384615384615384,0.03923900052905083,0.06896551698446274,0.007380073890089989,0.018450183793902397,0.33062729239463806,0.38081181049346924,0.09151291847229004,0.12546125054359436,0.169741690158844,0.21254612505435944,0.21992619335651398,0.2664206624031067,0.10545149445533752,0.1304350346326828,0.28316086530685425,0.33812230825424194
mlp,single_low,0.1,-6.314232349395752,0.09891435464414958,2222,2196,841,1355,26,0.09274673008323424,0.028044280442804426,0.4915129151291513,0.1977859778597786,0.32177121771217715,0.3874538745387454,1.4834834337234497,1.0,0.2020972354623451,0.16642834445503654,0.26089663760896636,0.3791706387035272,0.43892729939241565,0.8846153846153846,,,,,,,,,,,,,,,,
mlp,two_consecutive,0.01,-7.496626377105713,0.009650180940892641,2222,2196,841,1355,26,0.0178359096313912,0.0014760147601476014,0.15350553505535056,0.002952029520295203,0.03616236162361624,0.061254612546125464,3.831730842590332,3.0,0.06108992691452177,0.05584683825865904,0.087546699875467,0.3791706387035272,0.14728682170542637,0.15384615384615385,,,,,,,,,,,,,,,,
mlp,two_consecutive,0.05,-6.4143290519714355,0.04945717732207479,2222,2196,841,1355,26,0.04637336504161712,0.005904059040590406,0.28413284132841327,0.011808118081180811,0.11881918819188192,0.17490774907749077,2.597402572631836,2.0,0.12813790911979664,0.11177311725452813,0.17521793275217934,0.3791706387035272,0.29478315524827153,0.38461538461538464,,,,,,,,,,,,,,,,
mlp,two_consecutive,0.1,-5.447738170623779,0.09891435464414958,2222,2196,841,1355,26,0.09274673008323424,0.020664206642066422,0.4132841328413284,0.03394833948339483,0.23173431734317343,0.3033210332103321,1.9660714864730835,1.0,0.18533523991102638,0.1532411820781697,0.2402241594022416,0.3791706387035272,0.40414833438089254,0.8076923076923077,,,,,,,,,,,,,,,,
