head,agg,n_solutions,positive_rate,roc_auc,average_precision,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high
linear,min,2222,0.3735373616218567,0.7157777547836304,0.5671725869178772,0.6944893181324006,0.7375023901462555,0.5323180094361305,0.6047213077545166
linear,mean,2222,0.3735373616218567,0.6945202946662903,0.5313068628311157,0.6733702123165131,0.7166218876838684,0.49833704605698587,0.5665702059864998
linear,last,2222,0.3735373616218567,0.7207520008087158,0.577195405960083,0.6999204680323601,0.7417710438370705,0.5419872045516968,0.6145947396755218
mlp,min,2222,0.3735373616218567,0.8206585049629211,0.7488235831260681,0.8022463232278824,0.8379583775997161,0.7184224709868431,0.7756511121988297
mlp,mean,2222,0.3735373616218567,0.806799590587616,0.737248420715332,0.7883272141218185,0.8251187413930893,0.7074617683887482,0.7639747843146324
mlp,last,2222,0.3735373616218567,0.8186019659042358,0.7446237802505493,0.7998646005988121,0.8360948517918587,0.7138013243675232,0.7721006080508233
cnn,min,2222,0.3735373616218567,0.8426845073699951,0.7761543989181519,0.8259740769863129,0.8590792641043663,0.7464885219931603,0.8019375622272491
cnn,mean,2222,0.3735373616218567,0.8272520899772644,0.7626116275787354,0.8095292374491692,0.844085444509983,0.7330235719680787,0.7886785373091697
cnn,last,2222,0.3735373616218567,0.8464868068695068,0.7883554697036743,0.8294962212443352,0.862387515604496,0.7599779084324837,0.8127897113561631
gru,min,2222,0.3735373616218567,0.8382088541984558,0.7645615339279175,0.8209649652242661,0.8552938431501389,0.7340749248862266,0.7924927100539207
gru,mean,2222,0.3735373616218567,0.8240193724632263,0.7506759166717529,0.8063942208886147,0.8419167980551719,0.7210233256220817,0.7775342151522636
gru,last,2222,0.3735373616218567,0.8396707773208618,0.7731411457061768,0.8228660643100738,0.8567389756441116,0.7447873011231423,0.8000921100378037
attention,min,2222,0.3735373616218567,0.8654393553733826,0.8155525922775269,0.8497006177902222,0.8804968699812888,0.7894323259592056,0.8409187465906143
attention,mean,2222,0.3735373616218567,0.8523880243301392,0.810932457447052,0.8361461892724037,0.8688308507204056,0.7871887251734734,0.8335620954632759
attention,last,2222,0.3735373616218567,0.867310643196106,0.8282382488250732,0.8517202824354172,0.882270185649395,0.8057235300540924,0.8503151267766952
attention_pe,min,2222,0.3735373616218567,0.859337329864502,0.7952089905738831,0.8425775796175003,0.8745867326855659,0.7666234165430069,0.8211472287774086
attention_pe,mean,2222,0.3735373616218567,0.8501610159873962,0.7957478761672974,0.8336757093667984,0.86637382209301,0.768893800675869,0.8203155338764191
attention_pe,last,2222,0.3735373616218567,0.8625207543373108,0.8098427057266235,0.8461502894759179,0.8776666611433029,0.7843940183520317,0.8332799628376961
