arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_significant,roc_auc_p_value,roc_auc_p_holm,roc_auc_significant_holm,average_precision_p_value,average_precision_p_holm,average_precision_significant_holm
linear_512,linear_2048,-0.007721245288848877,-0.015035267174243926,-9.694695472717627e-05,0.0245,True,0.005752384662628174,0.0028079718351364134,0.00887753367424011,1.0,True,0.04997501249375312,0.2998500749625187,False,0.0009995002498750624,0.005997001499250375,True
linear_512,mlp_512,-0.07017022371292114,-0.07903893291950226,-0.062022538483142854,0.0,True,-0.07598096132278442,-0.08879363089799881,-0.06307666748762131,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_512,mlp_2048,-0.0712820291519165,-0.08278970420360565,-0.06021279692649841,0.0,True,-0.06794136762619019,-0.08201545923948288,-0.05398972779512406,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_512,cnn_512,-0.08136886358261108,-0.09195363372564316,-0.07108415067195893,0.0,True,-0.08983486890792847,-0.1039379045367241,-0.07647615373134614,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_512,cnn_2048,-0.08390915393829346,-0.09571077823638915,-0.07191237211227418,0.0,True,-0.08352804183959961,-0.09874930083751679,-0.06902871429920199,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_512,gru_512,-0.08552151918411255,-0.09694475382566452,-0.07385437786579133,0.0,True,-0.09492617845535278,-0.11086925566196441,-0.07925535142421723,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_512,gru_2048,-0.08799183368682861,-0.10157263427972793,-0.0746577098965645,0.0,True,-0.09029215574264526,-0.10692314207553863,-0.07365218847990036,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_512,attention_512,-0.1019906997680664,-0.1152303621172905,-0.08895436823368072,0.0,True,-0.11395269632339478,-0.13082871288061143,-0.09692693203687668,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_512,attention_2048,-0.10041922330856323,-0.11572383493185043,-0.08555586785078048,0.0,True,-0.10633194446563721,-0.12393298298120499,-0.08901521563529968,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_512,attention_pe_512,-0.09790140390396118,-0.11130420714616776,-0.08473142087459565,0.0,True,-0.10207581520080566,-0.12041573524475098,-0.08431021869182587,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_512,attention_pe_2048,-0.09649068117141724,-0.11219994127750396,-0.08066262751817706,0.0,True,-0.09454488754272461,-0.11279055029153824,-0.07668617069721222,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_2048,mlp_512,-0.062448978424072266,-0.07352652102708816,-0.05169720500707627,0.0,True,-0.0817333459854126,-0.09462501555681228,-0.06854920983314514,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_2048,mlp_2048,-0.06356078386306763,-0.0722847506403923,-0.05556973516941071,0.0,True,-0.07369375228881836,-0.0868104189634323,-0.06069778352975846,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_2048,cnn_512,-0.07364761829376221,-0.08654685020446777,-0.061145256459712985,0.0,True,-0.09558725357055664,-0.10988934189081193,-0.08141555935144425,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_2048,cnn_2048,-0.07618790864944458,-0.08645110130310059,-0.06628818809986116,0.0,True,-0.08928042650222778,-0.10380602180957794,-0.0754232943058014,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_2048,gru_512,-0.07780027389526367,-0.09099231958389283,-0.06510615646839142,0.0,True,-0.10067856311798096,-0.11697876155376434,-0.0852056547999382,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_2048,gru_2048,-0.08027058839797974,-0.09153512716293336,-0.06911230832338333,0.0,True,-0.09604454040527344,-0.11257348954677582,-0.08003736585378649,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
linear_2048,attention_512,-0.09426945447921753,-0.10867315828800202,-0.07954213619232178,0.0,True,-0.11970508098602295,-0.13669586181640625,-0.10295302867889405,0.0,True,0.0009995002498750624,,,0.0009995002498750624,,
