head,group_type,group,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy
linear,length,short,968,2928,0.693647563457489,0.6656991243362427,0.7514979243278503,0.7867917418479919,0.9422110552763819
linear,length,medium,681,3996,0.6961961984634399,0.6897718906402588,0.7497217655181885,0.7554329633712769,0.9015330188679245
linear,length,long,574,5811,0.7105489373207092,0.7088946104049683,0.7734445929527283,0.7425070405006409,0.918118948824343
linear,error_count,one_error,228,857,0.7467911243438721,0.6737163066864014,0.7938736081123352,0.9198599457740784,0.9284578696343402
linear,error_count,multiple_errors,1153,7320,0.6799180507659912,0.734431803226471,0.8126980066299438,0.5018877387046814,0.9152975538517707
linear,first_error_position,early,758,5026,0.6864305734634399,0.7278138399124146,0.787429928779602,0.19089119136333466,0.8989247311827957
linear,first_error_position,middle,287,1568,0.6339285969734192,0.6762850284576416,0.7891615629196167,0.7155714631080627,0.9247397918334668
linear,first_error_position,late,336,1583,0.7409980893135071,0.6878800392150879,0.7934249639511108,0.9030540585517883,0.923956546598056
mlp,length,short,968,2928,0.7991803288459778,0.7973023653030396,0.8732174634933472,0.8939275741577148,0.8969849246231156
mlp,length,medium,681,3996,0.761011004447937,0.7595254778862,0.8366166353225708,0.846116304397583,0.8950471698113207
mlp,length,long,574,5811,0.7453106045722961,0.7404866814613342,0.8237363696098328,0.7876603603363037,0.9230982019363763
mlp,error_count,one_error,228,857,0.7724620699882507,0.7708943486213684,0.8347976207733154,0.9077158570289612,0.9173290937996821
mlp,error_count,multiple_errors,1153,7320,0.7736338973045349,0.7641211748123169,0.8527281284332275,0.5681684017181396,0.9112814895947426
mlp,first_error_position,early,758,5026,0.7974532246589661,0.7129590511322021,0.8207469582557678,0.20147278904914856,0.9123655913978495
mlp,first_error_position,middle,287,1568,0.7161989808082581,0.7284513711929321,0.8073394298553467,0.7180168628692627,0.9067253803042434
mlp,first_error_position,late,336,1583,0.7542640566825867,0.7386788129806519,0.8271541595458984,0.902883768081665,0.9188107489994283
cnn,length,short,968,2928,0.8056694269180298,0.7986029386520386,0.8872188329696655,0.9127910137176514,0.9221105527638191
cnn,length,medium,681,3996,0.7905405163764954,0.7888429760932922,0.8638789653778076,0.8776065707206726,0.9127358490566038
cnn,length,long,574,5811,0.7616589069366455,0.757137656211853,0.8364174365997314,0.8083245158195496,0.9300138312586446
cnn,error_count,one_error,228,857,0.7537922859191895,0.7469911575317383,0.8226926326751709,0.8920736908912659,0.9570747217806042
cnn,error_count,multiple_errors,1153,7320,0.7826502919197083,0.7719848155975342,0.8515570759773254,0.5566596984863281,0.9204089083607155
cnn,first_error_position,early,758,5026,0.8087942600250244,0.7264465093612671,0.8278123736381531,0.21073132753372192,0.9150537634408602
cnn,first_error_position,middle,287,1568,0.7181122303009033,0.7346920371055603,0.8015250563621521,0.6785200238227844,0.922738190552442
cnn,first_error_position,late,336,1583,0.7479469180107117,0.738952100276947,0.8151412606239319,0.8863198757171631,0.9359634076615209
gru,length,short,968,2928,0.8097677826881409,0.802369236946106,0.8837516903877258,0.9079394340515137,0.9346733668341709
gru,length,medium,681,3996,0.7917917966842651,0.7866616249084473,0.8666410446166992,0.8766295909881592,0.9027122641509434
gru,length,long,574,5811,0.7759422063827515,0.7722587585449219,0.8516985774040222,0.8166713714599609,0.9147994467496542
gru,error_count,one_error,228,857,0.7456242442131042,0.728844165802002,0.7828424572944641,0.8799147605895996,0.9125596184419714
gru,error_count,multiple_errors,1153,7320,0.7674863338470459,0.7470757365226746,0.8228689432144165,0.4656713008880615,0.914202263599854
gru,first_error_position,early,758,5026,0.8012335896492004,0.7055520415306091,0.7968601584434509,0.14343973994255066,0.8978494623655914
gru,first_error_position,middle,287,1568,0.6887755393981934,0.7044504880905151,0.7621347904205322,0.6067545413970947,0.911128903122498
gru,first_error_position,late,336,1583,0.7264687418937683,0.7164102792739868,0.7780871391296387,0.8590618371963501,0.9353916523727844
attention,length,short,968,2928,0.8292349576950073,0.819773256778717,0.8998680710792542,0.9149011373519897,0.8982412060301508
attention,length,medium,681,3996,0.803053081035614,0.7970679998397827,0.8776669502258301,0.8894939422607422,0.8873820754716981
attention,length,long,574,5811,0.788332462310791,0.7864426374435425,0.8573365807533264,0.838152289390564,0.9073305670816044
attention,error_count,one_error,228,857,0.8098016381263733,0.7865450382232666,0.8408012986183167,0.8927993178367615,0.9395866454689984
attention,error_count,multiple_errors,1153,7320,0.7734972834587097,0.7723106145858765,0.8378161787986755,0.48534029722213745,0.8961299744432275
attention,first_error_position,early,758,5026,0.7992439270019531,0.7308162450790405,0.8189083337783813,0.15487432479858398,0.8881720430107527
attention,first_error_position,middle,287,1568,0.7085459232330322,0.729712963104248,0.7865862250328064,0.6430927515029907,0.8895116092874299
attention,first_error_position,late,336,1583,0.77574223279953,0.752838134765625,0.8107497692108154,0.8748405575752258,0.9296740994854202
attention_pe,length,short,968,2928,0.8265027403831482,0.8152459859848022,0.8979529142379761,0.9137006998062134,0.871859296482412
attention_pe,length,medium,681,3996,0.8015515804290771,0.7953999638557434,0.8823303580284119,0.8890107870101929,0.8673349056603774
attention_pe,length,long,574,5811,0.7953880429267883,0.7934465408325195,0.8657407164573669,0.8438001871109009,0.9020746887966805
attention_pe,error_count,one_error,228,857,0.8004667162895203,0.770399272441864,0.8043748140335083,0.860161304473877,0.8744038155802861
attention_pe,error_count,multiple_errors,1153,7320,0.7692623138427734,0.7593863606452942,0.8346574306488037,0.472319632768631,0.8901058780576853
attention_pe,first_error_position,early,758,5026,0.8040190935134888,0.7239328622817993,0.818979799747467,0.15256436169147491,0.8838709677419355
attention_pe,first_error_position,middle,287,1568,0.6862244606018066,0.7087934613227844,0.7818672060966492,0.6296412944793701,0.8935148118494796
attention_pe,first_error_position,late,336,1583,0.7580543160438538,0.7365988492965698,0.7923925518989563,0.8485234379768372,0.8862206975414523
