head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
linear,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,min,argmax,2,0.3362395763397217,0.31766394451260566,0.35550034791231155,0.027331307530403137,0.02152861775830388,0.03328373804688453,0.0009995002498750624,0.035982008995502246,1319
linear,min,argmax,4,0.35344958305358887,0.3338893048465252,0.3738817282021046,-0.02084912732243538,-0.02922763451933861,-0.012356898235157137,0.0009995002498750624,0.035982008995502246,1319
linear,min,argmax,8,0.3600834310054779,0.33918498307466505,0.3813182301819324,-0.07119029760360718,-0.08495167046785354,-0.05731519907712937,0.0009995002498750624,0.035982008995502246,1319
linear,min,argmax,16,0.36694464087486267,0.34116753935813904,0.39423805475234985,-0.09855951368808746,-0.12206216901540756,-0.07505685836076736,0.0009995002498750624,0.035982008995502246,1319
linear,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,min,weighted_vote,2,0.3362395763397217,0.31766394451260566,0.35550034791231155,0.027331307530403137,0.02152861775830388,0.03328373804688453,0.0009995002498750624,0.035982008995502246,1319
linear,min,weighted_vote,4,0.3746398985385895,0.3539783775806427,0.39625191539525983,0.0003411669167689979,-0.00644427677616477,0.007051744067575777,0.9245377311344328,1.0,1319
linear,min,weighted_vote,8,0.4128885269165039,0.38923143222928047,0.4364310376346111,-0.018385140225291252,-0.027220432367175817,-0.009438969194889069,0.0009995002498750624,0.035982008995502246,1319
linear,min,weighted_vote,16,0.44882485270500183,0.42077332735061646,0.47689536213874806,-0.016679301857948303,-0.033358603715896606,-0.0007581501267850399,0.04897551224387806,0.6366816591704149,1319
linear,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,mean,argmax,2,0.3310462534427643,0.3130383022129536,0.34958682060241697,0.02213798463344574,0.016526723699644207,0.027749243704602116,0.0009995002498750624,0.035982008995502246,1319
linear,mean,argmax,4,0.3427976071834564,0.3231197834014893,0.36285537406802176,-0.03150113672018051,-0.04029757082462311,-0.02331121903844179,0.0009995002498750624,0.035982008995502246,1319
linear,mean,argmax,8,0.3414708375930786,0.3202748365700245,0.36266396567225456,-0.08980288356542587,-0.10413192212581635,-0.07573920469731092,0.0009995002498750624,0.035982008995502246,1319
linear,mean,argmax,16,0.34420016407966614,0.3191812038421631,0.37073540687561035,-0.12130402028560638,-0.14632296562194824,-0.09704321622848511,0.0009995002498750624,0.035982008995502246,1319
linear,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,mean,weighted_vote,2,0.3310462534427643,0.3130383022129536,0.34958682060241697,0.02213798463344574,0.016526723699644207,0.027749243704602116,0.0009995002498750624,0.035982008995502246,1319
