head_a,head_b,causal_roc_auc_diff,causal_roc_auc_diff_ci_low,causal_roc_auc_diff_ci_high,causal_roc_auc_prob_a_better,causal_roc_auc_prob_a_worse,causal_roc_auc_significant
linear,mlp,-0.07565438747406006,-0.08507640510797501,-0.06664677262306214,0.0,1.0,True
linear,cnn,-0.0388759970664978,-0.04947517365217209,-0.02868159264326096,0.0,1.0,True
linear,gru,-0.08003479242324829,-0.09361062943935394,-0.06712231785058977,0.0,1.0,True
linear,attention,-0.06404393911361694,-0.07606249153614045,-0.05206910222768784,0.0,1.0,True
linear,attention_pe,-0.057773470878601074,-0.07215939462184906,-0.04461409747600557,0.0,1.0,True
mlp,cnn,0.036778390407562256,0.030345256626605987,0.0437212735414505,1.0,0.0,True
mlp,gru,-0.004380404949188232,-0.013412949442863465,0.004935604333877556,0.1675,0.8325,False
mlp,attention,0.011610448360443115,0.00226229727268219,0.02107059359550476,0.9915,0.0085,True
mlp,attention_pe,0.017880916595458984,0.0077862322330474855,0.027652087807655327,1.0,0.0,True
cnn,gru,-0.04115879535675049,-0.05091483443975449,-0.031729677319526674,0.0,1.0,True
cnn,attention,-0.02516794204711914,-0.034638133645057675,-0.015437307953834536,0.0,1.0,True
cnn,attention_pe,-0.01889747381210327,-0.028872515261173248,-0.009333230555057529,0.0,1.0,True
gru,attention,0.015990853309631348,0.006021140515804291,0.025870980322360983,0.9995,0.0005,True
gru,attention_pe,0.022261321544647217,0.012394934892654419,0.03194836676120757,1.0,0.0,True
attention,attention_pe,0.006270468235015869,-0.0017377838492393493,0.0140151634812355,0.9345,0.0655,False
