head,offset,mean_standardized_q,std_standardized_q,n
linear,-2,0.6145504713058472,0.8337172865867615,453
linear,-1,0.45895662903785706,0.8496336340904236,789
linear,0,-0.03892273083329201,0.7634644508361816,789
linear,1,-0.2189527004957199,0.7731008529663086,567
linear,2,-0.32288676500320435,0.7922502160072327,389
mlp,-2,0.6418330669403076,0.6912906765937805,453
mlp,-1,0.4803920388221741,0.7939445972442627,789
mlp,0,-0.19424213469028473,0.8108482956886292,789
mlp,1,-0.3014530837535858,0.755493700504303,567
mlp,2,-0.3452886641025543,0.7293516993522644,389
cnn,-2,0.4620629847049713,0.5996400117874146,453
cnn,-1,0.34993377327919006,0.7135881781578064,789
cnn,0,-0.18436793982982635,0.7128714323043823,789
cnn,1,-0.33707061409950256,0.6397187113761902,567
cnn,2,-0.4082108438014984,0.634700357913971,389
gru,-2,0.4105859100818634,0.6605446934700012,453
gru,-1,0.27705731987953186,0.6806344985961914,789
gru,0,-0.17935994267463684,0.751042902469635,789
gru,1,-0.3651587665081024,0.7789936661720276,567
gru,2,-0.42146793007850647,0.8001628518104553,389
attention,-2,0.4643849730491638,0.6294946074485779,453
attention,-1,0.3727858066558838,0.7439544200897217,789
attention,0,-0.24078135192394257,0.7484117746353149,789
attention,1,-0.3431922197341919,0.7099015712738037,567
attention,2,-0.38830000162124634,0.6729879379272461,389
attention_pe,-2,0.41465601325035095,0.6204288005828857,453
attention_pe,-1,0.30824872851371765,0.7273569703102112,789
attention_pe,0,-0.2757135033607483,0.770635187625885,789
attention_pe,1,-0.36856329441070557,0.716947078704834,567
attention_pe,2,-0.41787901520729065,0.6702460050582886,389
