head,variant,n_trajectories,n_steps,accuracy,balanced_accuracy,roc_auc,average_precision,ranking_accuracy,roc_auc_delta,ranking_accuracy_delta
linear,original,2223,12735,0.7021594047546387,0.7009199857711792,0.7662816643714905,0.7594026327133179,0.9166530211233012,0.0,0.0
linear,reverse,2223,12735,0.7021594047546387,0.7009199857711792,0.7662816643714905,0.7594026327133179,0.9166530211233012,0.0,0.0
linear,swap_adjacent,2223,12735,0.7021594047546387,0.7009199857711792,0.7662816643714905,0.7594026327133179,0.9166530211233012,0.0,0.0
linear,mask_previous,2223,12735,0.7150372862815857,0.7135218381881714,0.7915430665016174,0.7997748851776123,0.9597183559849353,0.025261402130126953,0.04306533486163411
linear,mask_first_error,2223,12735,0.6606203317642212,0.6584505438804626,0.6433107852935791,0.5952548980712891,0.666775831013591,-0.12297087907791138,-0.2498771901097102
mlp,original,2223,12735,0.7626227140426636,0.7629648447036743,0.8419362306594849,0.840409517288208,0.9119043720320943,0.0,0.0
mlp,reverse,2223,12735,0.7626227140426636,0.7629648447036743,0.8419362306594849,0.840409517288208,0.9119043720320943,0.0,0.0
mlp,swap_adjacent,2223,12735,0.7626227140426636,0.7629648447036743,0.8419362306594849,0.840409517288208,0.9119043720320943,0.0,0.0
mlp,mask_previous,2223,12735,0.7817039489746094,0.7816370129585266,0.8547435402870178,0.8472438454627991,0.9207466841329621,0.012807309627532959,0.008842312100867833
mlp,mask_first_error,2223,12735,0.6921083331108093,0.690871000289917,0.7800278663635254,0.8034666776657104,0.7974455542819715,-0.06190836429595947,-0.11445881775012279
cnn,original,2223,12735,0.7808402180671692,0.7809638977050781,0.8584514260292053,0.8636671304702759,0.9241853610610774,0.0,0.0
cnn,reverse,2223,12735,0.6826069951057434,0.6815389394760132,0.7471417784690857,0.7481008172035217,0.6874078925822826,-0.11130964756011963,-0.23677746847879477
cnn,swap_adjacent,2223,12735,0.7263447046279907,0.7255781888961792,0.796052098274231,0.780220091342926,0.8475519895202227,-0.062399327754974365,-0.0766333715408547
cnn,mask_previous,2223,12735,0.7728307843208313,0.7721623182296753,0.8488632440567017,0.8417413830757141,0.865072867201572,-0.009588181972503662,-0.059112493859505455
cnn,mask_first_error,2223,12735,0.7132312655448914,0.7116133570671082,0.7783698439598083,0.7482917308807373,0.7452104142786966,-0.08008158206939697,-0.1789749467823808
gru,original,2223,12735,0.7886925935745239,0.7884172797203064,0.865001380443573,0.863470196723938,0.9140330767971181,0.0,0.0
gru,reverse,2223,12735,0.5976442694664001,0.5905665159225464,0.6809422373771667,0.6856465935707092,0.23808744064188636,-0.18405914306640625,-0.6759456361552317
gru,swap_adjacent,2223,12735,0.7488024830818176,0.7468420267105103,0.8315185308456421,0.8247011303901672,0.848043229081382,-0.03348284959793091,-0.06598984771573613
gru,mask_previous,2223,12735,0.7619159817695618,0.7606863379478455,0.8293178677558899,0.8080872893333435,0.8960209595546095,-0.035683512687683105,-0.01801211724250862
gru,mask_first_error,2223,12735,0.6606203317642212,0.6573662161827087,0.7262964844703674,0.7217413187026978,0.892909775667267,-0.13870489597320557,-0.021123301129851058
attention,original,2223,12735,0.8023557066917419,0.8017220497131348,0.8755985498428345,0.8774047493934631,0.9006058621254298,0.0,0.0
attention,reverse,2223,12735,0.8023557066917419,0.8017220497131348,0.8755985498428345,0.8774047493934631,0.9006058621254298,0.0,0.0
attention,swap_adjacent,2223,12735,0.8023557066917419,0.8017220497131348,0.8755985498428345,0.8774047493934631,0.9006058621254298,0.0,0.0
attention,mask_previous,2223,12735,0.8160973787307739,0.8152483105659485,0.8890353441238403,0.8946542739868164,0.9063369903389553,0.01343679428100586,0.005731128213525505
attention,mask_first_error,2223,12735,0.7364742755889893,0.734389066696167,0.7504030466079712,0.6492949724197388,0.7070574750286557,-0.12519550323486328,-0.19354838709677413
attention_pe,original,2223,12735,0.8044758439064026,0.8037864565849304,0.8801959156990051,0.878653347492218,0.8884886196168331,0.0,0.0
attention_pe,reverse,2223,12735,0.8021986484527588,0.8018265962600708,0.8732207417488098,0.8729524612426758,0.8586867529065008,-0.0069751739501953125,-0.02980186671033236
attention_pe,swap_adjacent,2223,12735,0.8072242140769958,0.8066376447677612,0.8803520798683167,0.8791442513465881,0.8868511544129687,0.00015616416931152344,-0.00163746520386443
attention_pe,mask_previous,2223,12735,0.8114644885063171,0.8107594847679138,0.8835046291351318,0.8866330981254578,0.8647453741607991,0.003308713436126709,-0.023743245456034012
attention_pe,mask_first_error,2223,12735,0.7543777227401733,0.7527554631233215,0.7969530820846558,0.7111907005310059,0.7388242999836253,-0.08324283361434937,-0.1496643196332078
