head,policy,budget,group_type,group,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate
linear,single_low,0.05,length,short,958,958,402,556,0,0.007462686567164179,0.007194244604316547,0.08453237410071943,0.019784172661870502,0.048561151079136694,0.07194244604316546,1.3404254913330078,1.0,0.012093987560469938,0.008638562543192813,0.014628437682855471,0.22840359364201795,0.037821482602118005,
linear,single_low,0.05,length,medium,669,669,247,422,0,0.048582995951417005,0.02843601895734597,0.22985781990521326,0.023696682464454975,0.07582938388625593,0.10426540284360189,2.670103073120117,3.0,0.05626272912423625,0.04276985743380855,0.06766008860249698,0.35005091649694503,0.12218181818181818,
linear,single_low,0.05,length,long,569,569,192,377,0,0.16666666666666666,0.023872679045092837,0.4244031830238727,0.050397877984084884,0.09814323607427056,0.16445623342175067,3.9749999046325684,4.0,0.16562608394033992,0.13250086715227194,0.19906201146430433,0.47467915365938257,0.2791377420533431,
linear,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.006775067750677507,0.34417344173441733,0.03523035230352303,0.08807588075880758,0.13821138211382114,3.5196850299835205,3.0,0.19320724018710597,0.18710595891803947,0.18710595891803947,0.8043522473052674,0.23261694058154236,
linear,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.017793594306049824,0.11387900355871886,0.014234875444839857,0.05693950177935943,0.09608540925266904,1.625,1.0,0.040522875816993466,0.021568627450980392,0.021568627450980392,0.44313725490196076,0.048672566371681415,
linear,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.044642857142857144,0.05357142857142857,0.02976190476190476,0.044642857142857144,0.050595238095238096,0.6666666865348816,0.0,0.026531901452937462,0.002526847757422615,0.002526847757422615,0.08843967150979154,0.02857142857142857,
mlp,single_low,0.05,length,short,958,958,402,556,0,0.02736318407960199,0.007194244604316547,0.29136690647482016,0.11330935251798561,0.2158273381294964,0.26798561151079137,0.9506173133850098,1.0,0.02453351762266759,0.0221147201105736,0.037448800468110006,0.22840359364201795,0.09682299546142209,
mlp,single_low,0.05,length,medium,669,669,247,422,0,0.020242914979757085,0.004739336492890996,0.27488151658767773,0.061611374407582936,0.0971563981042654,0.13744075829383887,2.310344934463501,2.0,0.06644602851323829,0.062118126272912425,0.09826822392267419,0.35005091649694503,0.17745454545454545,
mlp,single_low,0.05,length,long,569,569,192,377,0,0.08854166666666667,0.010610079575596816,0.46684350132625996,0.06896551724137931,0.10875331564986737,0.17771883289124668,3.8977272510528564,3.0,0.16181061394380852,0.14481442941380507,0.21756122980719125,0.47467915365938257,0.3050785531603946,
mlp,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.0027100271002710027,0.47289972899729,0.09078590785907859,0.16666666666666666,0.24254742547425473,2.896848201751709,2.0,0.22534065487085622,0.22310351840553183,0.22310351840553183,0.8043522473052674,0.27737041719342603,
mlp,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.0035587188612099642,0.19217081850533807,0.017793594306049824,0.10320284697508897,0.15658362989323843,1.6296296119689941,1.0,0.030065359477124184,0.028104575163398694,0.028104575163398694,0.44313725490196076,0.06342182890855458,
mlp,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.020833333333333332,0.15178571428571427,0.12797619047619047,0.1488095238095238,0.15178571428571427,0.1764705926179886,0.0,0.012002526847757423,0.0018951358180669614,0.0018951358180669614,0.08843967150979154,0.02142857142857143,
cnn,single_low,0.05,length,short,958,958,402,556,0,0.06467661691542288,0.052158273381294966,0.24640287769784172,0.10971223021582734,0.18525179856115107,0.22661870503597123,0.8832116723060608,1.0,0.0691085003455425,0.03489979267449896,0.0590988882387361,0.22840359364201795,0.15279878971255673,
cnn,single_low,0.05,length,medium,669,669,247,422,0,0.024291497975708502,0.018957345971563982,0.2772511848341232,0.035545023696682464,0.08293838862559241,0.17061611374407584,2.384615421295166,2.0,0.07306517311608961,0.06109979633401222,0.09665726943213854,0.35005091649694503,0.17454545454545456,
cnn,single_low,0.05,length,long,569,569,192,377,0,0.08333333333333333,0.005305039787798408,0.4297082228116711,0.010610079575596816,0.05305039787798409,0.13527851458885942,4.2839508056640625,4.0,0.13041970169961845,0.11533125216788068,0.17326732673267325,0.47467915365938257,0.24296675191815856,
cnn,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.0027100271002710027,0.44850948509485095,0.058265582655826556,0.13414634146341464,0.23577235772357724,3.0332326889038086,2.0,0.1948342485255237,0.19320724018710597,0.19320724018710597,0.8043522473052674,0.2402022756005057,
cnn,single_low,0.05,first_error_position,middle,281,281,0,281,0,,0.042704626334519574,0.18149466192170818,0.042704626334519574,0.10320284697508897,0.1494661921708185,1.470588207244873,1.0,0.05555555555555555,0.032679738562091505,0.032679738562091505,0.44313725490196076,0.07374631268436578,
cnn,single_low,0.05,first_error_position,late,336,336,0,336,0,,0.0744047619047619,0.10119047619047619,0.0744047619047619,0.08928571428571429,0.09821428571428571,0.44117647409439087,0.0,0.04485154769425142,0.003790271636133923,0.003790271636133923,0.08843967150979154,0.04285714285714286,
gru,single_low,0.05,length,short,958,958,402,556,0,0.01990049751243781,0.01079136690647482,0.32194244604316546,0.06474820143884892,0.2068345323741007,0.29856115107913667,1.2290502786636353,1.0,0.030062197650310988,0.025224602626123013,0.042715038033937974,0.22840359364201795,0.11043872919818457,
gru,single_low,0.05,length,medium,669,669,247,422,0,0.044534412955465584,0.023696682464454975,0.34834123222748814,0.03317535545023697,0.1066350710900474,0.18246445497630331,2.3741495609283447,2.0,0.07764765784114053,0.0695010183299389,0.1099476439790576,0.35005091649694503,0.19854545454545455,
gru,single_low,0.05,length,long,569,569,192,377,0,0.078125,0.007957559681697613,0.46419098143236076,0.010610079575596816,0.04774535809018567,0.11405835543766578,4.622857093811035,4.0,0.12070759625390219,0.11099549080818592,0.16675351745700887,0.47467915365938257,0.23383266350018267,
gru,single_low,0.05,first_error_position,early,738,738,0,738,0,,0.0013550135501355014,0.524390243902439,0.01084010840108401,0.11924119241192412,0.24661246612466126,3.281653642654419,3.0,0.18934309538336383,0.18690258287573724,0.18690258287573724,0.8043522473052674,0.23236409608091024,
