head,policy,budget,threshold,calibration_clean_false_prune_rate,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate,clean_false_prune_rate_ci_low,clean_false_prune_rate_ci_high,pre_error_false_prune_rate_ci_low,pre_error_false_prune_rate_ci_high,error_coverage_ci_low,error_coverage_ci_high,detection_at_0_ci_low,detection_at_0_ci_high,detection_at_1_ci_low,detection_at_1_ci_high,detection_at_2_ci_low,detection_at_2_ci_high,safe_step_saving_rate_ci_low,safe_step_saving_rate_ci_high,oracle_efficiency_ratio_ci_low,oracle_efficiency_ratio_ci_high
linear,single_low,0.01,-7.855696678161621,0.009650180940892641,2222,2196,841,1355,26,0.013079667063020214,0.004428044280442804,0.06051660516605166,0.0036900369003690036,0.00959409594095941,0.014022140221402213,4.756097793579102,4.0,0.022243406418811566,0.017794725135049254,0.027895392278953924,0.3791706387035272,0.04693065158181437,0.07692307692307693,,,,,,,,,,,,,,,,
linear,single_low,0.05,-6.476128101348877,0.04945717732207479,2222,2196,841,1355,26,0.0558858501783591,0.01845018450184502,0.2243542435424354,0.02952029520295203,0.07084870848708487,0.1077490774907749,3.151315689086914,3.0,0.09620273276136003,0.07602478551000953,0.11917808219178082,0.3791706387035272,0.20050282840980516,0.5384615384615384,0.04158739373087883,0.07253269851207733,0.011808117851614952,0.02656826563179493,0.20295202732086182,0.24649447202682495,0.021402213722467422,0.039114389568567276,0.05756457522511482,0.084870845079422,0.09151291847229004,0.12398523837327957,0.06564102321863174,0.08612582832574844,0.17513807117938995,0.2243177890777588
linear,single_low,0.1,-5.934688568115234,0.09891435464414958,2222,2196,841,1355,26,0.09988109393579073,0.02730627306273063,0.33136531365313654,0.06715867158671587,0.14095940959409595,0.1970479704797048,2.5345211029052734,2.0,0.14204003813155386,0.10970765808706705,0.17198007471980076,0.3791706387035272,0.2893358474753824,0.6538461538461539,,,,,,,,,,,,,,,,
linear,two_consecutive,0.01,-7.566342830657959,0.009650180940892641,2222,2196,841,1355,26,0.008323424494649227,0.002214022140221402,0.04944649446494465,0.002214022140221402,0.004428044280442804,0.011808118081180811,5.089552402496338,5.0,0.017159199237368923,0.014140451223387354,0.022166874221668742,0.3791706387035272,0.03729310706054892,0.07692307692307693,,,,,,,,,,,,,,,,
linear,two_consecutive,0.05,-5.956085681915283,0.04945717732207479,2222,2196,841,1355,26,0.04518430439952437,0.008118081180811807,0.21033210332103322,0.014022140221402213,0.05387453874538745,0.09372693726937269,3.4000000953674316,3.0,0.09080076263107721,0.07554814108674929,0.11843088418430885,0.3791706387035272,0.19924575738529227,0.3076923076923077,,,,,,,,,,,,,,,,
linear,two_consecutive,0.1,-5.306972026824951,0.09891435464414958,2222,2196,841,1355,26,0.093935790725327,0.016236162361623615,0.3092250922509225,0.026568265682656828,0.1121771217712177,0.16974169741697417,2.861575126647949,2.0,0.13775023832221164,0.11066094693358754,0.1734744707347447,0.3791706387035272,0.2918499895244081,0.5384615384615384,,,,,,,,,,,,,,,,
mlp,single_low,0.01,-8.908215522766113,0.009650180940892641,2222,2196,841,1355,26,0.008323424494649227,0.0014760147601476014,0.14095940959409595,0.03247232472324723,0.06051660516605166,0.07822878228782287,3.09424090385437,2.0,0.026453765490943755,0.025341595170003176,0.03972602739726028,0.3791706387035272,0.06683427613660171,0.19230769230769232,,,,,,,,,,,,,,,,
mlp,single_low,0.05,-7.686807632446289,0.04945717732207479,2222,2196,841,1355,26,0.039239001189060645,0.007380073800738007,0.33505535055350555,0.08487084870848709,0.14907749077490776,0.2022140221402214,2.440528631210327,2.0,0.10049253257070226,0.09080076263107721,0.1423412204234122,0.3791706387035272,0.23947203016970459,0.6153846153846154,0.027348395437002182,0.052318669855594635,0.002952029462903738,0.011808117851614952,0.3114391267299652,0.3601475954055786,0.07083026319742203,0.10184501856565475,0.1321033239364624,0.1682656854391098,0.18228782713413239,0.22363470494747162,0.08046583086252213,0.10168901830911636,0.21386995911598206,0.2659488022327423
mlp,single_low,0.1,-6.747132301330566,0.09891435464414958,2222,2196,841,1355,26,0.089179548156956,0.03099630996309963,0.4996309963099631,0.17047970479704797,0.3040590405904059,0.38228782287822877,1.6410635709762573,1.0,0.1905783285668891,0.1586431522084525,0.24869240348692404,0.3791706387035272,0.41839513932537187,0.8076923076923077,,,,,,,,,,,,,,,,
mlp,two_consecutive,0.01,-7.9491801261901855,0.009650180940892641,2222,2196,841,1355,26,0.013079667063020214,0.0007380073800738007,0.12619926199261994,0.002952029520295203,0.023616236162361623,0.04059040590405904,4.339181423187256,4.0,0.03972036860502066,0.037972672386399745,0.05952677459526775,0.3791706387035272,0.10014665828619317,0.15384615384615385,,,,,,,,,,,,,,,,
