head,agg,n_solutions,positive_rate,roc_auc,average_precision,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high
linear,min,2222,0.3735373616218567,0.7141860723495483,0.5648059844970703,0.6922851860523224,0.7357327744364739,0.5300157442688942,0.6026139736175538
linear,mean,2222,0.3735373616218567,0.6927849054336548,0.5270793437957764,0.6715822398662568,0.7141427397727966,0.49491077065467837,0.5626528784632683
linear,last,2222,0.3735373616218567,0.7197306752204895,0.5737615823745728,0.6985805541276932,0.7405526593327522,0.5389111161231994,0.6107561990618705
mlp,min,2222,0.3735373616218567,0.8273577094078064,0.7527797222137451,0.8090444728732109,0.8444942519068718,0.7211346134543419,0.781009466946125
mlp,mean,2222,0.3735373616218567,0.8115219473838806,0.7362474799156189,0.7930169448256492,0.8298504099249839,0.706177943944931,0.7639148086309433
mlp,last,2222,0.3735373616218567,0.8250225186347961,0.7561943531036377,0.80600725710392,0.8419630587100982,0.7255857974290848,0.782303012907505
cnn,min,2222,0.3735373616218567,0.8549543023109436,0.7976183295249939,0.838780876994133,0.8708231553435325,0.7707944050431251,0.8229851692914962
cnn,mean,2222,0.3735373616218567,0.8365435600280762,0.7791881561279297,0.8199437394738197,0.8534538134932518,0.7520805254578591,0.8045508280396462
cnn,last,2222,0.3735373616218567,0.8584510684013367,0.8088808059692383,0.8423222288489342,0.8742874473333359,0.7836674138903618,0.8328266978263855
gru,min,2222,0.3735373616218567,0.8658989667892456,0.7988856434822083,0.8502018541097641,0.8804880455136299,0.7704651519656182,0.825445632636547
gru,mean,2222,0.3735373616218567,0.8546227812767029,0.7908947467803955,0.8381867676973342,0.8698398768901825,0.764042592048645,0.8161198854446411
gru,last,2222,0.3735373616218567,0.8677269220352173,0.812590479850769,0.8524074599146843,0.882032410800457,0.7875700414180755,0.8363330155611038
attention,min,2222,0.3735373616218567,0.8775290846824646,0.8270456790924072,0.8616771772503853,0.8918801218271255,0.8000155955553054,0.8515302315354347
attention,mean,2222,0.3735373616218567,0.8672171235084534,0.8236934542655945,0.8512213245034218,0.8827313289046287,0.7983718678355217,0.8464647278189659
attention,last,2222,0.3735373616218567,0.8794419169425964,0.8379702568054199,0.8635420382022858,0.8941374629735946,0.8130289748311043,0.8600376591086387
attention_pe,min,2222,0.3735373616218567,0.8869486451148987,0.8332245349884033,0.8718160167336464,0.9009299129247665,0.8072491437196732,0.8571680307388305
attention_pe,mean,2222,0.3735373616218567,0.8764038681983948,0.8374866247177124,0.8606589019298554,0.890835402905941,0.8148503705859185,0.8579614043235779
attention_pe,last,2222,0.3735373616218567,0.8894076347351074,0.8465557098388672,0.8748448953032494,0.9029673650860787,0.8241859570145607,0.8668702557682991
