head_a,head_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant
linear,mlp,-0.07565456628799438,-0.08507629930973053,-0.06664671301841736,0.0,1.0,True,-0.08100688457489014,-0.09342705756425858,-0.06764416098594665,0.0,1.0,True
linear,cnn,-0.09216976165771484,-0.10321455895900726,-0.08213559091091156,0.0,1.0,True,-0.10426449775695801,-0.1190552681684494,-0.08963484764099121,0.0,1.0,True
linear,gru,-0.09871971607208252,-0.11246821731328964,-0.08457015901803973,0.0,1.0,True,-0.10406756401062012,-0.12197925597429275,-0.08553062081336978,0.0,1.0,True
linear,attention,-0.109316885471344,-0.12321515083312988,-0.09555930942296983,0.0,1.0,True,-0.11800211668014526,-0.13529673963785172,-0.10042644441127778,0.0,1.0,True
linear,attention_pe,-0.11391425132751465,-0.12829785346984862,-0.09969163537025454,0.0,1.0,True,-0.11925071477890015,-0.13755877763032914,-0.10099274665117264,0.0,1.0,True
mlp,cnn,-0.01651519536972046,-0.022243861854076386,-0.010880327224731449,0.0,1.0,True,-0.02325761318206787,-0.031666684150695804,-0.014809964597225191,0.0,1.0,True
mlp,gru,-0.023065149784088135,-0.03258843719959259,-0.01345935016870501,0.0,1.0,True,-0.02306067943572998,-0.035989893972873686,-0.009748305380344395,0.0005,0.9995,True
mlp,attention,-0.03366231918334961,-0.04411449283361435,-0.02378000169992447,0.0,1.0,True,-0.03699523210525513,-0.049635814130306245,-0.024653671681880956,0.0,1.0,True
mlp,attention_pe,-0.038259685039520264,-0.04873861521482468,-0.028262892365455636,0.0,1.0,True,-0.03824383020401001,-0.05193990767002106,-0.02536743134260178,0.0,1.0,True
cnn,gru,-0.006549954414367676,-0.015636144578456877,0.0024539723992347672,0.073,0.927,False,0.00019693374633789062,-0.011694175004959107,0.012321196496486657,0.4985,0.5015,False
cnn,attention,-0.01714712381362915,-0.026104757189750673,-0.00826969295740128,0.0,1.0,True,-0.013737618923187256,-0.02347301095724106,-0.004218821227550507,0.005,0.995,True
cnn,attention_pe,-0.021744489669799805,-0.031201492249965667,-0.013006772100925464,0.0,1.0,True,-0.014986217021942139,-0.025424255430698393,-0.005105277895927445,0.0045,0.9955,True
gru,attention,-0.010597169399261475,-0.018815572559833526,-0.002042526006698612,0.006,0.994,True,-0.013934552669525146,-0.024811117351055144,-0.003124332427978518,0.0075,0.9925,True
gru,attention_pe,-0.015194535255432129,-0.023961929976940154,-0.006800755858421338,0.0,1.0,True,-0.01518315076828003,-0.026459755003452302,-0.003608226776123051,0.0055,0.9945,True
attention,attention_pe,-0.004597365856170654,-0.011009517312049865,0.0010900020599365224,0.061,0.939,False,-0.0012485980987548828,-0.009046199917793273,0.0059654101729393,0.3555,0.6445,False
