head,agg,k,accuracy,ci_low,ci_high,n_questions
linear,min,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
linear,min,2,0.3142153024673462,0.2966992139816284,0.3326393008232117,1319
linear,min,4,0.3206595778465271,0.3028809726238251,0.33976593017578127,1319
linear,min,8,0.32676270604133606,0.30693517327308656,0.34818328619003297,1319
linear,min,16,0.3260045349597931,0.3017247922718525,0.3525398075580597,1319
linear,mean,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
linear,mean,2,0.3212661147117615,0.3034107148647308,0.33912243247032164,1319
linear,mean,4,0.3280515670776367,0.3095147907733917,0.3468167118728161,1319
linear,mean,8,0.33968913555145264,0.3187262713909149,0.3612632744014263,1319
linear,mean,16,0.348749041557312,0.3229529865086079,0.375303267687559,1319
linear,last,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
linear,last,2,0.3238438069820404,0.3059893846511841,0.3422687530517578,1319
linear,last,4,0.3248293995857239,0.3063675232231617,0.3441252656280994,1319
linear,last,8,0.3274071216583252,0.3069702677428722,0.34860309362411496,1319
linear,last,16,0.3184230625629425,0.2933851480484009,0.34344199299812317,1319
random,-,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
random,-,2,0.30890825390815735,0.2913182146847248,0.3261978685855865,1319
random,-,4,0.30394241213798523,0.2872601941227913,0.32126895785331727,1319
random,-,8,0.3085671067237854,0.2905600734055042,0.32653904557228086,1319
random,-,16,0.3282789885997772,0.30022743344306946,0.3555724024772644,1319
oracle,-,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
oracle,-,2,0.4321455657482147,0.4115560732781887,0.4526175133883953,1319
oracle,-,4,0.5547763705253601,0.5322583943605423,0.5772933974862099,1319
oracle,-,8,0.6646701097488403,0.641546605527401,0.6873786926269532,1319
oracle,-,16,0.7604245543479919,0.7369219064712524,0.7839272022247314,1319
majority_vote,-,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,1319
majority_vote,-,2,0.30890825390815735,0.2913182146847248,0.3261978685855865,1319
majority_vote,-,4,0.37429869174957275,0.3531055636703968,0.3957572102546692,1319
majority_vote,-,8,0.4312736690044403,0.4067067988216877,0.455234033614397,1319
majority_vote,-,16,0.46550416946411133,0.43745261430740356,0.4927975833415985,1319
